signal_id,contract,side,signal_timestamp_utc,scalp_probability,entry_ask,entry_bid,seconds_left,minutes_left,btc_gap_side,abs_gap,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,ask_move_15s,ask_move_30s,ask_move_60s,bounce_from_low,drawdown_from_high,ask_position_60,outcome_timestamp_utc,observed_seconds,max_future_bid,min_future_bid,hit_10c,seconds_to_10c,hit_15c,seconds_to_15c,hit_20c,seconds_to_20c,stop_10c_hit,stop_seconds,result_10c_before_stop,notes
KXBTC15M-26SEP032330-30|UP|SCALP|1788491896159,KXBTC15M-26SEP032330-30,UP,2026-09-04T03:18:16.159853+00:00,0.964822576634296,0.38,0.37,703.84,11.730666666666668,5.7299999999959255,5.7299999999959255,49.63000000000466,49.61999999999534,39.520000000004075,0.0,-0.010000000000000009,-0.06,0.0,0.06,0.0,2026-09-04T03:21:16.445472+00:00,180,0.5,0.37,True,30.0,False,,False,,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP032345-45|DOWN|SCALP|1788492661665,KXBTC15M-26SEP032345-45,DOWN,2026-09-04T03:31:01.665285+00:00,0.9515326520792994,0.43,0.42,838.33,13.972166666666668,12.55000000000291,12.55000000000291,17.510000000009313,20.99000000000524,,0.0,0.0,,0.0,0.0,,2026-09-04T03:34:06.874300+00:00,184,0.6,0.42,True,105.0,True,105.0,False,,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP032345-45|UP|SCALP|1788492766657,KXBTC15M-26SEP032345-45,UP,2026-09-04T03:32:46.657546+00:00,0.9713011283174993,0.4,0.39,733.34,12.222333333333333,19.889999999999418,19.889999999999418,6.0200000000040745,12.05000000000291,11.289999999993597,-0.13,-0.15000000000000002,-0.09999999999999998,0.0,0.15000000000000002,0.0,2026-09-04T03:35:46.895366+00:00,180,0.55,0.38,True,30.0,True,30.0,False,,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP032345-45|DOWN|SCALP|1788492821639,KXBTC15M-26SEP032345-45,DOWN,2026-09-04T03:33:41.639940+00:00,0.9374053705435501,0.45,0.44,678.36,11.306000000000001,4.149999999994179,4.149999999994179,17.69000000000233,21.25,-15.900000000008731,0.0,-0.15999999999999998,-0.02999999999999997,0.0,0.15999999999999998,0.0,2026-09-04T03:36:41.884927+00:00,180,0.61,0.44,True,50.0,True,80.0,False,,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP032345-45|UP|SCALP|1788492941638,KXBTC15M-26SEP032345-45,UP,2026-09-04T03:35:41.638538+00:00,0.9692336265983471,0.39,0.38,558.36,9.306000000000001,16.119999999995343,16.119999999995343,54.169999999998254,49.65999999998894,29.10999999998603,-0.010000000000000009,-0.010000000000000009,-0.03999999999999998,0.0,0.03999999999999998,0.0,2026-09-04T03:38:41.884570+00:00,180,0.7,0.38,True,35.0,True,35.0,True,125.0,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP032345-45|DOWN|SCALP|1788492981648,KXBTC15M-26SEP032345-45,DOWN,2026-09-04T03:36:21.648574+00:00,0.9758851325749014,0.45,0.44,518.35,8.639166666666666,9.089999999996508,9.089999999996508,26.50999999999476,23.589999999996508,-28.960000000006403,-0.16999999999999998,-0.16999999999999998,-0.15999999999999998,0.0,0.16999999999999998,0.0,2026-09-04T03:39:21.905962+00:00,180,0.57,0.29,True,25.0,False,,False,,True,115.0,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP032345-45|DOWN|SCALP|1788493196654,KXBTC15M-26SEP032345-45,DOWN,2026-09-04T03:39:56.654171+00:00,0.9291597031908936,0.41,0.4,303.35,5.055833333333334,11.069999999992433,11.069999999992433,22.519999999989523,24.019999999989523,38.26999999998952,-0.010000000000000009,-0.010000000000000009,0.08999999999999997,0.08999999999999997,0.010000000000000009,0.8999999999999999,2026-09-04T03:42:56.938294+00:00,180,0.75,0.4,True,35.0,True,35.0,True,95.0,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP040000-00|UP|SCALP|1788493612122,KXBTC15M-26SEP040000-00,UP,2026-09-04T03:46:52.122173+00:00,0.9547617251529948,0.44,0.43,787.88,13.131333333333334,20.410000000003492,20.410000000003492,38.86000000000058,13.520000000004075,0.7799999999988358,0.0,-0.12000000000000005,-0.08000000000000002,0.0,0.12000000000000005,0.0,2026-09-04T03:49:52.359165+00:00,180,0.7,0.43,True,25.0,True,55.0,True,55.0,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP040015-15|UP|SCALP|1788494757602,KXBTC15M-26SEP040015-15,UP,2026-09-04T04:05:57.602865+00:00,0.9310361780150684,0.44,0.43,542.4,9.04,2.2300000000104774,2.2300000000104774,21.860000000000582,20.24000000000524,38.830000000001746,0.0,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.0,1.0,2026-09-04T04:08:57.828451+00:00,180,0.55,0.43,True,110.0,False,,False,,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
KXBTC15M-26SEP040015-15|UP|SCALP|1788494957612,KXBTC15M-26SEP040015-15,UP,2026-09-04T04:09:17.612288+00:00,0.9425209631997935,0.37,0.36,342.39,5.7065,2.1300000000046566,2.1300000000046566,7.779999999998836,25.30999999999767,3.1199999999953434,-0.16000000000000003,-0.16000000000000003,-0.19000000000000006,0.0,0.16000000000000003,0.0,2026-09-04T04:12:17.863283+00:00,180,0.78,0.36,True,15.0,True,135.0,True,135.0,False,,True,FROZEN DEVELOPMENT CANDIDATE — FORWARD SHADOW ONLY
