contract,official_side,final_call,final_side,final_correct,final_time_left,scalp_signal,scalp_signals,scalp_wins,scalp_all_won,scalp_avg_entry_c,scalp_avg_time_left,union_actionable,max_early_fair,max_early_abs_gap,min_early_ask,brti_agree_fraction,chop_fraction,gap_type
KXBTC15M-26SEP032245-45,UP,False,,,,False,0,0,,,,False,0.7855834238886401,45.09999999999127,0.57,1.0,1.0,CHOP / REVERSAL-HEAVY
KXBTC15M-26SEP032300-00,UP,False,,,,False,0,0,,,,False,0.808946373679782,33.34000000001106,0.53,0.9375,0.25,NEAR TARGET / SIDEWAYS
KXBTC15M-26SEP032315-15,UP,True,UP,True,7.9861075,False,0,0,,,,True,0.920821338766574,168.25,0.66,1.0,0.7638888888888888,
KXBTC15M-26SEP032330-30,DOWN,True,DOWN,True,0.8139768833333334,True,1,1,True,38.0,11.730666666666668,True,0.8619556426663953,90.04000000000815,0.41,0.9027777777777778,0.6805555555555556,
KXBTC15M-26SEP032345-45,UP,False,,,,True,6,6,True,42.16666666666667,10.083583333333332,True,0.8402460816955911,44.55000000000291,0.39,0.9861111111111112,0.7083333333333334,
KXBTC15M-26SEP040000-00,UP,True,UP,True,5.463976833333334,True,1,1,True,44.0,13.131333333333334,True,0.9031670645355936,81.63999999999942,0.67,1.0,0.8333333333333334,
KXBTC15M-26SEP040015-15,UP,False,,,,True,3,3,True,40.33333333333333,6.0954444444444436,True,0.7743878463326597,26.05999999999767,0.37,0.7777777777777778,0.8472222222222222,
KXBTC15M-26SEP040030-30,UP,True,UP,True,7.949529066666667,False,0,0,,,,True,0.9217433558344836,241.7200000000012,0.79,1.0,0.7638888888888888,
KXBTC15M-26SEP040045-45,DOWN,True,DOWN,True,5.94249665,False,0,0,,,,True,0.9082739815092882,228.02999999999884,0.69,1.0,0.6111111111111112,
KXBTC15M-26SEP040100-00,UP,False,,,,True,1,1,True,45.0,14.019833333333334,True,0.9159367064880992,95.0,0.44,0.9444444444444444,0.7361111111111112,
KXBTC15M-26SEP040115-15,DOWN,False,,,,True,2,2,True,42.5,4.85075,True,0.8764109641231536,83.81000000001222,0.43,0.9583333333333334,0.8472222222222222,
KXBTC15M-26SEP040130-30,UP,True,UP,True,6.59804145,True,1,1,True,36.0,12.265166666666666,True,0.9214493503820772,144.85000000000582,0.63,1.0,0.7222222222222222,
KXBTC15M-26SEP040145-45,DOWN,True,DOWN,True,1.926176916666667,False,0,0,,,,True,0.8872696532133603,121.97999999999593,0.6,1.0,0.6111111111111112,
KXBTC15M-26SEP040200-00,UP,True,DOWN,False,5.840347566666667,True,1,1,True,38.0,13.257666666666667,True,0.910214977982652,112.58000000000176,0.7,1.0,0.8333333333333334,
KXBTC15M-26SEP040215-15,UP,False,,,,True,1,1,True,44.0,5.2491666666666665,True,0.9060274910189408,83.64999999999418,0.44,1.0,0.7638888888888888,
KXBTC15M-26SEP040830-30,UP,False,,,,False,0,0,,,,False,,,,,,MIXED / UNCLASSIFIED
KXBTC15M-26SEP040845-45,DOWN,True,DOWN,True,6.752442966666666,False,0,0,,,,True,0.906654828777173,1877.8399999999965,0.936,1.0,0.75,
