ticker,target_brti,final_brti,result,target_cb_close,target_cb_ohlc4,target_cb_hl2,final_cb_close,final_cb_ohlc4,final_cb_hl2,target_err_close,final_err_close,target_err_ohlc4,final_err_ohlc4,target_err_hl2,final_err_hl2
KXBTC15M-26AUG150945-45,62973.23,62963.65,no,62960.15,62961.13,62957.22,62957.43,62956.1475,62956.274999999994,-13.080000000001746,-6.220000000001164,-12.10000000000582,-7.502500000002328,-16.010000000002037,-7.375000000007276
KXBTC15M-26AUG151000-00,62963.65,62986.05,yes,62957.43,62956.1475,62956.274999999994,62985.97,62985.4775,62987.58,-6.220000000001164,-0.08000000000174623,-7.502500000002328,-0.5725000000020373,-7.375000000007276,1.5299999999988358
KXBTC15M-26AUG151015-15,62986.05,62976.8,no,62985.97,62985.4775,62987.58,62977.21,62973.814999999995,62973.47,-0.08000000000174623,0.4099999999962165,-0.5725000000020373,-2.985000000007858,1.5299999999988358,-3.3300000000017462
KXBTC15M-26AUG151030-30,62976.8,62968.63,no,62977.21,62973.814999999995,62973.47,62965.95,62965.087499999994,62965.41,0.4099999999962165,-2.680000000000291,-2.985000000007858,-3.5425000000032014,-3.3300000000017462,-3.219999999993888
KXBTC15M-26AUG151045-45,62968.63,62971.07,yes,62965.95,62965.087499999994,62965.41,62965.85,62967.7025,62967.7,-2.680000000000291,-5.220000000001164,-3.5425000000032014,-3.367500000000291,-3.219999999993888,-3.3700000000026193
KXBTC15M-26AUG151100-00,62971.07,62978.41,yes,62965.85,62967.7025,62967.7,62966.42,62973.87999999999,62974.39,-5.220000000001164,-11.990000000005239,-3.367500000000291,-4.530000000013388,-3.3700000000026193,-4.0200000000040745
KXBTC15M-26AUG151115-15,62978.41,62973.13,no,62966.42,62973.87999999999,62974.39,62965.0,62968.1425,62968.225,-11.990000000005239,-8.12999999999738,-4.530000000013388,-4.987499999995634,-4.0200000000040745,-4.904999999998836
KXBTC15M-26AUG151130-30,62973.13,63003.93,yes,62965.0,62968.1425,62968.225,62999.99,62999.792499999996,62999.78999999999,-8.12999999999738,-3.9400000000023283,-4.987499999995634,-4.137500000004366,-4.904999999998836,-4.140000000006694
KXBTC15M-26AUG151145-45,63003.93,63042.75,yes,62999.99,62999.792499999996,62999.78999999999,63041.77,63041.767499999994,63041.765,-3.9400000000023283,-0.9800000000032014,-4.137500000004366,-0.9825000000055297,-4.140000000006694,-0.9850000000005821
KXBTC15M-26AUG151200-00,63042.75,63029.31,no,63041.77,63041.767499999994,63041.765,63022.95,63023.2625,63023.57,-0.9800000000032014,-6.360000000000582,-0.9825000000055297,-6.047500000000582,-0.9850000000005821,-5.739999999997963
KXBTC15M-26AUG151215-15,63029.31,63012.79,no,63022.95,63023.2625,63023.57,63007.47,63008.6125,63008.615000000005,-6.360000000000582,-5.319999999999709,-6.047500000000582,-4.177499999997963,-5.739999999997963,-4.174999999995634
KXBTC15M-26AUG151230-30,63012.79,63049.71,yes,63007.47,63008.6125,63008.615000000005,63054.82,63052.58500000001,63052.630000000005,-5.319999999999709,5.110000000000582,-4.177499999997963,2.875000000007276,-4.174999999995634,2.9200000000055297
KXBTC15M-26AUG151245-45,63049.71,63029.3,no,63054.82,63052.58500000001,63052.630000000005,63019.81,63024.425,63024.425,5.110000000000582,-9.490000000005239,2.875000000007276,-4.875,2.9200000000055297,-4.875
KXBTC15M-26AUG151300-00,63029.3,63027.55,no,63019.81,63024.425,63024.425,63024.05,63024.97749999999,63024.98,-9.490000000005239,-3.5,-4.875,-2.5725000000093132,-4.875,-2.569999999999709
KXBTC15M-26AUG151315-15,63027.55,63029.5,yes,63024.05,63024.97749999999,63024.98,63023.58,63024.51000000001,63024.880000000005,-3.5,-5.919999999998254,-2.5725000000093132,-4.989999999990687,-2.569999999999709,-4.619999999995343
KXBTC15M-26AUG151330-30,63029.5,63003.44,no,63023.58,63024.51000000001,63024.880000000005,62998.94,62996.8625,62997.045,-5.919999999998254,-4.5,-4.989999999990687,-6.577499999999418,-4.619999999995343,-6.3950000000040745
KXBTC15M-26AUG151345-45,63003.44,63002.56,no,62998.94,62996.8625,62997.045,62998.01,62997.555,62997.59,-4.5,-4.549999999995634,-6.577499999999418,-5.004999999997381,-6.3950000000040745,-4.970000000001164
KXBTC15M-26AUG151400-00,63002.56,63004.55,yes,62998.01,62997.555,62997.59,63000.34,63000.314999999995,62999.729999999996,-4.549999999995634,-4.210000000006403,-5.004999999997381,-4.235000000007858,-4.970000000001164,-4.820000000006985
KXBTC15M-26AUG151415-15,63004.55,63033.03,yes,63000.34,63000.314999999995,62999.729999999996,63022.95,63027.6575,63027.655,-4.210000000006403,-10.080000000001746,-4.235000000007858,-5.372499999997672,-4.820000000006985,-5.375
KXBTC15M-26AUG151430-30,63033.03,62983.27,no,63022.95,63027.6575,63027.655,62975.23,62973.607500000006,62973.605,-10.080000000001746,-8.039999999993597,-5.372499999997672,-9.662499999991269,-5.375,-9.664999999993597
KXBTC15M-26AUG151445-45,62983.27,62984.8,yes,62975.23,62973.607500000006,62973.605,62972.72,62974.262500000004,62974.015,-8.039999999993597,-12.080000000001746,-9.662499999991269,-10.537499999998545,-9.664999999993597,-10.785000000003492
KXBTC15M-26AUG151500-00,62984.8,62991.73,yes,62972.72,62974.262500000004,62974.015,62989.52,62989.409999999996,62989.5,-12.080000000001746,-2.210000000006403,-10.537499999998545,-2.320000000006985,-10.785000000003492,-2.2300000000032014
KXBTC15M-26AUG151515-15,62991.73,63017.26,yes,62989.52,62989.409999999996,62989.5,63009.32,63010.1025,63009.15,-2.210000000006403,-7.940000000002328,-2.320000000006985,-7.157500000001164,-2.2300000000032014,-8.110000000000582
KXBTC15M-26AUG151530-30,63017.26,63031.38,yes,63009.32,63010.1025,63009.15,63028.11,63028.56,63028.56,-7.940000000002328,-3.2699999999967986,-7.157500000001164,-2.819999999999709,-8.110000000000582,-2.819999999999709
KXBTC15M-26AUG151545-45,63031.38,63040.9,yes,63028.11,63028.56,63028.56,63034.52,63034.517499999994,63034.515,-3.2699999999967986,-6.380000000004657,-2.819999999999709,-6.382500000006985,-2.819999999999709,-6.385000000002037
KXBTC15M-26AUG151600-00,63040.9,63056.46,yes,63034.52,63034.517499999994,63034.515,63051.39,63050.475000000006,63050.770000000004,-6.380000000004657,-5.069999999999709,-6.382500000006985,-5.984999999993306,-6.385000000002037,-5.689999999995052
KXBTC15M-26AUG151615-15,63056.46,63016.79,no,63051.39,63050.475000000006,63050.770000000004,63010.06,63009.972499999996,63009.97,-5.069999999999709,-6.730000000003201,-5.984999999993306,-6.817500000004657,-5.689999999995052,-6.819999999999709
KXBTC15M-26AUG151630-30,63016.79,63013.87,no,63010.06,63009.972499999996,63009.97,63005.99,63007.175,63006.175,-6.730000000003201,-7.880000000004657,-6.817500000004657,-6.694999999999709,-6.819999999999709,-7.694999999999709
KXBTC15M-26AUG151645-45,63013.87,63019.67,yes,63005.99,63007.175,63006.175,63013.66,63012.35,63012.685,-7.880000000004657,-6.009999999994761,-6.694999999999709,-7.319999999999709,-7.694999999999709,-6.985000000000582
KXBTC15M-26AUG151700-00,63019.67,63037.69,yes,63013.66,63012.35,63012.685,63036.5,63036.505000000005,63036.505000000005,-6.009999999994761,-1.1900000000023283,-7.319999999999709,-1.1849999999976717,-6.985000000000582,-1.1849999999976717
KXBTC15M-26AUG151715-15,63037.69,63040.98,yes,63036.5,63036.505000000005,63036.505000000005,63035.45,63035.895000000004,63035.685,-1.1900000000023283,-5.530000000006112,-1.1849999999976717,-5.084999999999127,-1.1849999999976717,-5.29500000000553
KXBTC15M-26AUG151730-30,63040.98,63078.64,yes,63035.45,63035.895000000004,63035.685,63076.22,63075.112499999996,63073.64,-5.530000000006112,-2.4199999999982538,-5.084999999999127,-3.5275000000037835,-5.29500000000553,-5.0
KXBTC15M-26AUG151745-45,63078.64,63092.78,yes,63076.22,63075.112499999996,63073.64,63097.07,63093.1875,63093.47,-2.4199999999982538,4.290000000000873,-3.5275000000037835,0.40750000000116415,-5.0,0.6900000000023283
KXBTC15M-26AUG151800-00,63092.78,63088.04,no,63097.07,63093.1875,63093.47,63085.92,63086.88249999999,63086.42,4.290000000000873,-2.1200000000026193,0.40750000000116415,-1.15750000000844,0.6900000000023283,-1.6200000000026193
KXBTC15M-26AUG151815-15,63088.04,63082.93,no,63085.92,63086.88249999999,63086.42,63078.58,63078.0475,63078.020000000004,-2.1200000000026193,-4.349999999998545,-1.15750000000844,-4.882499999999709,-1.6200000000026193,-4.9099999999962165
KXBTC15M-26AUG151830-30,63082.93,63081.75,no,63078.58,63078.0475,63078.020000000004,63083.97,63079.6,63079.384999999995,-4.349999999998545,2.220000000001164,-4.882499999999709,-2.150000000001455,-4.9099999999962165,-2.3650000000052387
