model,gate,threshold,calls,accuracy,coverage,avg_ask,avg_time,avg_target_c
LOGISTIC,OPEN,0.55,21,52.38095238095239,100.0,24.171428571428574,7.841625545238095,5.523809523809524
LOGISTIC,OPEN,0.6,18,61.111111111111114,85.71428571428571,26.700000000000003,8.211811812037036,5.777777777777778
LOGISTIC,OPEN,0.65,18,55.55555555555556,85.71428571428571,27.755555555555556,8.045176034259258,5.888888888888889
LOGISTIC,OPEN,0.7,17,58.82352941176471,80.95238095238095,28.799999999999994,8.008710196078432,6.0588235294117645
LOGISTIC,OPEN,0.75,15,66.66666666666666,71.42857142857143,30.233333333333334,8.25736654,6.2
LOGISTIC,OPEN,0.8,14,71.42857142857143,66.66666666666667,29.607142857142854,7.757277385714287,6.0
LOGISTIC,OPEN,0.85,11,63.63636363636363,52.38095238095238,34.36363636363636,8.359451093939393,6.636363636363637
LOGISTIC,OPEN,0.9,7,57.14285714285714,33.333333333333336,42.0,8.234243297619047,7.857142857142857
LOGISTIC,CHOP,0.55,21,52.38095238095239,100.0,24.171428571428574,7.841625545238095,5.523809523809524
LOGISTIC,CHOP,0.6,18,61.111111111111114,85.71428571428571,26.700000000000003,8.211811812037036,5.777777777777778
LOGISTIC,CHOP,0.65,18,55.55555555555556,85.71428571428571,27.755555555555556,8.045176034259258,5.888888888888889
LOGISTIC,CHOP,0.7,17,58.82352941176471,80.95238095238095,28.799999999999994,8.008710196078432,6.0588235294117645
LOGISTIC,CHOP,0.75,15,66.66666666666666,71.42857142857143,30.233333333333334,8.25736654,6.2
LOGISTIC,CHOP,0.8,14,71.42857142857143,66.66666666666667,29.607142857142854,7.757277385714287,6.0
LOGISTIC,CHOP,0.85,11,63.63636363636363,52.38095238095238,34.36363636363636,8.359451093939393,6.636363636363637
LOGISTIC,CHOP,0.9,7,57.14285714285714,33.333333333333336,42.0,8.234243297619047,7.857142857142857
LOGISTIC,REVERSAL,0.55,19,26.31578947368421,90.47619047619048,27.273684210526316,7.388834914035088,5.894736842105263
LOGISTIC,REVERSAL,0.6,18,33.33333333333333,85.71428571428571,28.977777777777774,7.30438625462963,6.055555555555555
LOGISTIC,REVERSAL,0.65,17,35.294117647058826,80.95238095238095,28.447058823529414,7.297538024509803,5.9411764705882355
LOGISTIC,REVERSAL,0.7,15,40.0,71.42857142857143,28.89333333333333,7.0674693500000005,6.133333333333334
LOGISTIC,REVERSAL,0.75,12,50.0,57.142857142857146,32.54166666666667,7.556468759722223,6.5
LOGISTIC,REVERSAL,0.8,10,60.0,47.61904761904762,31.55,7.167856619999999,6.3
LOGISTIC,REVERSAL,0.85,7,42.857142857142854,33.333333333333336,35.285714285714285,8.040243011904762,6.714285714285714
LOGISTIC,REVERSAL,0.9,5,40.0,23.80952380952381,39.4,8.262577766666666,7.4
LOGISTIC,BRTI_FLIP,0.55,4,75.0,19.047619047619047,42.75,8.088253683333333,8.25
LOGISTIC,BRTI_FLIP,0.6,4,75.0,19.047619047619047,42.75,8.088253683333333,8.25
LOGISTIC,BRTI_FLIP,0.65,4,75.0,19.047619047619047,42.75,8.088253683333333,8.25
LOGISTIC,BRTI_FLIP,0.7,4,75.0,19.047619047619047,42.75,8.088253683333333,8.25
LOGISTIC,BRTI_FLIP,0.75,4,75.0,19.047619047619047,42.75,8.088253683333333,8.25
LOGISTIC,BRTI_FLIP,0.8,4,50.0,19.047619047619047,46.5,8.046569366666667,8.75
LOGISTIC,BRTI_FLIP,0.85,3,66.66666666666666,14.285714285714286,45.33333333333333,8.217320872222222,8.666666666666666
LOGISTIC,BRTI_FLIP,0.9,2,50.0,9.523809523809524,48.0,8.979657508333334,9.0
LOGISTIC,LAG_EVENT,0.55,19,52.63157894736842,90.47619047619048,26.763157894736842,7.752142157894737,5.7894736842105265
LOGISTIC,LAG_EVENT,0.6,16,50.0,76.19047619047619,29.38125,7.996654819791667,6.125
LOGISTIC,LAG_EVENT,0.65,16,50.0,76.19047619047619,29.318749999999998,7.684183804166667,6.0
LOGISTIC,LAG_EVENT,0.7,13,61.53846153846154,61.904761904761905,29.930769230769233,7.726030126923077,6.153846153846154
LOGISTIC,LAG_EVENT,0.75,12,66.66666666666666,57.142857142857146,32.083333333333336,8.010314818055557,6.333333333333333
LOGISTIC,LAG_EVENT,0.8,10,80.0,47.61904761904762,31.5,7.462444263333333,6.1
LOGISTIC,LAG_EVENT,0.85,8,62.5,38.095238095238095,32.99999999999999,8.390091866666666,6.375
LOGISTIC,LAG_EVENT,0.9,5,60.0,23.80952380952381,39.0,8.454492949999999,7.4
LOGISTIC,HYBRID,0.55,21,52.38095238095239,100.0,24.171428571428574,7.841625545238095,5.523809523809524
LOGISTIC,HYBRID,0.6,18,61.111111111111114,85.71428571428571,26.700000000000003,8.211811812037036,5.777777777777778
LOGISTIC,HYBRID,0.65,18,55.55555555555556,85.71428571428571,27.755555555555556,8.045176034259258,5.888888888888889
LOGISTIC,HYBRID,0.7,17,58.82352941176471,80.95238095238095,28.799999999999994,8.008710196078432,6.0588235294117645
LOGISTIC,HYBRID,0.75,15,66.66666666666666,71.42857142857143,30.233333333333334,8.25736654,6.2
LOGISTIC,HYBRID,0.8,14,71.42857142857143,66.66666666666667,29.607142857142854,7.757277385714287,6.0
LOGISTIC,HYBRID,0.85,11,63.63636363636363,52.38095238095238,34.36363636363636,8.359451093939393,6.636363636363637
LOGISTIC,HYBRID,0.9,7,57.14285714285714,33.333333333333336,42.0,8.234243297619047,7.857142857142857
RF,OPEN,0.55,18,61.111111111111114,85.71428571428571,31.027777777777775,8.209497789814815,6.333333333333333
RF,OPEN,0.6,17,58.82352941176471,80.95238095238095,32.088235294117645,8.36298064019608,6.588235294117647
RF,OPEN,0.65,9,77.77777777777779,42.857142857142854,35.333333333333336,8.871273353703705,6.888888888888889
RF,OPEN,0.7,8,87.5,38.095238095238095,36.375,9.232010960416666,7.125
RF,OPEN,0.75,6,100.0,28.571428571428573,32.5,8.051371030555556,6.166666666666667
RF,OPEN,0.8,4,100.0,19.047619047619047,27.500000000000004,6.2957127,5.25
RF,OPEN,0.85,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,OPEN,0.9,0,,0.0,,,
RF,CHOP,0.55,17,58.82352941176471,80.95238095238095,32.088235294117645,8.498178852941178,6.470588235294118
RF,CHOP,0.6,16,56.25,76.19047619047619,33.28124999999999,8.679296947916669,6.75
RF,CHOP,0.65,9,77.77777777777779,42.857142857142854,35.333333333333336,8.871273353703705,6.888888888888889
RF,CHOP,0.7,8,87.5,38.095238095238095,36.375,9.232010960416666,7.125
RF,CHOP,0.75,6,100.0,28.571428571428573,32.5,8.051371030555556,6.166666666666667
RF,CHOP,0.8,4,100.0,19.047619047619047,27.500000000000004,6.2957127,5.25
RF,CHOP,0.85,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,CHOP,0.9,0,,0.0,,,
RF,REVERSAL,0.55,16,56.25,76.19047619047619,32.65625,8.060781430208333,6.5625
RF,REVERSAL,0.6,14,57.14285714285714,66.66666666666667,33.25,8.346292972619048,6.714285714285714
RF,REVERSAL,0.65,9,55.55555555555556,42.857142857142854,39.33333333333333,8.001076364814814,7.555555555555555
RF,REVERSAL,0.7,6,83.33333333333334,28.571428571428573,39.33333333333333,8.550535597222222,7.5
RF,REVERSAL,0.75,4,100.0,19.047619047619047,38.25,8.046277208333333,7.25
RF,REVERSAL,0.8,2,100.0,9.523809523809524,30.5,4.9465643833333335,6.0
RF,REVERSAL,0.85,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,REVERSAL,0.9,0,,0.0,,,
RF,BRTI_FLIP,0.55,8,62.5,38.095238095238095,42.25,8.302015966666666,8.125
RF,BRTI_FLIP,0.6,8,62.5,38.095238095238095,42.25,8.302015966666666,8.125
RF,BRTI_FLIP,0.65,6,100.0,28.571428571428573,39.166666666666664,8.080796055555556,7.666666666666667
RF,BRTI_FLIP,0.7,5,100.0,23.80952380952381,39.2,8.046139106666667,7.6
RF,BRTI_FLIP,0.75,4,100.0,19.047619047619047,39.75,7.775729695833333,7.75
RF,BRTI_FLIP,0.8,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,BRTI_FLIP,0.85,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,BRTI_FLIP,0.9,0,,0.0,,,
RF,LAG_EVENT,0.55,16,56.25,76.19047619047619,33.75,8.150267394791667,6.6875
RF,LAG_EVENT,0.6,14,57.14285714285714,66.66666666666667,35.14285714285714,8.359238075000002,7.0
RF,LAG_EVENT,0.65,9,55.55555555555556,42.857142857142854,38.22222222222222,8.426793877777778,7.333333333333333
RF,LAG_EVENT,0.7,7,71.42857142857143,33.333333333333336,41.42857142857142,8.82950833095238,7.857142857142857
RF,LAG_EVENT,0.75,4,100.0,19.047619047619047,38.25,8.046277208333333,7.25
RF,LAG_EVENT,0.8,2,100.0,9.523809523809524,30.5,4.9465643833333335,6.0
RF,LAG_EVENT,0.85,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,LAG_EVENT,0.9,0,,0.0,,,
RF,HYBRID,0.55,18,61.111111111111114,85.71428571428571,31.027777777777775,8.209497789814815,6.333333333333333
RF,HYBRID,0.6,17,58.82352941176471,80.95238095238095,32.088235294117645,8.36298064019608,6.588235294117647
RF,HYBRID,0.65,9,77.77777777777779,42.857142857142854,35.333333333333336,8.871273353703705,6.888888888888889
RF,HYBRID,0.7,8,87.5,38.095238095238095,36.375,9.232010960416666,7.125
RF,HYBRID,0.75,6,100.0,28.571428571428573,32.5,8.051371030555556,6.166666666666667
RF,HYBRID,0.8,4,100.0,19.047619047619047,27.500000000000004,6.2957127,5.25
RF,HYBRID,0.85,1,100.0,4.761904761904762,38.0,6.2842189,7.000000000000001
RF,HYBRID,0.9,0,,0.0,,,
HGB,OPEN,0.55,17,52.94117647058824,80.95238095238095,29.964705882352938,8.387606085294117,6.176470588235294
HGB,OPEN,0.6,17,47.05882352941176,80.95238095238095,30.847058823529412,8.289566525490196,6.352941176470588
HGB,OPEN,0.65,16,56.25,76.19047619047619,28.837500000000006,8.129073177083335,6.0
HGB,OPEN,0.7,15,66.66666666666666,71.42857142857143,28.09333333333333,8.028454930000002,5.933333333333334
HGB,OPEN,0.75,13,69.23076923076923,61.904761904761905,30.999999999999993,8.34223923076923,6.3076923076923075
HGB,OPEN,0.8,13,69.23076923076923,61.904761904761905,33.07692307692307,7.431993150000001,6.538461538461538
HGB,OPEN,0.85,11,81.81818181818183,52.38095238095238,34.090909090909086,7.396365336363636,6.545454545454546
HGB,OPEN,0.9,6,83.33333333333334,28.571428571428573,35.166666666666664,7.258236127777778,6.833333333333333
HGB,CHOP,0.55,17,52.94117647058824,80.95238095238095,30.31764705882353,8.353270333333333,6.235294117647059
HGB,CHOP,0.6,17,52.94117647058824,80.95238095238095,29.435294117647054,8.137580669607845,6.176470588235294
HGB,CHOP,0.65,16,56.25,76.19047619047619,28.837500000000006,8.129073177083335,6.0
HGB,CHOP,0.7,15,66.66666666666666,71.42857142857143,28.09333333333333,8.028454930000002,5.933333333333334
HGB,CHOP,0.75,13,69.23076923076923,61.904761904761905,30.999999999999993,8.34223923076923,6.3076923076923075
HGB,CHOP,0.8,13,69.23076923076923,61.904761904761905,33.07692307692307,7.431993150000001,6.538461538461538
HGB,CHOP,0.85,10,80.0,47.61904761904762,32.599999999999994,7.360606091666666,6.3
HGB,CHOP,0.9,6,83.33333333333334,28.571428571428573,35.166666666666664,7.258236127777778,6.833333333333333
HGB,REVERSAL,0.55,16,50.0,76.19047619047619,33.625,7.8849931895833345,6.5625
HGB,REVERSAL,0.6,15,46.666666666666664,71.42857142857143,33.733333333333334,7.820152371111112,6.6
