ask_max,fair_min,edge_min,min_tl,max_tl,min_gap,min_ratio,persistence,strengthening,side_agree,calls,contracts,coverage,accuracy,avg_ask,median_ask,avg_time_left,median_time_left,avg_fair,avg_edge,validation_rank
0.45,0.75,0.08,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,1
0.45,0.75,0.08,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,2
0.45,0.75,0.1,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,3
0.45,0.75,0.1,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,4
0.45,0.75,0.12,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,5
0.45,0.75,0.12,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,6
0.45,0.75,0.15,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,7
0.45,0.75,0.15,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,8
0.45,0.75,0.2,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,9
0.45,0.75,0.2,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,10
0.45,0.75,0.25,2.0,10.0,25.0,0.0,1,False,False,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,11
0.45,0.75,0.25,2.0,10.0,25.0,0.0,1,False,True,16,99,0.16161616161616163,1.0,0.356875,0.38,5.3125,4.5,0.835412920163981,0.478537920163981,12
0.45,0.8,0.08,2.0,10.0,0.0,0.0,1,False,False,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,13
0.45,0.8,0.08,2.0,10.0,0.0,0.0,1,False,True,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,14
0.45,0.8,0.1,2.0,10.0,0.0,0.0,1,False,False,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,15
0.45,0.8,0.1,2.0,10.0,0.0,0.0,1,False,True,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,16
0.45,0.8,0.12,2.0,10.0,0.0,0.0,1,False,False,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,17
0.45,0.8,0.12,2.0,10.0,0.0,0.0,1,False,True,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,18
0.45,0.8,0.15,2.0,10.0,0.0,0.0,1,False,False,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,19
0.45,0.8,0.15,2.0,10.0,0.0,0.0,1,False,True,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,20
0.45,0.8,0.2,2.0,10.0,0.0,0.0,1,False,False,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,21
0.45,0.8,0.2,2.0,10.0,0.0,0.0,1,False,True,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,22
0.45,0.8,0.25,2.0,10.0,0.0,0.0,1,False,False,14,99,0.1414141414141414,1.0,0.3521428571428572,0.375,5.142857142857143,4.5,0.8481342557578248,0.4959913986149677,23
