contract,official_side,final_side,baseline_correct,baseline_time_left,anchor_found,anchor_time_left,anchor_delta_seconds,anchor_reversal,guarded_call,guarded_correct,guarded_time_left,guarded_reversal,guard_status,scalp_signal
KXBTC15M-26SEP032315-15,UP,UP,True,7.9861075,True,7.9861075,0.0,MIXED,True,True,7.8198321,PUSH,RECOVERED_AFTER_CLEAR,False
KXBTC15M-26SEP032330-30,DOWN,DOWN,True,0.8139768833333334,True,0.8139768833333334,0.0,PUSH,True,True,0.8139768833333334,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP040000-00,UP,UP,True,5.463976833333334,True,5.463976833333334,0.0,MIXED,False,,,,SUPPRESSED_MIXED_NO_CLEAR,True
KXBTC15M-26SEP040030-30,UP,UP,True,7.949529066666667,True,7.949529066666667,0.0,MIXED,True,True,7.532181483333333,PUSH,RECOVERED_AFTER_CLEAR,False
KXBTC15M-26SEP040045-45,DOWN,DOWN,True,5.94249665,True,5.94249665,0.0,PUSH,True,True,5.94249665,PUSH,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP040130-30,UP,UP,True,6.59804145,True,6.59804145,0.0,PUSH,True,True,6.59804145,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP040145-45,DOWN,DOWN,True,1.926176916666667,True,1.926176916666667,0.0,MIXED,False,,,,SUPPRESSED_MIXED_NO_CLEAR,False
KXBTC15M-26SEP040200-00,UP,DOWN,False,5.840347566666667,True,5.840347566666667,0.0,MIXED,True,False,5.507345466666666,PUSH,RECOVERED_AFTER_CLEAR,True
KXBTC15M-26SEP040845-45,DOWN,DOWN,True,6.752442966666666,True,6.752442966666666,0.0,AGAINST,True,True,6.752442966666666,AGAINST,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP040915-15,DOWN,DOWN,True,0.9825267,True,0.9825267,0.0,PUSH,True,True,0.9825267,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP040930-30,UP,UP,True,7.972311033333333,True,7.972311033333333,0.0,PUSH,True,True,7.972311033333333,PUSH,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041000-00,DOWN,UP,False,7.9520107,True,7.9520107,0.0,MIXED,True,False,7.86899325,PUSH,RECOVERED_AFTER_CLEAR,True
KXBTC15M-26SEP041045-45,DOWN,DOWN,True,3.9207573,True,3.9207573,0.0,MIXED,True,True,3.6695139,PUSH,RECOVERED_AFTER_CLEAR,False
KXBTC15M-26SEP041100-00,DOWN,DOWN,True,4.996817533333333,True,4.996817533333333,0.0,MIXED,False,,,,SUPPRESSED_MIXED_NO_CLEAR,True
KXBTC15M-26SEP041115-15,UP,UP,True,6.991721966666666,True,6.991721966666666,0.0,PUSH,True,True,6.991721966666666,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP041130-30,UP,UP,True,6.814702183333334,True,6.814702183333334,0.0,PUSH,True,True,6.814702183333334,PUSH,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041145-45,UP,UP,True,4.973562983333333,True,4.973562983333333,0.0,PUSH,True,True,4.973562983333333,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP041200-00,DOWN,DOWN,True,3.2968827666666667,True,3.2968827666666667,0.0,PUSH,True,True,3.2968827666666667,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP041215-15,UP,UP,True,1.9482472833333333,True,1.9482472833333333,0.0,PUSH,True,True,1.9482472833333333,PUSH,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP041230-30,UP,UP,True,2.0237212333333336,True,2.0237212333333336,0.0,PUSH,True,True,2.0237212333333336,PUSH,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041245-45,UP,UP,True,7.930045216666667,True,7.930045216666667,0.0,AGAINST,True,True,7.930045216666667,AGAINST,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041300-00,DOWN,DOWN,True,0.9277663666666668,True,0.9277663666666668,0.0,AGAINST,True,True,0.9277663666666668,AGAINST,UNCHANGED_NON_MIXED,True
KXBTC15M-26SEP041315-15,DOWN,DOWN,True,3.9252986333333335,True,3.9252986333333335,0.0,MIXED,False,,,,SUPPRESSED_MIXED_NO_CLEAR,False
KXBTC15M-26SEP041330-30,DOWN,DOWN,True,1.99937615,True,1.99937615,0.0,AGAINST,True,True,1.99937615,AGAINST,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041415-15,UP,UP,True,7.97640385,True,7.97640385,0.0,PUSH,True,True,7.97640385,PUSH,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041430-30,UP,UP,True,7.969580616666667,True,7.969580616666667,0.0,PUSH,True,True,7.969580616666667,PUSH,UNCHANGED_NON_MIXED,False
KXBTC15M-26SEP041445-45,UP,UP,True,2.9660234,True,2.9660234,0.0,MIXED,True,True,2.7159308833333333,PUSH,RECOVERED_AFTER_CLEAR,True
