contract,official_side,final_side,original_state,original_time_left,guarded_final_call,guarded_time_left,guarded_state,guarded_correct,status,scalp_signal,guarded_union_actionable
KXBTC15M-26SEP032315-15,UP,UP,MIXED,7.9861075,True,7.8198321,PUSH,True,RECOVERED_AFTER_45S_CLEAR,False,True
KXBTC15M-26SEP032330-30,DOWN,DOWN,PUSH,0.8139768833333334,True,0.8139768833333334,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP040000-00,UP,UP,MIXED,5.463976833333334,False,,,,SUPPRESSED_MIXED_NO_CLEAR,True,True
KXBTC15M-26SEP040030-30,UP,UP,MIXED,7.949529066666667,True,7.532181483333333,PUSH,True,RECOVERED_AFTER_45S_CLEAR,False,True
KXBTC15M-26SEP040045-45,DOWN,DOWN,PUSH,5.94249665,True,5.94249665,PUSH,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP040130-30,UP,UP,PUSH,6.59804145,True,6.59804145,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP040145-45,DOWN,DOWN,MIXED,1.926176916666667,False,,,,SUPPRESSED_MIXED_NO_CLEAR,False,False
KXBTC15M-26SEP040200-00,UP,DOWN,MIXED,5.840347566666667,True,5.507345466666666,PUSH,False,RECOVERED_AFTER_45S_CLEAR,True,True
KXBTC15M-26SEP040845-45,DOWN,DOWN,AGAINST,6.752442966666666,True,6.752442966666666,AGAINST,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP040915-15,DOWN,DOWN,PUSH,0.9825267,True,0.9825267,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP040930-30,UP,UP,PUSH,7.972311033333333,True,7.972311033333333,PUSH,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041000-00,DOWN,UP,MIXED,7.9520107,True,7.86899325,PUSH,False,RECOVERED_AFTER_45S_CLEAR,True,True
KXBTC15M-26SEP041045-45,DOWN,DOWN,MIXED,3.9207573,True,3.6695139,PUSH,True,RECOVERED_AFTER_45S_CLEAR,False,True
KXBTC15M-26SEP041100-00,DOWN,DOWN,MIXED,4.996817533333333,False,,,,SUPPRESSED_MIXED_NO_CLEAR,True,True
KXBTC15M-26SEP041115-15,UP,UP,PUSH,6.991721966666666,True,6.991721966666666,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP041130-30,UP,UP,PUSH,6.814702183333334,True,6.814702183333334,PUSH,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041145-45,UP,UP,PUSH,4.973562983333333,True,4.973562983333333,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP041200-00,DOWN,DOWN,PUSH,3.2968827666666667,True,3.2968827666666667,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP041215-15,UP,UP,PUSH,1.9482472833333333,True,1.9482472833333333,PUSH,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP041230-30,UP,UP,PUSH,2.0237212333333336,True,2.0237212333333336,PUSH,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041245-45,UP,UP,AGAINST,7.930045216666667,True,7.930045216666667,AGAINST,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041300-00,DOWN,DOWN,AGAINST,0.9277663666666668,True,0.9277663666666668,AGAINST,True,UNCHANGED_NON_MIXED,True,True
KXBTC15M-26SEP041315-15,DOWN,DOWN,MIXED,3.9252986333333335,False,,,,SUPPRESSED_MIXED_NO_CLEAR,False,False
KXBTC15M-26SEP041330-30,DOWN,DOWN,AGAINST,1.99937615,True,1.99937615,AGAINST,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041415-15,UP,UP,PUSH,7.97640385,True,7.97640385,PUSH,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041430-30,UP,UP,PUSH,7.969580616666667,True,7.969580616666667,PUSH,True,UNCHANGED_NON_MIXED,False,True
KXBTC15M-26SEP041445-45,UP,UP,MIXED,2.9660234,True,2.7159308833333333,PUSH,True,RECOVERED_AFTER_45S_CLEAR,True,True
KXBTC15M-26SEP032245-45,UP,,,,False,,,,NO_BASE_FINAL,False,False
KXBTC15M-26SEP032300-00,UP,,,,False,,,,NO_BASE_FINAL,False,False
KXBTC15M-26SEP032345-45,UP,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP040015-15,UP,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP040100-00,UP,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP040115-15,DOWN,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP040215-15,UP,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP040830-30,UP,,,,False,,,,NO_BASE_FINAL,False,False
KXBTC15M-26SEP040900-00,DOWN,,,,False,,,,NO_BASE_FINAL,False,False
KXBTC15M-26SEP040945-45,UP,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP041015-15,UP,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP041030-30,DOWN,,,,False,,,,NO_BASE_FINAL,False,False
KXBTC15M-26SEP041345-45,DOWN,,,,False,,,,NO_BASE_FINAL,True,True
KXBTC15M-26SEP041400-00,DOWN,,,,False,,,,NO_BASE_FINAL,True,True
