contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG301930-30,2026-08-30 23:16:00+00:00,0.55,0.54,0.45999999999999996
KXBTC15M-26AUG301930-30,2026-08-30 23:17:00+00:00,0.44,0.43,0.5700000000000001
KXBTC15M-26AUG301930-30,2026-08-30 23:18:00+00:00,0.34,0.33,0.6699999999999999
KXBTC15M-26AUG301930-30,2026-08-30 23:19:00+00:00,0.39,0.38,0.62
KXBTC15M-26AUG301930-30,2026-08-30 23:20:00+00:00,0.56,0.55,0.44999999999999996
KXBTC15M-26AUG301930-30,2026-08-30 23:21:00+00:00,0.55,0.54,0.45999999999999996
KXBTC15M-26AUG301930-30,2026-08-30 23:22:00+00:00,0.56,0.55,0.44999999999999996
KXBTC15M-26AUG301930-30,2026-08-30 23:23:00+00:00,0.48,0.47,0.53
KXBTC15M-26AUG301930-30,2026-08-30 23:24:00+00:00,0.1,0.099,0.901
KXBTC15M-26AUG301930-30,2026-08-30 23:25:00+00:00,0.024,0.022,0.978
KXBTC15M-26AUG301930-30,2026-08-30 23:26:00+00:00,0.013,0.012,0.988
KXBTC15M-26AUG301930-30,2026-08-30 23:27:00+00:00,0.006,0.005,0.995
KXBTC15M-26AUG301930-30,2026-08-30 23:28:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG301930-30,2026-08-30 23:29:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG301930-30,2026-08-30 23:30:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG301930-30,2026-08-30 23:31:00+00:00,1.0,0.0,1.0
KXBTC15M-26AUG301945-45,2026-08-30 23:31:00+00:00,0.64,0.63,0.37
KXBTC15M-26AUG301945-45,2026-08-30 23:32:00+00:00,0.72,0.71,0.29000000000000004
KXBTC15M-26AUG301945-45,2026-08-30 23:33:00+00:00,0.55,0.54,0.45999999999999996
KXBTC15M-26AUG301945-45,2026-08-30 23:34:00+00:00,0.6,0.59,0.41000000000000003
KXBTC15M-26AUG301945-45,2026-08-30 23:35:00+00:00,0.54,0.53,0.47
KXBTC15M-26AUG301945-45,2026-08-30 23:36:00+00:00,0.36,0.35,0.65
KXBTC15M-26AUG301945-45,2026-08-30 23:37:00+00:00,0.45,0.44,0.56
KXBTC15M-26AUG301945-45,2026-08-30 23:38:00+00:00,0.37,0.36,0.64
KXBTC15M-26AUG301945-45,2026-08-30 23:39:00+00:00,0.15,0.14,0.86
KXBTC15M-26AUG301945-45,2026-08-30 23:40:00+00:00,0.058,0.054,0.946
KXBTC15M-26AUG301945-45,2026-08-30 23:41:00+00:00,0.029,0.027,0.973
KXBTC15M-26AUG301945-45,2026-08-30 23:42:00+00:00,0.004,0.003,0.997
KXBTC15M-26AUG301945-45,2026-08-30 23:43:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG301945-45,2026-08-30 23:44:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG301945-45,2026-08-30 23:45:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG301945-45,2026-08-30 23:46:00+00:00,1.0,0.0,1.0
KXBTC15M-26AUG302000-00,2026-08-30 23:46:00+00:00,0.39,0.38,0.62
KXBTC15M-26AUG302000-00,2026-08-30 23:47:00+00:00,0.26,0.25,0.75
KXBTC15M-26AUG302000-00,2026-08-30 23:48:00+00:00,0.19,0.18,0.8200000000000001
KXBTC15M-26AUG302000-00,2026-08-30 23:49:00+00:00,0.17,0.16,0.84
KXBTC15M-26AUG302000-00,2026-08-30 23:50:00+00:00,0.34,0.33,0.6699999999999999
KXBTC15M-26AUG302000-00,2026-08-30 23:51:00+00:00,0.45,0.44,0.56
KXBTC15M-26AUG302000-00,2026-08-30 23:52:00+00:00,0.51,0.5,0.5
KXBTC15M-26AUG302000-00,2026-08-30 23:53:00+00:00,0.73,0.72,0.28
KXBTC15M-26AUG302000-00,2026-08-30 23:54:00+00:00,0.66,0.65,0.35
KXBTC15M-26AUG302000-00,2026-08-30 23:55:00+00:00,0.73,0.72,0.28
KXBTC15M-26AUG302000-00,2026-08-30 23:56:00+00:00,0.77,0.76,0.24
KXBTC15M-26AUG302000-00,2026-08-30 23:57:00+00:00,0.973,0.972,0.028000000000000025
KXBTC15M-26AUG302000-00,2026-08-30 23:58:00+00:00,0.986,0.985,0.015000000000000013
KXBTC15M-26AUG302000-00,2026-08-30 23:59:00+00:00,0.999,0.998,0.0020000000000000018
KXBTC15M-26AUG302000-00,2026-08-31 00:00:00+00:00,1.0,0.999,0.0010000000000000009
KXBTC15M-26AUG302000-00,2026-08-31 00:01:00+00:00,1.0,0.0,1.0
KXBTC15M-26AUG302015-15,2026-08-31 00:01:00+00:00,0.41,0.4,0.6
KXBTC15M-26AUG302015-15,2026-08-31 00:02:00+00:00,0.49,0.48,0.52
KXBTC15M-26AUG302015-15,2026-08-31 00:03:00+00:00,0.49,0.48,0.52
KXBTC15M-26AUG302015-15,2026-08-31 00:04:00+00:00,0.61,0.6,0.4
KXBTC15M-26AUG302015-15,2026-08-31 00:05:00+00:00,0.67,0.66,0.33999999999999997
KXBTC15M-26AUG302015-15,2026-08-31 00:06:00+00:00,0.59,0.58,0.42000000000000004
KXBTC15M-26AUG302015-15,2026-08-31 00:07:00+00:00,0.32,0.31,0.69
KXBTC15M-26AUG302015-15,2026-08-31 00:08:00+00:00,0.16,0.15,0.85
KXBTC15M-26AUG302015-15,2026-08-31 00:09:00+00:00,0.13,0.12,0.88
KXBTC15M-26AUG302015-15,2026-08-31 00:10:00+00:00,0.042,0.041,0.959
KXBTC15M-26AUG302015-15,2026-08-31 00:11:00+00:00,0.019,0.018,0.982
KXBTC15M-26AUG302015-15,2026-08-31 00:12:00+00:00,0.16,0.15,0.85
KXBTC15M-26AUG302015-15,2026-08-31 00:13:00+00:00,0.098,0.096,0.904
KXBTC15M-26AUG302015-15,2026-08-31 00:14:00+00:00,0.65,0.63,0.37
KXBTC15M-26AUG302015-15,2026-08-31 00:15:00+00:00,1.0,0.999,0.0010000000000000009
KXBTC15M-26AUG302015-15,2026-08-31 00:16:00+00:00,1.0,0.0,1.0
KXBTC15M-26AUG302030-30,2026-08-31 00:16:00+00:00,0.57,0.56,0.43999999999999995
KXBTC15M-26AUG302030-30,2026-08-31 00:17:00+00:00,0.69,0.68,0.31999999999999995
KXBTC15M-26AUG302030-30,2026-08-31 00:18:00+00:00,0.7,0.69,0.31000000000000005
KXBTC15M-26AUG302030-30,2026-08-31 00:19:00+00:00,0.73,0.72,0.28
KXBTC15M-26AUG302030-30,2026-08-31 00:20:00+00:00,0.74,0.73,0.27
KXBTC15M-26AUG302030-30,2026-08-31 00:21:00+00:00,0.84,0.83,0.17000000000000004
KXBTC15M-26AUG302030-30,2026-08-31 00:22:00+00:00,0.87,0.86,0.14
KXBTC15M-26AUG302030-30,2026-08-31 00:23:00+00:00,0.902,0.901,0.09899999999999998
KXBTC15M-26AUG302030-30,2026-08-31 00:24:00+00:00,0.944,0.943,0.05700000000000005
KXBTC15M-26AUG302030-30,2026-08-31 00:25:00+00:00,0.956,0.955,0.04500000000000004
KXBTC15M-26AUG302030-30,2026-08-31 00:26:00+00:00,0.971,0.97,0.030000000000000027
KXBTC15M-26AUG302030-30,2026-08-31 00:27:00+00:00,0.973,0.972,0.028000000000000025
KXBTC15M-26AUG302030-30,2026-08-31 00:28:00+00:00,0.982,0.981,0.019000000000000017
KXBTC15M-26AUG302030-30,2026-08-31 00:29:00+00:00,1.0,0.999,0.0010000000000000009
KXBTC15M-26AUG302030-30,2026-08-31 00:30:00+00:00,1.0,0.999,0.0010000000000000009
KXBTC15M-26AUG302030-30,2026-08-31 00:31:00+00:00,1.0,0.0,1.0
KXBTC15M-26AUG302045-45,2026-08-31 00:31:00+00:00,0.46,0.45,0.55
KXBTC15M-26AUG302045-45,2026-08-31 00:32:00+00:00,0.58,0.57,0.43000000000000005
KXBTC15M-26AUG302045-45,2026-08-31 00:33:00+00:00,0.57,0.56,0.43999999999999995
KXBTC15M-26AUG302045-45,2026-08-31 00:34:00+00:00,0.59,0.58,0.42000000000000004
KXBTC15M-26AUG302045-45,2026-08-31 00:35:00+00:00,0.61,0.6,0.4
KXBTC15M-26AUG302045-45,2026-08-31 00:36:00+00:00,0.79,0.78,0.21999999999999997
KXBTC15M-26AUG302045-45,2026-08-31 00:37:00+00:00,0.9,0.89,0.10999999999999999
KXBTC15M-26AUG302045-45,2026-08-31 00:38:00+00:00,0.82,0.81,0.18999999999999995
KXBTC15M-26AUG302045-45,2026-08-31 00:39:00+00:00,0.84,0.83,0.17000000000000004
