ticker,target,final_side,result,start,close,settlement_value
KXBTC15M-26AUG301930-30,78352.69,0,no,2026-08-30 23:15:00+00:00,2026-08-30 23:30:00+00:00,0.0000
KXBTC15M-26AUG301945-45,77742.31,0,no,2026-08-30 23:30:00+00:00,2026-08-30 23:45:00+00:00,0.0000
KXBTC15M-26AUG302000-00,77483.4,1,yes,2026-08-30 23:45:00+00:00,2026-08-31 00:00:00+00:00,1.0000
KXBTC15M-26AUG302015-15,77695.77,1,yes,2026-08-31 00:00:00+00:00,2026-08-31 00:15:00+00:00,1.0000
KXBTC15M-26AUG302030-30,77729.77,1,yes,2026-08-31 00:15:00+00:00,2026-08-31 00:30:00+00:00,1.0000
KXBTC15M-26AUG302045-45,77896.71,1,yes,2026-08-31 00:30:00+00:00,2026-08-31 00:45:00+00:00,1.0000
KXBTC15M-26AUG302100-00,78022.46,0,no,2026-08-31 00:45:00+00:00,2026-08-31 01:00:00+00:00,0.0000
KXBTC15M-26AUG302115-15,77922.0,0,no,2026-08-31 01:00:00+00:00,2026-08-31 01:15:00+00:00,0.0000
KXBTC15M-26AUG302130-30,77628.89,1,yes,2026-08-31 01:15:00+00:00,2026-08-31 01:30:00+00:00,1.0000
KXBTC15M-26AUG302145-45,77777.96,0,no,2026-08-31 01:30:00+00:00,2026-08-31 01:45:00+00:00,0.0000
KXBTC15M-26AUG302200-00,77726.28,0,no,2026-08-31 01:45:00+00:00,2026-08-31 02:00:00+00:00,0.0000
KXBTC15M-26AUG302215-15,77626.66,1,yes,2026-08-31 02:00:00+00:00,2026-08-31 02:15:00+00:00,1.0000
KXBTC15M-26AUG302230-30,77966.5,0,no,2026-08-31 02:15:00+00:00,2026-08-31 02:30:00+00:00,0.0000
KXBTC15M-26AUG302245-45,77863.28,0,no,2026-08-31 02:30:00+00:00,2026-08-31 02:45:00+00:00,0.0000
KXBTC15M-26AUG302300-00,77719.11,0,no,2026-08-31 02:45:00+00:00,2026-08-31 03:00:00+00:00,0.0000
KXBTC15M-26AUG302315-15,77448.95,1,yes,2026-08-31 03:00:00+00:00,2026-08-31 03:15:00+00:00,1.0000
KXBTC15M-26AUG302330-30,77648.28,1,yes,2026-08-31 03:15:00+00:00,2026-08-31 03:30:00+00:00,1.0000
KXBTC15M-26AUG302345-45,77706.8,1,yes,2026-08-31 03:30:00+00:00,2026-08-31 03:45:00+00:00,1.0000
KXBTC15M-26AUG310000-00,77807.37,0,no,2026-08-31 03:45:00+00:00,2026-08-31 04:00:00+00:00,0.0000
KXBTC15M-26AUG310015-15,77741.2,0,no,2026-08-31 04:00:00+00:00,2026-08-31 04:15:00+00:00,0.0000
KXBTC15M-26AUG310030-30,77572.78,0,no,2026-08-31 04:15:00+00:00,2026-08-31 04:30:00+00:00,0.0000
KXBTC15M-26AUG310045-45,77514.76,1,yes,2026-08-31 04:30:00+00:00,2026-08-31 04:45:00+00:00,1.0000
KXBTC15M-26AUG310100-00,77555.15,1,yes,2026-08-31 04:45:00+00:00,2026-08-31 05:00:00+00:00,1.0000
KXBTC15M-26AUG310115-15,77626.45,1,yes,2026-08-31 05:00:00+00:00,2026-08-31 05:15:00+00:00,1.0000
KXBTC15M-26AUG310130-30,77758.96,1,yes,2026-08-31 05:15:00+00:00,2026-08-31 05:30:00+00:00,1.0000
KXBTC15M-26AUG310145-45,77991.66,0,no,2026-08-31 05:30:00+00:00,2026-08-31 05:45:00+00:00,0.0000
KXBTC15M-26AUG310200-00,77964.15,1,yes,2026-08-31 05:45:00+00:00,2026-08-31 06:00:00+00:00,1.0000
KXBTC15M-26AUG310215-15,78019.81,0,no,2026-08-31 06:00:00+00:00,2026-08-31 06:15:00+00:00,0.0000
KXBTC15M-26AUG310230-30,78008.87,0,no,2026-08-31 06:15:00+00:00,2026-08-31 06:30:00+00:00,0.0000
KXBTC15M-26AUG310245-45,78002.93,1,yes,2026-08-31 06:30:00+00:00,2026-08-31 06:45:00+00:00,1.0000
KXBTC15M-26AUG310300-00,78082.85,0,no,2026-08-31 06:45:00+00:00,2026-08-31 07:00:00+00:00,0.0000
KXBTC15M-26AUG310315-15,78077.12,1,yes,2026-08-31 07:00:00+00:00,2026-08-31 07:15:00+00:00,1.0000
KXBTC15M-26AUG310330-30,78108.02,1,yes,2026-08-31 07:15:00+00:00,2026-08-31 07:30:00+00:00,1.0000
KXBTC15M-26AUG310345-45,78205.55,1,yes,2026-08-31 07:30:00+00:00,2026-08-31 07:45:00+00:00,1.0000
KXBTC15M-26AUG310400-00,78264.31,0,no,2026-08-31 07:45:00+00:00,2026-08-31 08:00:00+00:00,0.0000
KXBTC15M-26AUG310415-15,78180.56,0,no,2026-08-31 08:00:00+00:00,2026-08-31 08:15:00+00:00,0.0000
KXBTC15M-26AUG310430-30,78157.31,0,no,2026-08-31 08:15:00+00:00,2026-08-31 08:30:00+00:00,0.0000
KXBTC15M-26AUG310445-45,78076.65,1,yes,2026-08-31 08:30:00+00:00,2026-08-31 08:45:00+00:00,1.0000
KXBTC15M-26AUG310500-00,78304.58,1,yes,2026-08-31 08:45:00+00:00,2026-08-31 09:00:00+00:00,1.0000
KXBTC15M-26AUG310515-15,78460.79,1,yes,2026-08-31 09:00:00+00:00,2026-08-31 09:15:00+00:00,1.0000
KXBTC15M-26AUG310530-30,78653.27,1,yes,2026-08-31 09:15:00+00:00,2026-08-31 09:30:00+00:00,1.0000
KXBTC15M-26AUG310545-45,78657.5,1,yes,2026-08-31 09:30:00+00:00,2026-08-31 09:45:00+00:00,1.0000
KXBTC15M-26AUG310600-00,78673.26,0,no,2026-08-31 09:45:00+00:00,2026-08-31 10:00:00+00:00,0.0000
KXBTC15M-26AUG310615-15,78508.21,0,no,2026-08-31 10:00:00+00:00,2026-08-31 10:15:00+00:00,0.0000
KXBTC15M-26AUG310630-30,78482.1,0,no,2026-08-31 10:15:00+00:00,2026-08-31 10:30:00+00:00,0.0000
KXBTC15M-26AUG310645-45,78413.69,1,yes,2026-08-31 10:30:00+00:00,2026-08-31 10:45:00+00:00,1.0000
KXBTC15M-26AUG310700-00,78504.45,1,yes,2026-08-31 10:45:00+00:00,2026-08-31 11:00:00+00:00,1.0000
KXBTC15M-26AUG310715-15,78660.11,0,no,2026-08-31 11:00:00+00:00,2026-08-31 11:15:00+00:00,0.0000
KXBTC15M-26AUG310730-30,78593.82,0,no,2026-08-31 11:15:00+00:00,2026-08-31 11:30:00+00:00,0.0000
KXBTC15M-26AUG310745-45,78449.85,0,no,2026-08-31 11:30:00+00:00,2026-08-31 11:45:00+00:00,0.0000
KXBTC15M-26AUG310800-00,78359.95,0,no,2026-08-31 11:45:00+00:00,2026-08-31 12:00:00+00:00,0.0000
KXBTC15M-26AUG310815-15,78289.12,1,yes,2026-08-31 12:00:00+00:00,2026-08-31 12:15:00+00:00,1.0000
KXBTC15M-26AUG310830-30,78387.45,0,no,2026-08-31 12:15:00+00:00,2026-08-31 12:30:00+00:00,0.0000
KXBTC15M-26AUG310845-45,78112.75,0,no,2026-08-31 12:30:00+00:00,2026-08-31 12:45:00+00:00,0.0000
KXBTC15M-26AUG310900-00,77853.12,1,yes,2026-08-31 12:45:00+00:00,2026-08-31 13:00:00+00:00,1.0000
KXBTC15M-26AUG310915-15,77888.47,1,yes,2026-08-31 13:00:00+00:00,2026-08-31 13:15:00+00:00,1.0000
KXBTC15M-26AUG310930-30,78068.43,0,no,2026-08-31 13:15:00+00:00,2026-08-31 13:30:00+00:00,0.0000
KXBTC15M-26AUG310945-45,77997.77,1,yes,2026-08-31 13:30:00+00:00,2026-08-31 13:45:00+00:00,1.0000
KXBTC15M-26AUG311000-00,78003.55,0,no,2026-08-31 13:45:00+00:00,2026-08-31 14:00:00+00:00,0.0000
KXBTC15M-26AUG311015-15,77821.99,1,yes,2026-08-31 14:00:00+00:00,2026-08-31 14:15:00+00:00,1.0000
KXBTC15M-26AUG311030-30,77924.89,1,yes,2026-08-31 14:15:00+00:00,2026-08-31 14:30:00+00:00,1.0000
KXBTC15M-26AUG311045-45,77981.46,1,yes,2026-08-31 14:30:00+00:00,2026-08-31 14:45:00+00:00,1.0000
KXBTC15M-26AUG311100-00,78579.99,1,yes,2026-08-31 14:45:00+00:00,2026-08-31 15:00:00+00:00,1.0000
KXBTC15M-26AUG311115-15,78580.63,0,no,2026-08-31 15:00:00+00:00,2026-08-31 15:15:00+00:00,0.0000
KXBTC15M-26AUG311130-30,78317.25,1,yes,2026-08-31 15:15:00+00:00,2026-08-31 15:30:00+00:00,1.0000
KXBTC15M-26AUG311145-45,78454.32,1,yes,2026-08-31 15:30:00+00:00,2026-08-31 15:45:00+00:00,1.0000
KXBTC15M-26AUG311200-00,78692.1,0,no,2026-08-31 15:45:00+00:00,2026-08-31 16:00:00+00:00,0.0000
KXBTC15M-26AUG311215-15,78558.44,1,yes,2026-08-31 16:00:00+00:00,2026-08-31 16:15:00+00:00,1.0000
KXBTC15M-26AUG311230-30,78671.64,0,no,2026-08-31 16:15:00+00:00,2026-08-31 16:30:00+00:00,0.0000
KXBTC15M-26AUG311245-45,78631.59,1,yes,2026-08-31 16:30:00+00:00,2026-08-31 16:45:00+00:00,1.0000
KXBTC15M-26AUG311300-00,78715.29,0,no,2026-08-31 16:45:00+00:00,2026-08-31 17:00:00+00:00,0.0000
KXBTC15M-26AUG311315-15,78633.99,1,yes,2026-08-31 17:00:00+00:00,2026-08-31 17:15:00+00:00,1.0000
