contract,event_id,side,entry_timestamp_utc,entry_ask,entry_bid,target,btc_price,btc_gap,seconds_left,btc_move_15s,btc_move_30s,btc_move_60s,ask_move_15s,ask_move_30s,ask_move_60s,recent_low_60s,recent_high_60s,bounce_from_low,drawdown_from_high,outcome_timestamp_utc,observed_seconds,max_future_bid,max_gain_vs_entry_ask,min_future_bid,max_adverse_vs_entry_ask,hit_8c,seconds_to_8c,hit_10c,seconds_to_10c,hit_15c,seconds_to_15c,hit_20c,seconds_to_20c,stop_10c_hit,stop_seconds,notes,entry_ask_c,entry_bid_c,max_future_bid_c,roi18_target_c,y,side_sign,aligned_btc_gap,aligned_btc_move_15s,aligned_btc_move_30s,aligned_btc_move_60s,recent_low_60s_c,recent_high_60s_c,bounce_from_low_c,drawdown_from_high_c,ask_move_15s_c,ask_move_30s_c,ask_move_60s_c,market_range_60s_c,entry_pos_60s,pred
KXBTC15M-26SEP032245-45,KXBTC15M-26SEP032245-45|DOWN|1788489307863,DOWN,2026-09-04 02:35:07.863270+00:00,0.19,0.18,80706.07,80741.93,35.85999999998603,592.14,-33.070000000006985,-66.79000000000815,-51.02000000000408,0.0,-0.0499999999999999,-0.04,0.19,0.24,0.0,0.0499999999999999,2026-09-04T02:35:52.799398+00:00,44,0.43,0.24,0.18,-0.01,True,5.0,True,5.0,True,5.0,True,5.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,19.0,18.0,43.0,23.0,1,-1.0,-35.85999999998603,33.070000000006985,66.79000000000815,51.02000000000408,19.0,24.0,0.0,4.99999999999999,0.0,-4.99999999999999,-4.0,5.0,0.0,0.8270372187736033
KXBTC15M-26SEP032300-00,KXBTC15M-26SEP032300-00|DOWN|1788490545127,DOWN,2026-09-04 02:55:45.127293+00:00,0.3,0.29,80775.65,80782.24,6.59000000001106,254.87,-15.239999999990689,10.260000000009311,22.65000000000873,-0.18,-0.38,-0.38,0.3,0.68,0.0,0.38,2026-09-04T02:58:45.366780+00:00,180,0.53,0.23,0.23,-0.0699999999999999,True,30.0,True,60.0,True,60.0,True,60.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,30.0,28.999999999999996,53.0,36.0,1,-1.0,-6.59000000001106,15.239999999990689,-10.260000000009311,-22.65000000000873,30.0,68.0,0.0,38.0,-18.0,-38.0,-38.0,38.0,0.0,0.808296214547279
KXBTC15M-26SEP032315-15,KXBTC15M-26SEP032315-15|DOWN|1788491030811,DOWN,2026-09-04 03:03:50.811793+00:00,0.33,0.32,80824.03,80880.81,56.77999999999884,669.19,-38.9600000000064,-58.919999999998254,-53.05999999999767,0.03,0.03,0.04,0.29,0.33,0.04,0.0,2026-09-04T03:06:56.062998+00:00,185,0.35,0.0199999999999999,0.18,-0.15,False,,False,,False,,False,,True,130.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,33.0,32.0,35.0,39.0,0,-1.0,-56.77999999999884,38.9600000000064,58.919999999998254,53.05999999999767,28.999999999999996,33.0,4.0,0.0,3.0,3.0,4.0,4.0000000000000036,1.0,0.8210663331766687
KXBTC15M-26SEP032345-45,KXBTC15M-26SEP032345-45|DOWN|1788493426679,DOWN,2026-09-04 03:43:46.679187+00:00,0.16,0.15,80844.56,80865.87,21.30999999999767,73.32,-6.440000000002328,43.19000000000233,54.169999999998254,-0.65,-0.6,-0.6,0.16,0.81,0.0,0.65,2026-09-04T03:45:32.375043+00:00,105,0.15,-0.01,0.005,-0.155,False,,False,,False,,False,,True,45.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,16.0,15.0,15.0,19.0,0,-1.0,-21.30999999999767,6.440000000002328,-43.19000000000233,-54.169999999998254,16.0,81.0,0.0,65.0,-65.0,-60.0,-60.0,65.0,0.0,0.8681334073239456
KXBTC15M-26SEP040045-45,KXBTC15M-26SEP040045-45|UP|1788496348431,UP,2026-09-04 04:32:28.431079+00:00,0.3,0.29,81254.09,81221.78,-32.30999999999767,751.57,37.97000000000117,27.869999999995343,-13.910000000003492,0.0,-0.13,-0.12,0.3,0.43,0.0,0.13,2026-09-04T04:35:28.687877+00:00,180,0.43,0.13,0.25,-0.0499999999999999,True,20.0,True,20.0,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,30.0,28.999999999999996,43.0,36.0,1,1.0,-32.30999999999767,37.97000000000117,27.869999999995343,-13.910000000003492,30.0,43.0,0.0,13.0,0.0,-13.0,-12.0,13.0,0.0,0.8079629722147234
KXBTC15M-26SEP040130-30,KXBTC15M-26SEP040130-30|DOWN|1788499209112,DOWN,2026-09-04 05:20:09.112999+00:00,0.19,0.18,80993.64,81064.15,70.50999999999476,590.89,-48.9600000000064,-57.75,-25.25,-0.01,-0.01,-0.09,0.19,0.28,0.0,0.09,2026-09-04T05:23:09.358502+00:00,180,0.37,0.18,0.18,-0.01,True,60.0,True,60.0,True,60.0,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,19.0,18.0,37.0,23.0,1,-1.0,-70.50999999999476,48.9600000000064,57.75,25.25,19.0,28.000000000000004,0.0,9.0,-1.0,-1.0,-9.0,9.000000000000004,0.0,0.8176012230654194
KXBTC15M-26SEP040200-00,KXBTC15M-26SEP040200-00|DOWN|1788500764537,DOWN,2026-09-04 05:46:04.537921+00:00,0.25,0.24,80969.52,81012.92,43.39999999999418,835.46,-35.41000000000349,-44.80999999999767,,0.0,-0.18,,0.25,0.43,0.0,0.18,2026-09-04T05:49:04.774575+00:00,180,0.67,0.42,0.24,-0.01,True,5.0,True,5.0,True,50.0,True,50.0,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,25.0,24.0,67.0,30.0,1,-1.0,-43.39999999999418,35.41000000000349,44.80999999999767,,25.0,43.0,0.0,18.0,0.0,-18.0,,18.0,0.0,0.8248836459973486
KXBTC15M-26SEP040900-00,KXBTC15M-26SEP040900-00|UP|1788526075247,UP,2026-09-04 12:47:55.247641+00:00,0.14,0.13,79762.35,79362.18,-400.1700000000128,724.75,109.01999999998952,142.04999999998836,100.8299999999872,0.0,-0.0199999999999999,-0.0699999999999999,0.14,0.21,0.0,0.0699999999999999,2026-09-04T12:51:00.508403+00:00,185,0.2,0.06,0.13,-0.01,False,,False,,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,14.000000000000002,13.0,20.0,17.0,1,1.0,-400.1700000000128,109.01999999998952,142.04999999998836,100.8299999999872,14.000000000000002,21.0,0.0,6.999999999999989,0.0,-1.99999999999999,-6.999999999999989,6.999999999999998,0.0,0.9030967392683733
KXBTC15M-26SEP040915-15,KXBTC15M-26SEP040915-15|DOWN|1788527031015,DOWN,2026-09-04 13:03:51.015293+00:00,0.33,0.32,79451.53,79489.07,37.54000000000815,668.98,-35.77999999999884,-76.55999999999767,14.420000000012806,0.0,-0.0799999999999999,-0.06,0.33,0.41,0.0,0.0799999999999999,2026-09-04T13:06:51.278549+00:00,180,0.57,0.2399999999999999,0.32,-0.01,True,20.0,True,50.0,True,50.0,True,50.0,False,95.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,33.0,32.0,56.99999999999999,39.0,1,-1.0,-37.54000000000815,35.77999999999884,76.55999999999767,-14.420000000012806,33.0,41.0,0.0,7.99999999999999,0.0,-7.99999999999999,-6.0,8.0,0.0,0.8455673587420207
KXBTC15M-26SEP040930-30,KXBTC15M-26SEP040930-30|DOWN|1788527906656,DOWN,2026-09-04 13:18:26.656817+00:00,0.27,0.26,79241.46,79317.99,76.52999999999884,693.34,-50.26999999998952,-69.15999999998894,-47.0,0.0,0.0,-0.0399999999999999,0.27,0.31,0.0,0.0399999999999999,2026-09-04T13:21:26.912547+00:00,180,0.34,0.07,0.21,-0.06,False,,False,,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL,27.0,26.0,34.0,32.0,1,-1.0,-76.52999999999884,50.26999999998952,69.15999999998894,47.0,27.0,31.0,0.0,3.99999999999999,0.0,0.0,-3.99999999999999,4.0,0.0,0.8629492529789657
