ticker,correct,call_side,initial_fair,initial_signed_distance,is_known_miss,1m_signed_distance,1m_distance_gain,1m_fair,1m_fair_gain,1m_ask,2m_signed_distance,2m_distance_gain,2m_fair,2m_fair_gain,2m_ask,3m_signed_distance,3m_distance_gain,3m_fair,3m_fair_gain,3m_ask,4m_signed_distance,4m_distance_gain,4m_fair,4m_fair_gain,4m_ask,5m_signed_distance,5m_distance_gain,5m_fair,5m_fair_gain,5m_ask,6m_signed_distance,6m_distance_gain,6m_fair,6m_fair_gain,6m_ask,best_distance_gain_6m,worst_distance_gain_6m,best_fair_gain_6m,worst_fair_gain_6m,avg_distance_gain_1to6m,avg_fair_gain_1to6m,ever_plus25_distance,ever_plus50_distance,ever_plus5pt_fair,ever_plus10pt_fair
KXBTC15M-26AUG250900-00,True,UP,0.8018867924528301,138.63000000000466,False,154.18000000000757,15.55000000000291,0.8928571428571429,0.09097035040431278,0.85,171.48000000001048,32.85000000000582,0.9301075268817204,0.12822073442889026,0.91,167.47000000000116,28.839999999996508,0.988095238095238,0.1862084456424079,0.904,102.30000000000292,-36.33000000000173,0.9301075268817204,0.12822073442889026,0.93,124.52000000000407,-14.110000000000582,1.0,0.19811320754716988,0.917,100.99000000000524,-37.63999999999942,0.988095238095238,0.1862084456424079,0.917,32.85000000000582,-37.63999999999942,0.19811320754716988,0.09097035040431278,-1.8066666666660822,0.1529903196823465,True,False,True,True
KXBTC15M-26AUG250945-45,True,UP,0.8018867924528301,188.57000000000696,False,240.4100000000035,51.839999999996536,0.9301075268817204,0.12822073442889026,0.82,320.5300000000134,131.96000000000643,1.0,0.19811320754716988,0.902,436.9600000000064,248.38999999999945,1.0,0.19811320754716988,0.925,456.9300000000076,268.3600000000007,1.0,0.19811320754716988,0.964,508.7800000000134,320.2100000000064,1.0,0.19811320754716988,0.983,479.4300000000076,290.8600000000007,1.0,0.19811320754716988,0.989,320.2100000000064,51.839999999996536,0.19811320754716988,0.12822073442889026,218.60333333333506,0.18646446202745662,True,True,True,True
KXBTC15M-26AUG251000-00,True,DOWN,0.8018867924528301,190.9499999999971,False,186.75,-4.19999999999709,0.8018867924528301,0.0,0.64,198.59000000001103,7.640000000013941,0.8018867924528301,0.0,0.73,356.27999999999884,165.33000000000175,0.9301075268817204,0.12822073442889026,0.81,447.1100000000006,256.1600000000035,0.8928571428571429,0.09097035040431278,0.915,385.6200000000099,194.6700000000128,0.9301075268817204,0.12822073442889026,0.966,349.09000000001106,158.14000000001397,0.9655172413793104,0.16363044892648027,0.927,256.1600000000035,-4.19999999999709,0.16363044892648027,0.0,129.6233333333415,0.08517371136476226,True,True,True,True
KXBTC15M-26AUG251015-15,True,UP,0.8928571428571429,201.4899999999907,False,285.4899999999907,84.0,1.0,0.1071428571428571,0.81,245.0,43.51000000000931,1.0,0.1071428571428571,0.83,260.5399999999936,59.05000000000291,1.0,0.1071428571428571,0.8,293.6999999999971,92.2100000000064,1.0,0.1071428571428571,0.9,364.33000000000175,162.84000000001106,1.0,0.1071428571428571,0.975,362.0699999999924,160.5800000000017,1.0,0.1071428571428571,0.988,162.84000000001106,43.51000000000931,0.1071428571428571,0.1071428571428571,100.36500000000524,0.1071428571428571,True,True,True,True
KXBTC15M-26AUG251445-45,True,DOWN,0.890625,132.43000000000757,False,144.59000000001106,12.160000000003492,0.9487179487179488,0.05809294871794879,0.954,132.94000000000233,0.5099999999947613,0.9655172413793104,0.07489224137931039,0.943,119.95000000001164,-12.479999999995925,0.988095238095238,0.09747023809523803,0.966,99.1200000000099,-33.30999999999767,0.9301075268817204,0.03948252688172038,0.984,122.72000000000116,-9.710000000006403,0.988095238095238,0.09747023809523803,0.996,127.45000000001164,-4.9799999999959255,1.0,0.109375,0.999,12.160000000003492,-33.30999999999767,0.109375,0.03948252688172038,-7.968333333332946,0.0794638655282426,False,False,True,True
KXBTC15M-26AUG251600-00,True,UP,0.8018867924528301,118.75,False,146.7399999999907,27.989999999990687,0.8018867924528301,0.0,0.923,199.18999999998775,80.43999999998775,0.9301075268817204,0.12822073442889026,0.955,193.0,74.25,0.988095238095238,0.1862084456424079,0.97,142.0,23.25,0.9301075268817204,0.12822073442889026,0.941,186.31999999999243,67.56999999999243,1.0,0.19811320754716988,0.995,174.86000000000058,56.11000000000058,1.0,0.19811320754716988,0.999,80.43999999998775,23.25,0.19811320754716988,0.0,54.93499999999525,0.13981272159908803,True,True,True,True
KXBTC15M-26AUG251630-30,False,UP,0.8018867924528301,101.8799999999901,True,43.58999999999651,-58.2899999999936,0.6065573770491803,-0.1953294154036498,0.8,58.06999999999243,-43.80999999999767,0.6347826086956522,-0.16710418375717795,0.64,50.22000000000117,-51.65999999998893,0.6347826086956522,-0.16710418375717795,0.71,53.75999999999476,-48.11999999999534,0.7593984962406015,-0.042488296212228605,0.74,27.75,-74.1299999999901,0.721540222080177,-0.08034657037265314,0.85,-11.84000000001106,-113.72000000000116,0.4285714285714285,-0.37331536388140163,0.58,-43.80999999999767,-113.72000000000116,-0.042488296212228605,-0.37331536388140163,-64.95499999999447,-0.17094800223071482,False,False,False,False
KXBTC15M-26AUG251815-15,True,UP,0.890625,144.13999999999942,False,180.2599999999948,36.11999999999537,0.8928571428571429,0.0022321428571429047,0.84,188.1800000000076,44.04000000000818,0.988095238095238,0.09747023809523803,0.945,253.49000000000524,109.35000000000582,1.0,0.109375,0.976,242.36999999999531,98.2299999999959,1.0,0.109375,0.97,255.57000000000696,111.43000000000754,1.0,0.109375,0.98,319.58000000000175,175.44000000000233,1.0,0.109375,0.998,175.44000000000233,36.11999999999537,0.109375,0.0022321428571429047,95.76833333333586,0.08953373015873016,True,True,True,True
KXBTC15M-26AUG251845-45,True,UP,0.8018867924528301,178.80999999999767,False,177.65999999998894,-1.1500000000087311,0.890625,0.08873820754716988,0.918,211.9499999999971,33.13999999999942,0.9487179487179488,0.14683115626511867,0.919,228.6999999999971,49.88999999999942,1.0,0.19811320754716988,0.956,195.6599999999889,16.84999999999124,1.0,0.19811320754716988,0.945,192.3399999999965,13.529999999998836,1.0,0.19811320754716988,0.965,197.6999999999971,18.889999999999418,1.0,0.19811320754716988,0.956,49.88999999999942,-1.1500000000087311,0.19811320754716988,0.08873820754716988,21.858333333329934,0.1713370323334947,True,False,True,True
KXBTC15M-26AUG251900-00,True,UP,0.890625,97.38000000000466,False,87.74000000000524,-9.639999999999418,0.8928571428571429,0.0022321428571429047,0.78,92.9600000000064,-4.419999999998254,0.8928571428571429,0.0022321428571429047,0.86,103.38000000000466,6.0,0.9301075268817204,0.03948252688172038,0.902,116.85000000000582,19.470000000001164,1.0,0.109375,0.933,110.29000000000816,12.910000000003507,1.0,0.109375,0.961,142.8000000000029,45.419999999998254,1.0,0.109375,0.98,45.419999999998254,-9.639999999999418,0.109375,0.0022321428571429047,11.623333333334209,0.062011968766001034,True,False,True,True
