ticker,call_time,call_side,correct,initial_fair,initial_distance,four_min_actual_sec,four_min_distance_gain,four_min_fair_gain,confirmation_failure_warning
KXBTC15M-26AUG270045-45,2026-08-27 04:35:25.618188+00:00,DOWN,False,0.8018867924528301,-99.44000000000231,218.262179,-31.639999999999404,-0.042488296212228605,True
KXBTC15M-26AUG270100-00,2026-08-27 04:51:49.135939+00:00,DOWN,True,0.890625,-112.41999999999824,218.501257,-51.159999999988926,-0.08873820754716988,True
KXBTC15M-26AUG270115-15,2026-08-27 05:06:32.548751+00:00,DOWN,True,0.890625,-111.55999999999769,219.947829,-55.589999999996515,-0.13122650375939848,True
KXBTC15M-26AUG270200-00,2026-08-27 05:49:31.356400+00:00,UP,True,0.8928571428571429,122.4200000000128,218.203804,84.38999999999945,0.1071428571428571,False
KXBTC15M-26AUG270245-45,2026-08-27 06:35:59.424593+00:00,UP,True,0.8018867924528301,111.49000000000524,218.571065,-11.380000000004657,0.12822073442889026,False
KXBTC15M-26AUG270300-00,2026-08-27 06:50:17.122122+00:00,UP,True,0.8018867924528301,62.2100000000064,266.121327,23.869999999995343,0.1862084456424079,False
KXBTC15M-26AUG270530-30,2026-08-27 09:21:03.346489+00:00,UP,True,1.0,223.77999999999884,214.197638,-14.220000000001164,0.0,False
KXBTC15M-26AUG270545-45,2026-08-27 09:33:31.277379+00:00,DOWN,True,0.8018867924528301,-157.27999999999884,265.543145,80.80999999999767,0.1862084456424079,False
KXBTC15M-26AUG270600-00,2026-08-27 09:50:57.102514+00:00,DOWN,True,0.890625,-171.77000000000407,213.675149,14.520000000004046,0.09747023809523803,False
KXBTC15M-26AUG270615-15,2026-08-27 10:05:11.971972+00:00,UP,False,0.8018867924528301,104.52999999999884,213.293002,41.419999999998254,0.09097035040431278,False
KXBTC15M-26AUG270845-45,2026-08-27 12:34:14.796385+00:00,DOWN,True,0.890625,-144.9499999999971,221.142522,99.94000000000236,0.09747023809523803,False
KXBTC15M-26AUG271030-30,2026-08-27 14:19:05.369134+00:00,UP,True,0.9301075268817204,210.24000000000524,221.377821,195.22999999999598,0.06989247311827962,False
KXBTC15M-26AUG271145-45,2026-08-27 15:34:29.547961+00:00,DOWN,True,0.9301075268817204,-184.84999999999127,217.326615,-15.64999999999418,0.057987711213517645,False
KXBTC15M-26AUG271300-00,2026-08-27 16:51:08.050196+00:00,DOWN,True,0.890625,-109.2100000000064,264.843908,33.69999999999709,0.09747023809523803,False
KXBTC15M-26AUG271330-30,2026-08-27 17:18:10.401731+00:00,UP,True,0.8018867924528301,124.47000000000116,265.654765,8.220000000001164,0.14683115626511867,False
KXBTC15M-26AUG271415-15,2026-08-27 18:06:01.255075+00:00,DOWN,True,0.890625,-111.41000000000348,266.409947,-9.160000000003478,0.03948252688172038,False
KXBTC15M-26AUG271515-15,2026-08-27 19:06:06.353606+00:00,UP,True,0.8913857806261563,102.22000000000116,266.95362,-10.14999999999418,0.09670945746908177,False
