minute,distance_threshold,fair_mode,fair_threshold,warned,misses_caught,total_misses,good_flagged,kept,kept_accuracy,rule,catch_all,capture_rate
4,10,AND,0.0,4,2,2,2,28,1.0,4m dist_gain < +$10 AND fair_gain < 0.000,True,1.0
4,15,AND,0.0,4,2,2,2,28,1.0,4m dist_gain < +$15 AND fair_gain < 0.000,True,1.0
4,20,AND,0.0,4,2,2,2,28,1.0,4m dist_gain < +$20 AND fair_gain < 0.000,True,1.0
4,25,AND,0.0,4,2,2,2,28,1.0,4m dist_gain < +$25 AND fair_gain < 0.000,True,1.0
4,30,AND,0.0,4,2,2,2,28,1.0,4m dist_gain < +$30 AND fair_gain < 0.000,True,1.0
5,10,AND,0.0,6,2,2,4,26,1.0,5m dist_gain < +$10 AND fair_gain < 0.000,True,1.0
5,15,AND,0.0,6,2,2,4,26,1.0,5m dist_gain < +$15 AND fair_gain < 0.000,True,1.0
5,20,AND,0.0,6,2,2,4,26,1.0,5m dist_gain < +$20 AND fair_gain < 0.000,True,1.0
5,25,AND,0.0,6,2,2,4,26,1.0,5m dist_gain < +$25 AND fair_gain < 0.000,True,1.0
5,30,AND,0.0,6,2,2,4,26,1.0,5m dist_gain < +$30 AND fair_gain < 0.000,True,1.0
6,10,AND,0.0,6,2,2,4,26,1.0,6m dist_gain < +$10 AND fair_gain < 0.000,True,1.0
6,15,AND,0.0,6,2,2,4,26,1.0,6m dist_gain < +$15 AND fair_gain < 0.000,True,1.0
6,20,AND,0.0,6,2,2,4,26,1.0,6m dist_gain < +$20 AND fair_gain < 0.000,True,1.0
6,25,AND,0.0,6,2,2,4,26,1.0,6m dist_gain < +$25 AND fair_gain < 0.000,True,1.0
6,30,AND,0.0,6,2,2,4,26,1.0,6m dist_gain < +$30 AND fair_gain < 0.000,True,1.0
6,10,AND,0.025,7,2,2,5,25,1.0,6m dist_gain < +$10 AND fair_gain < 0.025,True,1.0
6,15,AND,0.025,7,2,2,5,25,1.0,6m dist_gain < +$15 AND fair_gain < 0.025,True,1.0
6,20,AND,0.025,7,2,2,5,25,1.0,6m dist_gain < +$20 AND fair_gain < 0.025,True,1.0
