fair_min,dist_min,persist,max_det,dist_strength,train_n,train_coverage,train_accuracy
0.9,0,0,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,0,0,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,0,0,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,0,1,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,0,1,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,0,1,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,0,2,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,0,2,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,0,2,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,0,3,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,0,3,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,0,3,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,10,0,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,10,0,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,10,0,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,10,1,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,10,1,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,10,1,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,10,2,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,10,2,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,10,2,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,10,3,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,10,3,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,10,3,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,20,0,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,20,0,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,20,0,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,20,1,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,20,1,0.0,True,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.01,False,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.01,True,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.02,False,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.02,True,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.03,False,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.03,True,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.05,False,12,0.22641509433962265,0.9166666666666666
0.9,20,1,-0.05,True,12,0.22641509433962265,0.9166666666666666
0.9,20,2,0.0,False,12,0.22641509433962265,0.9166666666666666
0.9,20,2,0.0,True,12,0.22641509433962265,0.9166666666666666
