scope,horizon_min,threshold,calls,flagged,mistakes_caught,total_misses,capture,good_flagged,false_warn_rate,clean_n,clean_accuracy
FULL,4,50,89,33,11,13,0.8461538461538461,22,0.2894736842105263,56,0.9642857142857143
FULL,4,75,89,26,11,13,0.8461538461538461,15,0.19736842105263158,63,0.9682539682539683
FULL,4,85,89,20,10,13,0.7692307692307693,10,0.13157894736842105,69,0.9565217391304348
FULL,4,90,89,17,10,13,0.7692307692307693,7,0.09210526315789473,72,0.9583333333333334
FULL,4,100,89,15,10,13,0.7692307692307693,5,0.06578947368421052,74,0.9594594594594594
FULL,4,125,89,11,8,13,0.6153846153846154,3,0.039473684210526314,78,0.9358974358974359
FULL,4,150,89,7,6,13,0.46153846153846156,1,0.013157894736842105,82,0.9146341463414634
FULL,5,50,89,35,11,13,0.8461538461538461,24,0.3157894736842105,54,0.9629629629629629
FULL,5,75,89,27,11,13,0.8461538461538461,16,0.21052631578947367,62,0.967741935483871
FULL,5,85,89,20,10,13,0.7692307692307693,10,0.13157894736842105,69,0.9565217391304348
FULL,5,90,89,18,10,13,0.7692307692307693,8,0.10526315789473684,71,0.9577464788732394
FULL,5,100,89,17,10,13,0.7692307692307693,7,0.09210526315789473,72,0.9583333333333334
FULL,5,125,89,12,8,13,0.6153846153846154,4,0.05263157894736842,77,0.935064935064935
FULL,5,150,89,8,6,13,0.46153846153846156,2,0.02631578947368421,81,0.9135802469135802
FULL,6,50,89,40,13,13,1.0,27,0.35526315789473684,49,1.0
FULL,6,75,89,30,13,13,1.0,17,0.2236842105263158,59,1.0
FULL,6,85,89,24,13,13,1.0,11,0.14473684210526316,65,1.0
FULL,6,90,89,20,11,13,0.8461538461538461,9,0.11842105263157894,69,0.9710144927536232
FULL,6,100,89,18,11,13,0.8461538461538461,7,0.09210526315789473,71,0.971830985915493
FULL,6,125,89,13,9,13,0.6923076923076923,4,0.05263157894736842,76,0.9473684210526315
FULL,6,150,89,8,6,13,0.46153846153846156,2,0.02631578947368421,81,0.9135802469135802
HOLDOUT,4,50,36,13,4,5,0.8,9,0.2903225806451613,23,0.9565217391304348
HOLDOUT,4,75,36,11,4,5,0.8,7,0.22580645161290322,25,0.96
HOLDOUT,4,85,36,9,4,5,0.8,5,0.16129032258064516,27,0.9629629629629629
HOLDOUT,4,90,36,7,4,5,0.8,3,0.0967741935483871,29,0.9655172413793104
HOLDOUT,4,100,36,6,4,5,0.8,2,0.06451612903225806,30,0.9666666666666667
HOLDOUT,4,125,36,5,3,5,0.6,2,0.06451612903225806,31,0.9354838709677419
HOLDOUT,4,150,36,3,2,5,0.4,1,0.03225806451612903,33,0.9090909090909091
HOLDOUT,5,50,36,14,4,5,0.8,10,0.3225806451612903,22,0.9545454545454546
HOLDOUT,5,75,36,11,4,5,0.8,7,0.22580645161290322,25,0.96
HOLDOUT,5,85,36,9,4,5,0.8,5,0.16129032258064516,27,0.9629629629629629
HOLDOUT,5,90,36,8,4,5,0.8,4,0.12903225806451613,28,0.9642857142857143
HOLDOUT,5,100,36,8,4,5,0.8,4,0.12903225806451613,28,0.9642857142857143
HOLDOUT,5,125,36,6,3,5,0.6,3,0.0967741935483871,30,0.9333333333333333
HOLDOUT,5,150,36,4,2,5,0.4,2,0.06451612903225806,32,0.90625
HOLDOUT,6,50,36,17,5,5,1.0,12,0.3870967741935484,19,1.0
HOLDOUT,6,75,36,13,5,5,1.0,8,0.25806451612903225,23,1.0
HOLDOUT,6,85,36,10,5,5,1.0,5,0.16129032258064516,26,1.0
HOLDOUT,6,90,36,8,4,5,0.8,4,0.12903225806451613,28,0.9642857142857143
HOLDOUT,6,100,36,8,4,5,0.8,4,0.12903225806451613,28,0.9642857142857143
HOLDOUT,6,125,36,6,3,5,0.6,3,0.0967741935483871,30,0.9333333333333333
HOLDOUT,6,150,36,4,2,5,0.4,2,0.06451612903225806,32,0.90625
