ticker,official_side,flow_net_side,flow_net_correct,net_flow_imbalance,buy_notional,sell_notional,max_trade,max_abs_imbalance,abnormal_events,absorption_events,million_plus_events,model_snapshot_accuracy
KXBTC15M-26AUG241200-00,DOWN,UP,False,0.38187354338168394,5526623.323087998,2472116.28598418,118817.565,0.7398374268940322,2,0,0,0.0
KXBTC15M-26AUG241215-15,UP,DOWN,False,-0.053467282746847464,1713047.1993165272,1906578.764142628,129081.54096661322,0.6255713019067252,2,2,0,1.0
KXBTC15M-26AUG241230-30,UP,UP,True,0.1443524575883812,9018878.834281608,6743535.5765513545,1004918.693982,0.8798845106425014,3,0,1,1.0
KXBTC15M-26AUG241245-45,DOWN,UP,False,0.23791018362963653,1405934.0261725353,865529.6789732475,28931.28379682,0.564057315127916,1,1,0,0.5
KXBTC15M-26AUG241300-00,DOWN,DOWN,True,-0.1568311222598191,1500754.9568961803,2059041.891674485,96939.163728,0.8479251275844623,6,3,0,1.0
KXBTC15M-26AUG241315-15,UP,UP,True,0.39601442589645514,2862229.3859941666,1238343.4059469723,149344.5728548539,0.7241979725067389,2,0,0,0.0
KXBTC15M-26AUG241330-30,DOWN,UP,False,0.15801493174020878,2797235.1146451347,2033851.3212466463,50402.91036,0.7176927758469344,3,1,0,1.0
KXBTC15M-26AUG241345-45,UP,UP,True,0.05120588260536714,2431762.9314737,2194852.980238444,65452.12279985999,0.7121430320850014,1,0,0,0.75
KXBTC15M-26AUG241400-00,UP,UP,True,0.4970414022787806,2291851.560583573,769989.6912280879,157527.44,0.9264092140765828,5,2,0,1.0
KXBTC15M-26AUG241415-15,UP,UP,True,0.2996469700465775,3856369.1888597137,2078118.0645849768,133198.30492796577,0.5817453473466905,3,2,0,1.0
KXBTC15M-26AUG241430-30,UP,UP,True,0.1406330411905243,1310259.181566792,987165.3787444228,30641.929433316505,0.7077927635876067,2,0,0,0.75
KXBTC15M-26AUG241445-45,DOWN,UP,False,0.3396625558412106,1654780.7625114399,815663.3882133043,47061.2281584981,0.6749277313129882,3,3,0,0.7142857142857143
KXBTC15M-26AUG241515-15,UP,DOWN,False,-0.22654987264749077,1663264.9877663446,2637632.843770999,134892.7319297741,0.6013613056707904,1,0,0,0.0
KXBTC15M-26AUG241530-30,DOWN,UP,False,0.0011534878613648685,1579497.488627584,1575857.824575511,58072.22808777599,0.6014866687551933,3,2,0,1.0
KXBTC15M-26AUG241545-45,DOWN,UP,False,0.33943853114920386,1240532.9659387188,611784.9076920679,70840.2351075688,0.5982329253883468,2,0,0,0.0
KXBTC15M-26AUG241600-00,DOWN,UP,False,0.10733318426798978,1863120.8785774116,1501938.3557108492,84098.21886755519,0.3400376768371241,0,0,0,1.0
KXBTC15M-26AUG241615-15,DOWN,DOWN,True,-0.44290281587899005,715524.3662773876,1853235.2206386535,80668.7645349894,0.9447217639262756,4,2,0,1.0
KXBTC15M-26AUG241630-30,UP,DOWN,False,-0.006299681022862902,247107.6929031763,250240.82995437089,13001.7975001223,0.8148354184560245,1,0,0,1.0
KXBTC15M-26AUG241645-45,UP,UP,True,0.15475823161709293,946402.6921517852,692732.957613565,74833.45125402,0.8556104875532832,6,2,0,1.0
KXBTC15M-26AUG241700-00,UP,DOWN,False,-0.22458671182615703,555431.5004985018,877176.1397615331,78847.0,0.9476438516219416,4,2,0,0.0
KXBTC15M-26AUG241715-15,UP,UP,True,0.6149692819705416,698451.4914821772,166520.3680815486,70801.21489,0.952151143285164,3,1,0,1.0
KXBTC15M-26AUG241730-30,DOWN,UP,False,0.14765198079090755,910753.2073284436,676406.0056949949,206327.46236292963,0.9307261877795988,6,2,0,1.0
KXBTC15M-26AUG241745-45,UP,DOWN,False,-0.4344299511367708,631561.9988995972,1601802.374510943,136913.0617864,0.7593698157075279,3,1,0,1.0
KXBTC15M-26AUG241800-00,UP,DOWN,False,-0.5590876791457464,184433.1559236524,652164.7217057095,30438.6798496175,0.9932194162732164,2,0,0,1.0
KXBTC15M-26AUG241815-15,DOWN,UP,False,0.41930981682536544,801530.4877253264,327934.6624814776,62692.502047672206,0.9268179382509798,2,1,0,1.0
KXBTC15M-26AUG241830-30,DOWN,DOWN,True,-0.6704231715916434,332203.8816373234,1683738.0960900174,124522.16110518,0.98621823076762,4,1,0,0.25
KXBTC15M-26AUG241845-45,UP,DOWN,False,-0.22137868453200787,338901.38512409444,531615.202057691,39842.029655008,0.7107842848844043,2,2,0,1.0
KXBTC15M-26AUG241900-00,DOWN,DOWN,True,-0.12423268170023699,288899.0769640113,370863.10170437593,45804.733731484,0.9231486290730496,4,2,0,0.0
KXBTC15M-26AUG241915-15,DOWN,DOWN,True,-0.3616130597533007,312082.91387630044,665640.4516916061,52360.3134313035,0.882783308281024,3,2,0,1.0
KXBTC15M-26AUG241930-30,UP,UP,True,0.24066288613682,251942.07835062812,154198.99537025372,16598.6999627562,0.7794026951910258,4,3,0,1.0
KXBTC15M-26AUG241945-45,UP,UP,True,0.24199059959039854,633177.5128564318,386439.72589762986,144932.35272318,0.9010718581941476,5,4,0,0.25
KXBTC15M-26AUG242000-00,UP,UP,True,0.44927914100302835,357738.20755955763,135939.2317113497,12026.6826086879,0.980546306779792,4,1,0,0.0
KXBTC15M-26AUG242015-15,DOWN,DOWN,True,-0.08632443804109996,439751.76690365083,522847.6178513334,22341.60315,0.797485460187941,1,1,0,1.0
KXBTC15M-26AUG242030-30,DOWN,DOWN,True,-0.2082604330160582,416146.77579327405,635074.5933206796,30506.116053150403,0.7412832656132181,4,3,0,1.0
KXBTC15M-26AUG242045-45,UP,UP,True,0.21541188302415912,451324.02541892545,291344.41763751674,87261.0761228712,0.8055298704016342,4,3,0,0.5714285714285714
KXBTC15M-26AUG242100-00,UP,UP,True,0.04999472523759266,2051865.8180547613,1856469.659707692,79714.5,0.4785477237868517,0,0,0,1.0
KXBTC15M-26AUG242115-15,DOWN,UP,False,0.29982910392287226,3604089.5304833027,1941392.5942147728,686788.201099,0.6290380920337572,3,1,0,0.0
