ticker,correct,pre90_absorption,pre90_abnormal_weak,pre90_opposite_move
KXBTC15M-26AUG241215-15,True,False,False,False
KXBTC15M-26AUG241230-30,True,False,False,False
KXBTC15M-26AUG241300-00,True,False,False,True
KXBTC15M-26AUG241315-15,False,False,False,True
KXBTC15M-26AUG241330-30,True,True,True,True
KXBTC15M-26AUG241400-00,True,True,True,True
KXBTC15M-26AUG241415-15,True,True,True,True
KXBTC15M-26AUG241530-30,True,False,False,False
KXBTC15M-26AUG241615-15,True,True,True,True
KXBTC15M-26AUG241630-30,True,False,False,False
KXBTC15M-26AUG241645-45,True,True,True,False
KXBTC15M-26AUG241715-15,True,True,True,True
KXBTC15M-26AUG241730-30,True,True,True,True
KXBTC15M-26AUG241800-00,True,False,False,False
KXBTC15M-26AUG241845-45,True,True,False,False
KXBTC15M-26AUG241930-30,True,True,True,True
KXBTC15M-26AUG242030-30,True,True,False,False
KXBTC15M-26AUG242100-00,True,False,False,True
KXBTC15M-26AUG242115-15,False,False,True,True
