horizon_min,threshold,flagged,mistakes_caught,good_flagged,clean_n,clean_accuracy
4,50,5,2,3,12,0.9166666666666666
4,75,4,2,2,13,0.9230769230769231
4,100,2,2,0,15,0.9333333333333333
4,125,1,1,0,16,0.875
4,150,0,0,0,17,0.8235294117647058
4,175,0,0,0,17,0.8235294117647058
4,200,0,0,0,17,0.8235294117647058
5,50,5,2,3,12,0.9166666666666666
5,75,4,2,2,13,0.9230769230769231
5,100,2,2,0,15,0.9333333333333333
5,125,1,1,0,16,0.875
5,150,0,0,0,17,0.8235294117647058
5,175,0,0,0,17,0.8235294117647058
5,200,0,0,0,17,0.8235294117647058
6,50,6,3,3,11,1.0
6,75,5,3,2,12,1.0
6,100,2,2,0,15,0.9333333333333333
6,125,1,1,0,16,0.875
6,150,0,0,0,17,0.8235294117647058
6,175,0,0,0,17,0.8235294117647058
6,200,0,0,0,17,0.8235294117647058
