contract,candle_end_utc,yes_ask,yes_bid,no_ask
KXBTC15M-26AUG200800-00,2026-08-20 11:46:00+00:00,0.57,0.56,0.4399999999999999
KXBTC15M-26AUG200800-00,2026-08-20 11:47:00+00:00,0.62,0.61,0.39
KXBTC15M-26AUG200800-00,2026-08-20 11:48:00+00:00,0.7,0.69,0.31
KXBTC15M-26AUG200800-00,2026-08-20 11:49:00+00:00,0.58,0.56,0.4399999999999999
KXBTC15M-26AUG200800-00,2026-08-20 11:50:00+00:00,0.52,0.51,0.49
KXBTC15M-26AUG200800-00,2026-08-20 11:51:00+00:00,0.46,0.45,0.55
KXBTC15M-26AUG200800-00,2026-08-20 11:52:00+00:00,0.36,0.35,0.65
KXBTC15M-26AUG200800-00,2026-08-20 11:53:00+00:00,0.26,0.25,0.75
KXBTC15M-26AUG200800-00,2026-08-20 11:54:00+00:00,0.082,0.081,0.919
KXBTC15M-26AUG200800-00,2026-08-20 11:55:00+00:00,0.067,0.066,0.934
KXBTC15M-26AUG200800-00,2026-08-20 11:56:00+00:00,0.023,0.022,0.978
KXBTC15M-26AUG200800-00,2026-08-20 11:57:00+00:00,0.007,0.006,0.994
KXBTC15M-26AUG200800-00,2026-08-20 11:58:00+00:00,0.003,0.002,0.998
KXBTC15M-26AUG200800-00,2026-08-20 11:59:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG200800-00,2026-08-20 12:00:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG200815-15,2026-08-20 12:01:00+00:00,0.58,0.57,0.43
KXBTC15M-26AUG200815-15,2026-08-20 12:02:00+00:00,0.62,0.61,0.39
KXBTC15M-26AUG200815-15,2026-08-20 12:03:00+00:00,0.6,0.59,0.41
KXBTC15M-26AUG200815-15,2026-08-20 12:04:00+00:00,0.38,0.36,0.64
KXBTC15M-26AUG200815-15,2026-08-20 12:05:00+00:00,0.27,0.26,0.74
KXBTC15M-26AUG200815-15,2026-08-20 12:06:00+00:00,0.21,0.2,0.8
KXBTC15M-26AUG200815-15,2026-08-20 12:07:00+00:00,0.08,0.076,0.924
KXBTC15M-26AUG200815-15,2026-08-20 12:08:00+00:00,0.043,0.042,0.958
KXBTC15M-26AUG200815-15,2026-08-20 12:09:00+00:00,0.033,0.032,0.968
KXBTC15M-26AUG200815-15,2026-08-20 12:10:00+00:00,0.04,0.039,0.961
KXBTC15M-26AUG200815-15,2026-08-20 12:11:00+00:00,0.1,0.099,0.901
KXBTC15M-26AUG200815-15,2026-08-20 12:12:00+00:00,0.068,0.067,0.933
KXBTC15M-26AUG200815-15,2026-08-20 12:13:00+00:00,0.071,0.07,0.93
KXBTC15M-26AUG200815-15,2026-08-20 12:14:00+00:00,0.004,0.003,0.997
KXBTC15M-26AUG200815-15,2026-08-20 12:15:00+00:00,0.001,0.0,1.0
KXBTC15M-26AUG200830-30,2026-08-20 12:16:00+00:00,0.43,0.42,0.5800000000000001
KXBTC15M-26AUG200830-30,2026-08-20 12:17:00+00:00,0.4,0.39,0.61
KXBTC15M-26AUG200830-30,2026-08-20 12:18:00+00:00,0.31,0.3,0.7
KXBTC15M-26AUG200830-30,2026-08-20 12:19:00+00:00,0.4,0.39,0.61
KXBTC15M-26AUG200830-30,2026-08-20 12:20:00+00:00,0.38,0.37,0.63
KXBTC15M-26AUG200830-30,2026-08-20 12:21:00+00:00,0.54,0.53,0.47
KXBTC15M-26AUG200830-30,2026-08-20 12:22:00+00:00,0.48,0.47,0.53
KXBTC15M-26AUG200830-30,2026-08-20 12:23:00+00:00,0.47,0.46,0.54
KXBTC15M-26AUG200830-30,2026-08-20 12:24:00+00:00,0.39,0.38,0.62
KXBTC15M-26AUG200830-30,2026-08-20 12:25:00+00:00,0.56,0.55,0.4499999999999999
KXBTC15M-26AUG200830-30,2026-08-20 12:26:00+00:00,0.61,0.6,0.4
