ticker,call_time,call_side,correct,layer_a_state,initial_fair,initial_distance,first_post_sec,first_post_distance_drop,first_post_fair_drop,shock_distance,shock_fair,shock_either
KXBTC15M-26AUG260015-15,2026-08-26 04:04:24.069385+00:00,DOWN,True,CONFIRMED_DANGER,0.8018867924528301,-121.44999999999708,53.476688,26.599999999991255,0.0757721427713014,False,True,True
KXBTC15M-26AUG260030-30,2026-08-26 04:19:40.533873+00:00,UP,False,LATE_DANGER_ONLY,0.8018867924528301,116.2899999999936,53.447028,27.20999999999185,0.0,False,False,False
KXBTC15M-26AUG260100-00,2026-08-26 04:48:14.402245+00:00,DOWN,True,CLEAN,0.890625,-162.74000000000524,53.148398,51.25,0.16451035031847128,True,True,True
KXBTC15M-26AUG260115-15,2026-08-26 05:06:04.577489+00:00,DOWN,False,CONFIRMED_DANGER,0.8928571428571429,-142.20999999999185,54.082507,0.0,0.0,False,False,False
KXBTC15M-26AUG260130-30,2026-08-26 05:20:06.490823+00:00,DOWN,False,CONFIRMED_DANGER,0.9301075268817204,-157.54000000000815,53.515207,24.94000000000233,0.03948252688172038,False,False,False
KXBTC15M-26AUG260845-45,2026-08-26 12:34:50.757113+00:00,DOWN,True,CLEAN,0.8018867924528301,-206.86000000000053,54.046624,0.12999999999004785,0.0,False,False,False
KXBTC15M-26AUG260945-45,2026-08-26 13:34:35.600720+00:00,UP,True,CLEAN,0.9301075268817204,271.8799999999901,54.220714,50.76999999998955,0.037250384024577476,True,False,True
KXBTC15M-26AUG261000-00,2026-08-26 13:51:28.570915+00:00,DOWN,True,CLEAN,0.9301075268817204,-175.00999999999476,54.580724,0.0,0.0,False,False,False
KXBTC15M-26AUG261015-15,2026-08-26 14:06:01.820819+00:00,UP,True,CLEAN,0.8018867924528301,99.55999999999769,54.283411,5.100000000005849,0.0,False,False,False
KXBTC15M-26AUG261145-45,2026-08-26 15:35:02.141901+00:00,DOWN,True,CLEAN,0.9301075268817204,-182.2599999999948,53.077115,20.990000000005267,0.037250384024577476,False,False,False
KXBTC15M-26AUG261200-00,2026-08-26 15:49:08.920076+00:00,UP,False,LATE_DANGER_ONLY,0.8018867924528301,98.70999999999184,53.314407,3.4799999999959113,0.0,False,False,False
KXBTC15M-26AUG261215-15,2026-08-26 16:04:43.203673+00:00,UP,True,CLEAN,0.8018867924528301,99.94000000000231,53.229048,6.589999999996493,0.0,False,False,False
KXBTC15M-26AUG261245-45,2026-08-26 16:36:08.324460+00:00,UP,False,CONFIRMED_DANGER,0.890625,101.16000000000348,52.946048,66.08000000000173,0.13122650375939848,True,True,True
KXBTC15M-26AUG261300-00,2026-08-26 16:48:31.692183+00:00,UP,True,LATE_DANGER_ONLY,0.8928571428571429,226.88999999999945,53.320109,0.0,0.0,False,False,False
KXBTC15M-26AUG261315-15,2026-08-26 17:05:52.562785+00:00,UP,True,CLEAN,0.8018867924528301,65.77999999999884,53.060266,3.6900000000023283,0.042488296212228605,False,False,False
KXBTC15M-26AUG261330-30,2026-08-26 17:20:00.955509+00:00,UP,True,CLEAN,0.890625,126.40999999998894,53.273489,0.0,0.0,False,False,False
KXBTC15M-26AUG261400-00,2026-08-26 17:48:19.551748+00:00,DOWN,True,CLEAN,0.8018867924528301,-149.73000000001048,52.881914,60.220000000001164,0.2109777015437393,True,True,True
KXBTC15M-26AUG261415-15,2026-08-26 18:04:45.221607+00:00,UP,True,CLEAN,0.8018867924528301,90.73000000001048,52.892741,27.99000000000524,0.042488296212228605,False,False,False
KXBTC15M-26AUG261500-00,2026-08-26 18:48:30.266873+00:00,UP,True,CLEAN,0.890625,108.0,52.953767,34.60000000000582,0.16451035031847128,True,True,True
KXBTC15M-26AUG261530-30,2026-08-26 19:18:44.100509+00:00,UP,True,CONFIRMED_DANGER,0.8018867924528301,35.10000000000582,52.999584,18.529999999998836,0.23045822102425872,False,True,True
KXBTC15M-26AUG261615-15,2026-08-26 20:05:45.355978+00:00,UP,False,CLEAN,0.8018867924528301,66.54000000000815,53.096722,0.0,0.0,False,False,False
KXBTC15M-26AUG261815-15,2026-08-26 22:05:30.766826+00:00,UP,True,CLEAN,0.9301075268817204,106.72000000000116,53.237057,0.9499999999970896,0.0,False,False,False
KXBTC15M-26AUG261830-30,2026-08-26 22:20:35.544428+00:00,UP,True,CLEAN,0.890625,138.74000000000524,53.135426,0.0,0.0,False,False,False
KXBTC15M-26AUG261845-45,2026-08-26 22:36:31.440108+00:00,DOWN,True,CLEAN,0.890625,-117.93000000000757,52.948379,0.0,0.0,False,False,False
