contract,official_result,market_status,settled,fetched_utc
KXBTC15M-26SEP021030-30,UP,finalized,True,2026-09-02T23:09:30.463118+00:00
KXBTC15M-26SEP021045-45,DOWN,finalized,True,2026-09-02T23:09:30.764363+00:00
KXBTC15M-26SEP021100-00,DOWN,finalized,True,2026-09-02T23:09:31.046644+00:00
KXBTC15M-26SEP021115-15,DOWN,finalized,True,2026-09-02T23:09:31.291009+00:00
KXBTC15M-26SEP021130-30,UP,finalized,True,2026-09-02T23:09:31.456883+00:00
KXBTC15M-26SEP021145-45,UP,finalized,True,2026-09-02T23:09:31.613315+00:00
KXBTC15M-26SEP021200-00,DOWN,finalized,True,2026-09-02T23:09:31.796749+00:00
KXBTC15M-26SEP021215-15,UP,finalized,True,2026-09-02T23:09:32.010400+00:00
KXBTC15M-26SEP021230-30,UP,finalized,True,2026-09-02T23:09:32.185526+00:00
KXBTC15M-26SEP021245-45,DOWN,finalized,True,2026-09-02T23:09:32.424181+00:00
KXBTC15M-26SEP021300-00,DOWN,finalized,True,2026-09-02T23:09:32.597202+00:00
KXBTC15M-26SEP021315-15,DOWN,finalized,True,2026-09-02T23:09:32.855544+00:00
KXBTC15M-26SEP021330-30,DOWN,finalized,True,2026-09-02T23:09:33.026842+00:00
KXBTC15M-26SEP021345-45,UP,finalized,True,2026-09-02T23:09:33.196712+00:00
KXBTC15M-26SEP021400-00,UP,finalized,True,2026-09-02T23:09:33.365884+00:00
KXBTC15M-26SEP021415-15,UP,finalized,True,2026-09-02T23:09:33.528883+00:00
KXBTC15M-26SEP021430-30,UP,finalized,True,2026-09-02T23:09:33.682247+00:00
KXBTC15M-26SEP021445-45,DOWN,finalized,True,2026-09-02T23:09:33.879076+00:00
KXBTC15M-26SEP021500-00,UP,finalized,True,2026-09-02T23:09:34.058788+00:00
KXBTC15M-26SEP021515-15,UP,finalized,True,2026-09-02T23:09:34.210136+00:00
KXBTC15M-26SEP021530-30,DOWN,finalized,True,2026-09-02T23:09:34.372387+00:00
KXBTC15M-26SEP021545-45,UP,finalized,True,2026-09-02T23:09:34.523662+00:00
KXBTC15M-26SEP021600-00,UP,finalized,True,2026-09-02T23:09:34.677176+00:00
KXBTC15M-26SEP021615-15,UP,finalized,True,2026-09-02T23:09:34.828549+00:00
KXBTC15M-26SEP021630-30,UP,finalized,True,2026-09-02T23:09:34.980234+00:00
KXBTC15M-26SEP021645-45,DOWN,finalized,True,2026-09-02T23:09:35.144718+00:00
KXBTC15M-26SEP021700-00,UP,finalized,True,2026-09-02T23:09:35.295892+00:00
KXBTC15M-26SEP021715-15,DOWN,finalized,True,2026-09-02T23:09:35.450352+00:00
KXBTC15M-26SEP021730-30,DOWN,finalized,True,2026-09-02T23:09:35.602266+00:00
KXBTC15M-26SEP021745-45,UP,finalized,True,2026-09-02T23:09:35.752970+00:00
KXBTC15M-26SEP021800-00,DOWN,finalized,True,2026-09-02T23:09:35.906760+00:00
KXBTC15M-26SEP021815-15,DOWN,finalized,True,2026-09-02T23:09:36.078587+00:00
KXBTC15M-26SEP021830-30,DOWN,finalized,True,2026-09-02T23:09:36.236058+00:00
KXBTC15M-26SEP021845-45,UP,finalized,True,2026-09-02T23:09:36.388428+00:00
