ticker,status,result,official_side,settlement_ts,error
KXBTC15M-26AUG230930-30,finalized,yes,UP,2026-08-23T13:30:07.04798Z,
KXBTC15M-26AUG230945-45,finalized,yes,UP,2026-08-23T13:45:07.055674Z,
KXBTC15M-26AUG231000-00,finalized,no,DOWN,2026-08-23T14:00:07.058684Z,
KXBTC15M-26AUG231030-30,finalized,no,DOWN,2026-08-23T14:30:07.060634Z,
KXBTC15M-26AUG231045-45,finalized,no,DOWN,2026-08-23T14:45:07.059319Z,
KXBTC15M-26AUG231100-00,finalized,yes,UP,2026-08-23T15:00:07.061236Z,
KXBTC15M-26AUG231115-15,finalized,yes,UP,2026-08-23T15:15:07.060259Z,
KXBTC15M-26AUG231130-30,finalized,yes,UP,2026-08-23T15:30:07.06286Z,
KXBTC15M-26AUG231145-45,finalized,yes,UP,2026-08-23T15:45:07.105972Z,
KXBTC15M-26AUG231200-00,finalized,no,DOWN,2026-08-23T16:00:07.065501Z,
KXBTC15M-26AUG231215-15,finalized,yes,UP,2026-08-23T16:15:07.068142Z,
KXBTC15M-26AUG231230-30,finalized,yes,UP,2026-08-23T16:30:07.06621Z,
KXBTC15M-26AUG231245-45,finalized,yes,UP,2026-08-23T16:45:07.108414Z,
KXBTC15M-26AUG231300-00,finalized,yes,UP,2026-08-23T17:00:37.11303Z,
KXBTC15M-26AUG231315-15,finalized,no,DOWN,2026-08-23T17:15:07.11578Z,
KXBTC15M-26AUG231330-30,finalized,no,DOWN,2026-08-23T17:30:17.114632Z,
KXBTC15M-26AUG231345-45,finalized,yes,UP,2026-08-23T17:45:07.116296Z,
KXBTC15M-26AUG231400-00,finalized,no,DOWN,2026-08-23T18:00:17.06997Z,
KXBTC15M-26AUG231415-15,finalized,yes,UP,2026-08-23T18:15:07.070793Z,
KXBTC15M-26AUG231430-30,finalized,yes,UP,2026-08-23T18:30:07.074962Z,
KXBTC15M-26AUG231445-45,finalized,no,DOWN,2026-08-23T18:45:07.076391Z,
KXBTC15M-26AUG231500-00,finalized,no,DOWN,2026-08-23T19:00:17.120665Z,
KXBTC15M-26AUG231515-15,finalized,no,DOWN,2026-08-23T19:15:07.068339Z,
