rule,flagged,misses_caught,total_misses,good_flagged,kept,kept_accuracy,capture
300s_worst_distance_drop <= 62.498 AND initial_signed_distance <= 210.498,77,5,5,72,18,1.0,1.0
300s_worst_distance_drop <= 62.498 AND rescore_initial_signed_distance <= 210.498,77,5,5,72,18,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND rescore_initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND rescore_initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
300s_worst_distance_drop <= 62.498 AND initial_signed_distance <= 246.149,81,5,5,76,14,1.0,1.0
300s_worst_distance_drop <= 62.498 AND rescore_initial_signed_distance <= 246.149,81,5,5,76,14,1.0,1.0
300s_worst_distance_drop <= 68.579 AND initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
300s_worst_distance_drop <= 68.579 AND rescore_initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
360s_worst_distance_drop <= 77.905 AND initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
360s_worst_distance_drop <= 77.905 AND rescore_initial_signed_distance <= 210.498,81,5,5,76,14,1.0,1.0
30s_worst_distance_drop <= 0 AND initial_signed_distance <= 210.498,83,5,5,78,12,1.0,1.0
30s_worst_distance_drop <= 0 AND rescore_initial_signed_distance <= 210.498,83,5,5,78,12,1.0,1.0
30s_worst_fair_drop <= 0 AND initial_signed_distance <= 210.498,83,5,5,78,12,1.0,1.0
30s_worst_fair_drop <= 0 AND rescore_initial_signed_distance <= 210.498,83,5,5,78,12,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 30s_worst_distance_drop <= 0,83,5,5,78,12,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 30s_worst_fair_drop <= 0,83,5,5,78,12,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND 300s_worst_distance_drop <= 62.498,84,5,5,79,11,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
180s_worst_distance_drop <= 61.1275 AND rescore_initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND rescore_initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
240s_worst_distance_drop <= 62.0845 AND 300s_worst_distance_drop <= 62.498,85,5,5,80,10,1.0,1.0
300s_worst_distance_drop <= 62.498 AND 360s_worst_distance_drop <= 77.905,85,5,5,80,10,1.0,1.0
300s_worst_distance_drop <= 68.579 AND initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
300s_worst_distance_drop <= 68.579 AND rescore_initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
360s_worst_distance_drop <= 77.905 AND initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
360s_worst_distance_drop <= 77.905 AND rescore_initial_signed_distance <= 246.149,85,5,5,80,10,1.0,1.0
initial_signed_distance <= 210.498 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
initial_signed_distance <= 210.498 AND rescore_initial_signed_distance <= 246.149,86,5,5,81,9,1.0,1.0
initial_signed_distance <= 246.149 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_ask_change >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
30s_worst_ask_change >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
60s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
60s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
60s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
60s_worst_fair_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
60s_worst_ask_change <= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
60s_worst_ask_change <= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
90s_worst_distance_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
90s_worst_distance_drop >= 0 AND rescore_initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
90s_worst_fair_drop >= 0 AND initial_signed_distance <= 210.498,86,5,5,81,9,1.0,1.0
