rule,flagged,misses_caught,total_misses,good_flagged,false_warn,kept,kept_accuracy,capture
3.0m signed_distance <= $75,45,17,17,28,0.21212121212121213,104,1.0,1.0
3.0m signed_distance <= $100,60,17,17,43,0.32575757575757575,89,1.0,1.0
3.5m signed_distance <= $100,63,16,17,47,0.3560606060606061,86,0.9883720930232558,0.9411764705882353
3.5m signed_distance <= $75,41,15,17,26,0.19696969696969696,108,0.9814814814814815,0.8823529411764706
5.0m signed_distance <= $75,45,15,17,30,0.22727272727272727,104,0.9807692307692307,0.8823529411764706
4.5m signed_distance <= $75,45,15,17,30,0.22727272727272727,104,0.9807692307692307,0.8823529411764706
5.0m signed_distance <= $100,60,15,17,45,0.3409090909090909,89,0.9775280898876404,0.8823529411764706
4.5m signed_distance <= $100,63,15,17,48,0.36363636363636365,86,0.9767441860465116,0.8823529411764706
4.0m signed_distance <= $100,64,15,17,49,0.3712121212121212,85,0.9764705882352941,0.8823529411764706
3.0m signed_distance <= $50,32,14,17,18,0.13636363636363635,117,0.9743589743589743,0.8235294117647058
4.0m signed_distance <= $75,41,14,17,27,0.20454545454545456,108,0.9722222222222222,0.8235294117647058
3.5m signed_distance <= $50,31,13,17,18,0.13636363636363635,118,0.9661016949152542,0.7647058823529411
3.0m call_fair <= 0.80,23,12,17,11,0.08333333333333333,126,0.9603174603174603,0.7058823529411765
5.0m signed_distance <= $50,29,12,17,17,0.12878787878787878,120,0.9583333333333334,0.7058823529411765
4.0m signed_distance <= $50,30,12,17,18,0.13636363636363635,119,0.957983193277311,0.7058823529411765
3.0m signed_distance <= $25,20,11,17,9,0.06818181818181818,129,0.9534883720930233,0.6470588235294118
3.5m call_fair <= 0.80,23,11,17,12,0.09090909090909091,126,0.9523809523809523,0.6470588235294118
5.0m call_fair <= 0.80,28,11,17,17,0.12878787878787878,121,0.9504132231404959,0.6470588235294118
4.5m signed_distance <= $50,29,11,17,18,0.13636363636363635,120,0.95,0.6470588235294118
3.5m signed_distance <= $25,18,10,17,8,0.06060606060606061,131,0.9465648854961832,0.5882352941176471
min 5to2 distance < 0,22,10,17,12,0.09090909090909091,127,0.9448818897637795,0.5882352941176471
4.0m call_fair <= 0.80,23,10,17,13,0.09848484848484848,126,0.9444444444444444,0.5882352941176471
4.5m call_fair <= 0.80,25,10,17,15,0.11363636363636363,124,0.9435483870967742,0.5882352941176471
3.5m call_fair <= 0.60,12,9,17,3,0.022727272727272728,137,0.9416058394160584,0.5294117647058824
3.5m call_fair <= 0.50,12,9,17,3,0.022727272727272728,137,0.9416058394160584,0.5294117647058824
3.5m signed_distance <= $0,13,9,17,4,0.030303030303030304,136,0.9411764705882353,0.5294117647058824
3.0m call_fair <= 0.60,14,9,17,5,0.03787878787878788,135,0.9407407407407408,0.5294117647058824
3m distance <= $25 AND 3m fair <= 0.60,14,9,17,5,0.03787878787878788,135,0.9407407407407408,0.5294117647058824
4.0m signed_distance <= $25,15,9,17,6,0.045454545454545456,134,0.9402985074626866,0.5294117647058824
3.5m call_fair <= 0.70,15,9,17,6,0.045454545454545456,134,0.9402985074626866,0.5294117647058824
3.0m call_fair <= 0.70,16,9,17,7,0.05303030303030303,133,0.9398496240601504,0.5294117647058824
5.0m call_fair <= 0.70,17,9,17,8,0.06060606060606061,132,0.9393939393939394,0.5294117647058824
5.0m signed_distance <= $25,18,9,17,9,0.06818181818181818,131,0.9389312977099237,0.5294117647058824
fair change 4.5->3.5m <= -0.05,18,9,17,9,0.06818181818181818,131,0.9389312977099237,0.5294117647058824
4.5m signed_distance <= $25,19,9,17,10,0.07575757575757576,130,0.9384615384615385,0.5294117647058824
min 5to2 fair < 0.50,20,9,17,11,0.08333333333333333,129,0.937984496124031,0.5294117647058824
4.0m call_fair <= 0.60,11,8,17,3,0.022727272727272728,138,0.9347826086956522,0.47058823529411764
4.0m call_fair <= 0.50,11,8,17,3,0.022727272727272728,138,0.9347826086956522,0.47058823529411764
4.0m signed_distance <= $0,12,8,17,4,0.030303030303030304,137,0.9343065693430657,0.47058823529411764
fair change 4.5->3.5m <= -0.10,12,8,17,4,0.030303030303030304,137,0.9343065693430657,0.47058823529411764
3.0m signed_distance <= $0,13,8,17,5,0.03787878787878788,136,0.9338235294117647,0.47058823529411764
4.5m call_fair <= 0.70,16,8,17,8,0.06060606060606061,133,0.9323308270676691,0.47058823529411764
4.0m call_fair <= 0.70,16,8,17,8,0.06060606060606061,133,0.9323308270676691,0.47058823529411764
fair change 5.0->4.0m <= -0.05,21,8,17,13,0.09848484848484848,128,0.9296875,0.47058823529411764
3.0m call_fair <= 0.50,11,7,17,4,0.030303030303030304,138,0.927536231884058,0.4117647058823529
fair change 5.0->4.0m <= -0.10,15,7,17,8,0.06060606060606061,134,0.9253731343283582,0.4117647058823529
5.0m signed_distance <= $0,8,6,17,2,0.015151515151515152,141,0.9219858156028369,0.35294117647058826
5.0m call_fair <= 0.50,8,6,17,2,0.015151515151515152,141,0.9219858156028369,0.35294117647058826
4.5m call_fair <= 0.50,9,6,17,3,0.022727272727272728,140,0.9214285714285714,0.35294117647058826
fair change 4.5->3.5m <= -0.15,9,6,17,3,0.022727272727272728,140,0.9214285714285714,0.35294117647058826
4.5m signed_distance <= $0,10,6,17,4,0.030303030303030304,139,0.920863309352518,0.35294117647058826
4.5m call_fair <= 0.60,10,6,17,4,0.030303030303030304,139,0.920863309352518,0.35294117647058826
5.0m call_fair <= 0.60,11,6,17,5,0.03787878787878788,138,0.9202898550724637,0.35294117647058826
fair change 3.5->2.5m <= -0.15,13,6,17,7,0.05303030303030303,136,0.9191176470588235,0.35294117647058826
fair change 3.5->2.5m <= -0.10,14,6,17,8,0.06060606060606061,135,0.9185185185185185,0.35294117647058826
fair change 4.0->3.0m <= -0.05,18,6,17,12,0.09090909090909091,131,0.916030534351145,0.35294117647058826
fair change 3.5->2.5m <= -0.05,18,6,17,12,0.09090909090909091,131,0.916030534351145,0.35294117647058826
fair change 5.0->4.0m <= -0.15,10,5,17,5,0.03787878787878788,139,0.9136690647482014,0.29411764705882354
fair change 4.0->3.0m <= -0.15,10,5,17,5,0.03787878787878788,139,0.9136690647482014,0.29411764705882354
fair change 4.0->3.0m <= -0.10,11,5,17,6,0.045454545454545456,138,0.9130434782608695,0.29411764705882354
4->3m distance drop >= $50 OR fair drop >= 10pt,19,5,17,14,0.10606060606060606,130,0.9076923076923077,0.29411764705882354
distance change 3.5->2.5m <= -25,33,5,17,28,0.21212121212121213,116,0.896551724137931,0.29411764705882354
5.0m call_fair <= 0.40,5,4,17,1,0.007575757575757576,144,0.9097222222222222,0.23529411764705882
4.5m call_fair <= 0.40,5,4,17,1,0.007575757575757576,144,0.9097222222222222,0.23529411764705882
4.0m call_fair <= 0.40,6,4,17,2,0.015151515151515152,143,0.9090909090909091,0.23529411764705882
3.5m call_fair <= 0.40,6,4,17,2,0.015151515151515152,143,0.9090909090909091,0.23529411764705882
3.0m call_fair <= 0.40,7,4,17,3,0.022727272727272728,142,0.9084507042253521,0.23529411764705882
distance change 4.5->3.5m <= -25,27,4,17,23,0.17424242424242425,122,0.8934426229508197,0.23529411764705882
distance change 4.0->3.0m <= -25,31,4,17,27,0.20454545454545456,118,0.8898305084745762,0.23529411764705882
3.0m signed_distance <= $-25,4,3,17,1,0.007575757575757576,145,0.903448275862069,0.17647058823529413
fair change 4.5->3.5m <= -0.20,5,3,17,2,0.015151515151515152,144,0.9027777777777778,0.17647058823529413
fair change 3.5->2.5m <= -0.20,8,3,17,5,0.03787878787878788,141,0.900709219858156,0.17647058823529413
distance change 5.0->4.0m <= -25,34,3,17,31,0.23484848484848486,115,0.8782608695652174,0.17647058823529413
5.0m signed_distance <= $-25,2,2,17,0,0.0,147,0.8979591836734694,0.11764705882352941
4.5m signed_distance <= $-25,3,2,17,1,0.007575757575757576,146,0.8972602739726028,0.11764705882352941
4.0m signed_distance <= $-25,3,2,17,1,0.007575757575757576,146,0.8972602739726028,0.11764705882352941
fair change 4.0->3.0m <= -0.20,4,2,17,2,0.015151515151515152,145,0.896551724137931,0.11764705882352941
fair change 5.0->4.0m <= -0.20,6,2,17,4,0.030303030303030304,143,0.8951048951048951,0.11764705882352941
distance change 4.0->3.0m <= -100,6,2,17,4,0.030303030303030304,143,0.8951048951048951,0.11764705882352941
distance change 4.0->3.0m <= -75,8,2,17,6,0.045454545454545456,141,0.8936170212765957,0.11764705882352941
distance change 4.0->3.0m <= -50,12,2,17,10,0.07575757575757576,137,0.8905109489051095,0.11764705882352941
distance change 3.5->2.5m <= -50,13,2,17,11,0.08333333333333333,136,0.8897058823529411,0.11764705882352941
3.5m signed_distance <= $-25,2,1,17,1,0.007575757575757576,147,0.891156462585034,0.058823529411764705
distance change 3.5->2.5m <= -100,3,1,17,2,0.015151515151515152,146,0.8904109589041096,0.058823529411764705
distance change 4.5->3.5m <= -100,4,1,17,3,0.022727272727272728,145,0.8896551724137931,0.058823529411764705
distance change 3.5->2.5m <= -75,5,1,17,4,0.030303030303030304,144,0.8888888888888888,0.058823529411764705
distance change 4.5->3.5m <= -75,7,1,17,6,0.045454545454545456,142,0.8873239436619719,0.058823529411764705
distance change 4.5->3.5m <= -50,11,1,17,10,0.07575757575757576,138,0.8840579710144928,0.058823529411764705
distance change 5.0->4.0m <= -50,13,1,17,12,0.09090909090909091,136,0.8823529411764706,0.058823529411764705
distance change 5.0->4.0m <= -100,3,0,17,3,0.022727272727272728,146,0.8835616438356164,0.0
distance change 5.0->4.0m <= -75,7,0,17,7,0.05303030303030303,142,0.8802816901408451,0.0
