rule,flagged,mistakes_caught,mistake_capture,good_flagged,false_warning_rate,kept_calls,kept_accuracy,score
opp30 AND move>=5,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=10,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=15,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=20,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=25,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=30,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=40,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND move>=50,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND fair<=0.90,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND z>=0.0,2,1,0.5,1,0.058823529411764705,17,0.9411764705882353,56.47058823529412
opp30 AND fair<=0.82,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND fair<=0.85,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND fair<=0.88,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND dist/move<=5.0,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND abs(flow_imb)>=0.25,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND z>=0.5,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND z>=1.0,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
opp30 AND z>=1.5,1,0,0.0,1,0.058823529411764705,18,0.8888888888888888,5.947712418300654
