signal_id,contract,side,entry_timestamp_utc,entry_ask,armed,arm_timestamp_utc,arm_seconds,peak_profit_c,exit_timestamp_utc,exit_seconds,exit_bid,profit_c,roi_pct,exit_reason,brti_ready_at_exit,brti_side_at_exit,brti_agreed_at_exit,target_profit_c,floor_profit_c,trail_c,notes
KXBTC15M-26SEP040915-15|DOWN|SCALP|1788527066043,KXBTC15M-26SEP040915-15,DOWN,2026-09-04T13:04:26.043772+00:00,0.43,True,2026-09-04T13:04:41.042651+00:00,15.0,14.0,2026-09-04T13:05:31.057191+00:00,65.0,0.57,14.0,32.6,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP040945-45|DOWN|SCALP|1788528772426,KXBTC15M-26SEP040945-45,DOWN,2026-09-04T13:32:52.426338+00:00,0.4,True,2026-09-04T13:34:32.446169+00:00,100.0,22.0,2026-09-04T13:35:02.428363+00:00,130.0,0.62,22.0,55.0,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP040945-45|UP|SCALP|1788529062431,KXBTC15M-26SEP040945-45,UP,2026-09-04T13:37:42.431363+00:00,0.12,True,2026-09-04T13:37:47.445096+00:00,5.0,26.0,2026-09-04T13:37:52.431202+00:00,10.0,0.38,26.0,216.7,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP040945-45|DOWN|SCALP|1788529272467,KXBTC15M-26SEP040945-45,DOWN,2026-09-04T13:41:12.467635+00:00,0.31,True,2026-09-04T13:41:32.499910+00:00,20.0,16.0,2026-09-04T13:41:37.520719+00:00,25.1,0.47,16.0,51.6,BRTI_PROTECT,True,UP,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041000-00|UP|SCALP|1788529552850,KXBTC15M-26SEP041000-00,UP,2026-09-04T13:45:52.850330+00:00,0.43,True,2026-09-04T13:46:17.879016+00:00,25.0,21.0,2026-09-04T13:46:22.857986+00:00,30.0,0.64,21.0,48.8,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041000-00|DOWN|SCALP|1788529997881,KXBTC15M-26SEP041000-00,DOWN,2026-09-04T13:53:17.881975+00:00,0.25,True,2026-09-04T13:53:32.863868+00:00,15.0,27.0,2026-09-04T13:53:37.864686+00:00,20.0,0.52,27.0,108.0,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041000-00|UP|SCALP|1788530257889,KXBTC15M-26SEP041000-00,UP,2026-09-04T13:57:37.889011+00:00,0.29,True,2026-09-04T13:58:02.874000+00:00,25.0,34.0,2026-09-04T13:58:07.866775+00:00,30.0,0.63,34.0,117.2,TARGET_20,True,UP,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041015-15|DOWN|SCALP|1788530893261,KXBTC15M-26SEP041015-15,DOWN,2026-09-04T14:08:13.261656+00:00,0.42,True,2026-09-04T14:08:33.275932+00:00,20.0,24.0,2026-09-04T14:08:38.261677+00:00,25.0,0.66,24.0,57.1,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041100-00|DOWN|SCALP|1788533235147,KXBTC15M-26SEP041100-00,DOWN,2026-09-04T14:47:15.147300+00:00,0.39,True,2026-09-04T14:47:35.150914+00:00,20.0,33.0,2026-09-04T14:48:05.150300+00:00,50.0,0.72,33.0,84.6,TARGET_20,True,DOWN,True,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
KXBTC15M-26SEP041115-15|UP|SCALP|1788534130476,KXBTC15M-26SEP041115-15,UP,2026-09-04T15:02:10.476613+00:00,0.35,True,2026-09-04T15:02:20.488478+00:00,10.0,13.0,2026-09-04T15:02:25.466216+00:00,15.0,0.48,13.0,37.1,BRTI_PROTECT,True,DOWN,False,20,6,4,FROZEN T20_F6_TR4_BRTI — FORWARD SHADOW ONLY
