scope,safe_cut,danger_cut,safe_n,safe_accuracy,weak_n,weak_accuracy,danger_n,danger_accuracy,danger_wrong_rate
FULL,50,125,50,0.98,14,0.7857142857142857,8,0.25,0.75
TRAIN,50,125,31,0.967741935483871,8,0.75,4,0.25,0.75
HOLDOUT,50,125,19,1.0,6,0.8333333333333334,4,0.25,0.75
FULL,50,140,50,0.98,16,0.8125,6,0.0,1.0
TRAIN,50,140,31,0.967741935483871,9,0.7777777777777778,3,0.0,1.0
HOLDOUT,50,140,19,1.0,7,0.8571428571428571,3,0.0,1.0
FULL,50,150,50,0.98,16,0.8125,6,0.0,1.0
TRAIN,50,150,31,0.967741935483871,9,0.7777777777777778,3,0.0,1.0
HOLDOUT,50,150,19,1.0,7,0.8571428571428571,3,0.0,1.0
FULL,50,160,50,0.98,18,0.7222222222222222,4,0.0,1.0
TRAIN,50,160,31,0.967741935483871,11,0.6363636363636364,1,0.0,1.0
HOLDOUT,50,160,19,1.0,7,0.8571428571428571,3,0.0,1.0
FULL,50,175,50,0.98,19,0.6842105263157895,3,0.0,1.0
TRAIN,50,175,31,0.967741935483871,11,0.6363636363636364,1,0.0,1.0
HOLDOUT,50,175,19,1.0,8,0.75,2,0.0,1.0
FULL,50,200,50,0.98,21,0.6190476190476191,1,0.0,1.0
TRAIN,50,200,31,0.967741935483871,12,0.5833333333333334,0,,
HOLDOUT,50,200,19,1.0,9,0.6666666666666666,1,0.0,1.0
FULL,75,125,55,0.9818181818181818,9,0.6666666666666666,8,0.25,0.75
TRAIN,75,125,34,0.9705882352941176,5,0.6,4,0.25,0.75
HOLDOUT,75,125,21,1.0,4,0.75,4,0.25,0.75
FULL,75,140,55,0.9818181818181818,11,0.7272727272727273,6,0.0,1.0
TRAIN,75,140,34,0.9705882352941176,6,0.6666666666666666,3,0.0,1.0
HOLDOUT,75,140,21,1.0,5,0.8,3,0.0,1.0
FULL,75,150,55,0.9818181818181818,11,0.7272727272727273,6,0.0,1.0
TRAIN,75,150,34,0.9705882352941176,6,0.6666666666666666,3,0.0,1.0
HOLDOUT,75,150,21,1.0,5,0.8,3,0.0,1.0
FULL,75,160,55,0.9818181818181818,13,0.6153846153846154,4,0.0,1.0
TRAIN,75,160,34,0.9705882352941176,8,0.5,1,0.0,1.0
HOLDOUT,75,160,21,1.0,5,0.8,3,0.0,1.0
FULL,75,175,55,0.9818181818181818,14,0.5714285714285714,3,0.0,1.0
TRAIN,75,175,34,0.9705882352941176,8,0.5,1,0.0,1.0
HOLDOUT,75,175,21,1.0,6,0.6666666666666666,2,0.0,1.0
FULL,75,200,55,0.9818181818181818,16,0.5,1,0.0,1.0
TRAIN,75,200,34,0.9705882352941176,9,0.4444444444444444,0,,
HOLDOUT,75,200,21,1.0,7,0.5714285714285714,1,0.0,1.0
FULL,90,125,61,0.9508196721311475,3,0.6666666666666666,8,0.25,0.75
TRAIN,90,125,38,0.9473684210526315,1,0.0,4,0.25,0.75
HOLDOUT,90,125,23,0.9565217391304348,2,1.0,4,0.25,0.75
FULL,90,140,61,0.9508196721311475,5,0.8,6,0.0,1.0
TRAIN,90,140,38,0.9473684210526315,2,0.5,3,0.0,1.0
HOLDOUT,90,140,23,0.9565217391304348,3,1.0,3,0.0,1.0
FULL,90,150,61,0.9508196721311475,5,0.8,6,0.0,1.0
TRAIN,90,150,38,0.9473684210526315,2,0.5,3,0.0,1.0
HOLDOUT,90,150,23,0.9565217391304348,3,1.0,3,0.0,1.0
FULL,90,160,61,0.9508196721311475,7,0.5714285714285714,4,0.0,1.0
TRAIN,90,160,38,0.9473684210526315,4,0.25,1,0.0,1.0
HOLDOUT,90,160,23,0.9565217391304348,3,1.0,3,0.0,1.0
FULL,90,175,61,0.9508196721311475,8,0.5,3,0.0,1.0
TRAIN,90,175,38,0.9473684210526315,4,0.25,1,0.0,1.0
HOLDOUT,90,175,23,0.9565217391304348,4,0.75,2,0.0,1.0
FULL,90,200,61,0.9508196721311475,10,0.4,1,0.0,1.0
TRAIN,90,200,38,0.9473684210526315,5,0.2,0,,
HOLDOUT,90,200,23,0.9565217391304348,5,0.6,1,0.0,1.0
FULL,100,125,62,0.9516129032258065,2,0.5,8,0.25,0.75
TRAIN,100,125,38,0.9473684210526315,1,0.0,4,0.25,0.75
