ticker,call_time,call_side,official_side,correct,initial_fair,initial_remaining_min,initial_distance,initial_signed_distance,three_min_rows,three_min_max_distance_drop,three_min_min_signed_distance,three_min_side_flip,tier_100_150,tier_50_125,tier_50_140,tier_50_150,tier_50_160,tier_50_175,tier_50_200,tier_75_125,tier_75_140,tier_75_150,tier_75_160,tier_75_175,tier_75_200,tier_90_125,tier_90_140,tier_90_150,tier_90_160,tier_90_175,tier_90_200,tier_100_125,tier_100_140,tier_100_160,tier_100_175,tier_100_200,tier_110_125,tier_110_140,tier_110_150,tier_110_160,tier_110_175,tier_110_200,tier_125_140,tier_125_150,tier_125_160,tier_125_175,tier_125_200
KXBTC15M-26AUG231100-00,2026-08-23 14:49:43.735041+00:00,UP,UP,True,0.8018867924528301,10.27108265,120.10000000000582,120.10000000000582,6,0.0,120.10000000000582,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231115-15,2026-08-23 15:06:43.848379+00:00,UP,UP,True,0.890625,8.269193683333333,158.84999999999127,158.84999999999127,7,80.25999999999476,78.58999999999651,False,SAFE,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231130-30,2026-08-23 15:19:43.688140+00:00,DOWN,UP,False,0.9301075268817204,10.271864333333331,-217.74000000000524,217.74000000000524,6,180.35000000000585,37.38999999999942,False,DANGER,DANGER,DANGER,DANGER,DANGER,DANGER,WEAKENING,DANGER,DANGER,DANGER,DANGER,DANGER,WEAKENING,DANGER,DANGER,DANGER,DANGER,DANGER,WEAKENING,DANGER,DANGER,DANGER,DANGER,WEAKENING,DANGER,DANGER,DANGER,DANGER,DANGER,WEAKENING,DANGER,DANGER,DANGER,DANGER,WEAKENING
KXBTC15M-26AUG231200-00,2026-08-23 15:50:43.832562+00:00,DOWN,DOWN,True,0.8018867924528301,9.2694573,-104.7899999999936,104.7899999999936,6,21.879999999990105,82.91000000000349,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231215-15,2026-08-23 16:03:43.928489+00:00,UP,UP,True,0.8018867924528301,11.267858516666667,121.20999999999184,121.20999999999184,7,26.269999999989523,94.94000000000231,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231245-45,2026-08-23 16:35:13.851552+00:00,UP,UP,True,0.9301075268817204,9.7691408,111.5,111.5,6,88.97000000000116,22.52999999999884,False,SAFE,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231315-15,2026-08-23 17:03:13.925271+00:00,DOWN,DOWN,True,0.8018867924528301,11.76791215,-150.5500000000029,150.5500000000029,7,26.77999999999884,123.77000000000407,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231530-30,2026-08-23 19:20:48.459643+00:00,UP,UP,True,0.8018867924528301,9.192339283333332,61.73999999999069,61.73999999999069,6,14.410000000003484,47.3299999999872,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231600-00,2026-08-23 19:51:35.947025+00:00,DOWN,DOWN,True,0.8018867924528301,8.400882916666667,-40.55999999999767,40.55999999999767,8,6.44999999999709,34.11000000000058,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231615-15,2026-08-23 20:03:09.747010+00:00,DOWN,DOWN,True,0.8018867924528301,11.837549833333332,-140.05999999999767,140.05999999999767,8,56.11999999999534,83.94000000000233,False,SAFE,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,WEAKENING,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231630-30,2026-08-23 20:18:47.968723+00:00,UP,UP,True,0.890625,11.200521283333334,31.269999999989523,31.269999999989523,7,8.610000000000582,22.65999999998894,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231715-15,2026-08-23 21:03:24.596316+00:00,UP,UP,True,0.8018867924528301,11.5900614,162.52999999999884,162.52999999999884,8,0.0,162.52999999999884,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
KXBTC15M-26AUG231730-30,2026-08-23 21:18:16.077787+00:00,UP,UP,True,0.9487179487179488,11.732036883333334,244.8700000000099,244.8700000000099,8,0.0,244.8700000000099,False,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
