event_id,contract,side,entry_timestamp_utc,entry_ask,entry_bid,target,btc_price,btc_gap,seconds_left,btc_move_15s,btc_move_30s,btc_move_60s,ask_move_15s,ask_move_30s,ask_move_60s,recent_low_60s,recent_high_60s,bounce_from_low,drawdown_from_high,outcome_timestamp_utc,observed_seconds,max_future_bid,max_gain_vs_entry_ask,min_future_bid,max_adverse_vs_entry_ask,hit_8c,seconds_to_8c,hit_10c,seconds_to_10c,hit_15c,seconds_to_15c,hit_20c,seconds_to_20c,stop_10c_hit,stop_seconds,notes
KXBTC15M-26SEP030015-15|DOWN|1788408046645,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:00:46.645107+00:00,0.44,0.43,77677.78,77687.4,9.619999999995343,853.35,,,,,,,0.44,0.44,0.0,0.0,2026-09-03T04:03:16.526239+00:00,149,0.48,0.03999999999999998,0.33,-0.10999999999999999,False,,False,,False,,False,,True,135.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408066580,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:01:06.580419+00:00,0.44,0.43,77677.78,77688.92,11.139999999999418,833.42,1.5200000000040745,,,0.0,,,0.44,0.44,0.0,0.0,2026-09-03T04:03:16.526694+00:00,129,0.48,0.03999999999999998,0.33,-0.10999999999999999,False,,False,,False,,False,,True,115.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408086580,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:01:26.580572+00:00,0.44,0.43,77677.78,77687.42,9.639999999999418,813.42,-1.5,0.020000000004074536,,0.0,0.0,,0.44,0.44,0.0,0.0,2026-09-03T04:03:16.526875+00:00,109,0.48,0.03999999999999998,0.33,-0.10999999999999999,False,,False,,False,,False,,True,95.0,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408181616,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:03:01.616082+00:00,0.34,0.33,77677.78,77704.32,26.54000000000815,718.38,23.05000000000291,23.060000000012224,23.05000000000291,-0.14999999999999997,-0.14999999999999997,-0.14999999999999997,0.34,0.49,0.0,0.14999999999999997,2026-09-03T04:03:16.527075+00:00,14,0.33,-0.010000000000000009,0.33,-0.010000000000000009,False,,False,,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408513394,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:08:33.394632+00:00,0.18,0.17,77677.78,77732.85,55.070000000006985,386.61,,,,,,,0.18,0.18,0.0,0.0,2026-09-03T04:11:38.469172+00:00,185,0.17,-0.009999999999999981,0.022,-0.158,False,,False,,False,,False,,True,140.1,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408528400,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:08:48.400827+00:00,0.14,0.13,77677.78,77742.99,65.2100000000064,371.6,10.139999999999418,,,-0.03999999999999998,,,0.14,0.18,0.0,0.03999999999999998,2026-09-03T04:11:48.451371+00:00,180,0.14,0.0,0.022,-0.11800000000000002,False,,False,,False,,False,,True,125.1,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408548411,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:09:08.411820+00:00,0.094,0.093,77677.78,77750.99,73.2100000000064,351.59,8.0,18.139999999999418,,-0.04600000000000001,-0.086,,0.094,0.18,0.0,0.086,2026-09-03T04:12:08.495761+00:00,180,0.14,0.04600000000000001,0.022,-0.07200000000000001,False,,False,,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408563413,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:09:23.413351+00:00,0.094,0.093,77677.78,77750.77,72.99000000000524,336.59,-0.22000000000116415,7.779999999998836,,0.0,-0.04600000000000001,,0.094,0.18,0.0,0.086,2026-09-03T04:12:23.505134+00:00,180,0.23,0.136,0.022,-0.07200000000000001,True,180.0,True,180.0,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408578413,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:09:38.413997+00:00,0.083,0.082,77677.78,77732.87,55.08999999999651,321.59,-17.90000000000873,-18.120000000009895,0.01999999998952262,-0.010999999999999996,-0.010999999999999996,-0.09699999999999999,0.083,0.14,0.0,0.05700000000000001,2026-09-03T04:12:43.445915+00:00,184,0.23,0.14700000000000002,0.022,-0.061000000000000006,True,165.0,True,165.0,False,,False,,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
KXBTC15M-26SEP030015-15|DOWN|1788408598390,KXBTC15M-26SEP030015-15,DOWN,2026-09-03T04:09:58.390414+00:00,0.083,0.082,77677.78,77725.01,47.229999999995925,301.61,-7.860000000000582,-25.760000000009313,-17.980000000010477,0.0,-0.010999999999999996,-0.05700000000000001,0.083,0.14,0.0,0.05700000000000001,2026-09-03T04:12:58.447893+00:00,180,0.51,0.427,0.022,-0.061000000000000006,True,145.0,True,145.0,True,175.1,True,175.1,False,,SHADOW LABEL ONLY — NOT A LIVE TRADE SIGNAL
