call_number,contract_id,early_timestamp_utc,early_side,entry_ask_dollars,entry_ask_cents,seconds_remaining,minutes_remaining,time_remaining_mm_ss,official_kalshi_result,official_settlement_side,verdict,official_status,official_settlement_timestamp_utc,official_close_time_utc,official_source_url,official_response_sha256,retrieved_at_utc,source_csv_line
1,KXBTC15M-26SEP030145-45,2026-09-03T05:34:55.101335Z,DOWN,0.14,14.0,604.9,10.081666666666667,10:04.90,yes,UP,WRONG,finalized,2026-09-03T05:45:01.166524Z,2026-09-03T05:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030145-45,663afad65a533c98fcf0fec7b4be14276d579e6949c99db4f0be43048a72a25b,2026-09-21T02:30:45.327201+00:00,1038
2,KXBTC15M-26SEP030230-30,2026-09-03T06:20:51.180596Z,DOWN,0.24,24.0,548.82,9.147,9:08.82,yes,UP,WRONG,finalized,2026-09-03T06:30:31.162381Z,2026-09-03T06:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030230-30,69a3d2ea96423dd4baf3dc77edcf403b3c6158af2dd9ee980c8070791eec486a,2026-09-21T02:30:45.370480+00:00,1574
3,KXBTC15M-26SEP030245-45,2026-09-03T06:35:46.594401Z,DOWN,0.41,41.0,553.41,9.2235,9:13.41,yes,UP,WRONG,finalized,2026-09-03T06:45:01.161499Z,2026-09-03T06:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030245-45,98495d97535ddfea723e7400edf4fb02308eff342fd0ba522f552e499b2b6cda,2026-09-21T02:30:45.333575+00:00,1747
4,KXBTC15M-26SEP030545-45,2026-09-03T09:38:27.608974Z,DOWN,0.47,47.0,392.39,6.539833333333333,6:32.39,no,DOWN,CORRECT,finalized,2026-09-03T09:45:05.040534Z,2026-09-03T09:45:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030545-45,d2ca0e5ca84b2407688bc2f4495dc684f7372ed3f2ced3595c0dfd51f29d9552,2026-09-21T02:30:45.327873+00:00,2480
5,KXBTC15M-26SEP030615-15,2026-09-03T10:08:58.293593Z,DOWN,0.2,20.0,361.71,6.0285,6:01.71,no,DOWN,CORRECT,finalized,2026-09-03T10:15:05.0456Z,2026-09-03T10:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030615-15,2f744f7b3d93a27a8b4806141eb492c13bcb05b4ee3b3b2c224a45a9950a662c,2026-09-21T02:30:45.259515+00:00,2836
6,KXBTC15M-26SEP030715-15,2026-09-03T11:07:24.111563Z,DOWN,0.29,29.0,455.89,7.598166666666667,7:35.89,yes,UP,WRONG,finalized,2026-09-03T11:15:05.047195Z,2026-09-03T11:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030715-15,ef3f3de832912eeffd7e75fc0c87706dc6e4f153ef084a72531cf1f0bb6a465b,2026-09-21T02:30:51.601082+00:00,3523
7,KXBTC15M-26SEP030730-30,2026-09-03T11:20:54.546378Z,DOWN,0.11,11.0,545.45,9.090833333333334,9:05.45,yes,UP,WRONG,finalized,2026-09-03T11:30:05.043208Z,2026-09-03T11:30:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030730-30,d7b3048a9ba0597c108a350f798145dbf6902a17a2d4fdee810dfb842f4ead13,2026-09-21T02:30:51.661471+00:00,3679
8,KXBTC15M-26SEP030800-00,2026-09-03T11:52:05.266282Z,UP,0.41,41.0,474.73,7.912166666666667,7:54.73,yes,UP,CORRECT,finalized,2026-09-03T12:00:05.047231Z,2026-09-03T12:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030800-00,0dbf9650f51a2336f0e458dc31089cd854637cf14795a6d976ec88ff83393538,2026-09-21T02:30:51.693509+00:00,4043
9,KXBTC15M-26SEP030900-00,2026-09-03T12:49:36.611366Z,DOWN,0.26,26.0,623.39,10.389833333333334,10:23.39,yes,UP,WRONG,finalized,2026-09-03T13:00:05.047746Z,2026-09-03T13:00:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030900-00,f88bb8eeff7f07269f1d88c724951a02c19fb4c09f0837aa6cfd9e035b3dc554,2026-09-21T02:30:51.616867+00:00,4714
10,KXBTC15M-26SEP030915-15,2026-09-03T13:08:27.704828Z,UP,0.12,12.0,392.3,6.538333333333333,6:32.30,no,DOWN,WRONG,finalized,2026-09-03T13:15:05.049886Z,2026-09-03T13:15:00Z,https://api.elections.kalshi.com/trade-api/v2/markets/KXBTC15M-26SEP030915-15,4b5704baae729e8dc4f85401c027b42daf5cb7b021a4e11e55d4b51064d955c8,2026-09-21T02:30:51.662229+00:00,4938
