config,target,floor,trail,feature,dev_roi18,dev_positive,dev_avg_profit_c,dev_avg_roi,dev_avg_capture,dev_worst_profit_c
T15_F6_TR4_NONE,0.15,0.06,0.04,NONE,81.81818181818183,100.0,13.72727272727273,33.17955688867466,62.767558442986406,1.9999999999999962
T15_F6_TR4_REVERSAL,0.15,0.06,0.04,REVERSAL,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR4_BRTI,0.15,0.06,0.04,BRTI,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR4_EITHER,0.15,0.06,0.04,EITHER,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR6_NONE,0.15,0.06,0.06,NONE,81.81818181818183,100.0,13.72727272727273,33.17955688867466,62.767558442986406,1.9999999999999962
T15_F6_TR6_REVERSAL,0.15,0.06,0.06,REVERSAL,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR6_BRTI,0.15,0.06,0.06,BRTI,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR6_EITHER,0.15,0.06,0.06,EITHER,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR8_NONE,0.15,0.06,0.08,NONE,72.72727272727273,100.0,13.272727272727275,31.951055660173434,61.200160323864154,1.9999999999999962
T15_F6_TR8_REVERSAL,0.15,0.06,0.08,REVERSAL,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR8_BRTI,0.15,0.06,0.08,BRTI,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR8_EITHER,0.15,0.06,0.08,EITHER,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR10_NONE,0.15,0.06,0.1,NONE,72.72727272727273,100.0,13.272727272727275,31.951055660173434,61.200160323864154,1.9999999999999962
T15_F6_TR10_REVERSAL,0.15,0.06,0.1,REVERSAL,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR10_BRTI,0.15,0.06,0.1,BRTI,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F6_TR10_EITHER,0.15,0.06,0.1,EITHER,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F8_TR4_NONE,0.15,0.08,0.04,NONE,81.81818181818183,100.0,13.72727272727273,33.17955688867466,62.767558442986406,1.9999999999999962
T15_F8_TR4_REVERSAL,0.15,0.08,0.04,REVERSAL,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F8_TR4_BRTI,0.15,0.08,0.04,BRTI,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F8_TR4_EITHER,0.15,0.08,0.04,EITHER,100.0,100.0,15.727272727272727,38.10936708164275,76.76964830714525,8.000000000000002
T15_F8_TR6_NONE,0.15,0.08,0.06,NONE,81.81818181818183,100.0,13.72727272727273,33.17955688867466,62.767558442986406,1.9999999999999962
