contract,side,entry_ask,exit_bid,profit_c,roi,exit_elapsed,reason,max_profit,capture,hit_18pct_roi,held_profit_positive,t10
KXBTC15M-26SEP032330-30,UP,0.38,0.5,0.12,0.3157894736842105,30.00186,FEATURE_BRTI,0.12,1.0,True,True,30.00186
KXBTC15M-26SEP032345-45,DOWN,0.43,0.6,0.16999999999999998,0.3953488372093023,104.992261,FEATURE_BRTI,0.16999999999999998,1.0,True,True,104.992261
KXBTC15M-26SEP032345-45,UP,0.4,0.55,0.15000000000000002,0.37500000000000006,54.982394,FEATURE_BRTI,0.15000000000000002,1.0,True,True,29.986443
KXBTC15M-26SEP032345-45,DOWN,0.45,0.61,0.15999999999999998,0.3555555555555555,119.998598,FEATURE_BRTI,0.15999999999999998,1.0,True,True,50.025767
KXBTC15M-26SEP032345-45,UP,0.39,0.55,0.16000000000000003,0.4102564102564103,35.028143,FEATURE_BRTI,0.30999999999999994,0.5161290322580647,True,True,35.028143
KXBTC15M-26SEP032345-45,DOWN,0.45,0.57,0.11999999999999994,0.26666666666666655,45.058921,FEATURE_BRTI,0.11999999999999994,1.0,True,True,25.000273
KXBTC15M-26SEP032345-45,DOWN,0.41,0.73,0.32,0.7804878048780488,95.020404,TARGET_20,0.34,0.9411764705882353,True,True,35.001605
KXBTC15M-26SEP040000-00,UP,0.44,0.66,0.22000000000000003,0.5000000000000001,55.023996,TARGET_20,0.25999999999999995,0.8461538461538464,True,True,25.031198
KXBTC15M-26SEP040015-15,UP,0.44,0.52,0.08000000000000002,0.18181818181818185,145.006091,FEATURE_BRTI,0.11000000000000004,0.7272727272727272,True,True,110.027562
KXBTC15M-26SEP040015-15,UP,0.37,0.5,0.13,0.35135135135135137,19.997806,FEATURE_BRTI,0.29000000000000004,0.44827586206896547,True,True,15.019761
KXBTC15M-26SEP040015-15,UP,0.4,0.66,0.26,0.65,5.002701,TARGET_20,0.596,0.43624161073825507,True,True,5.002701
KXBTC15M-26SEP040100-00,UP,0.45,0.69,0.23999999999999994,0.5333333333333332,20.030927,TARGET_20,0.27999999999999997,0.857142857142857,True,True,20.030927
KXBTC15M-26SEP040115-15,UP,0.43,0.54,0.11000000000000004,0.2558139534883722,30.002709,FEATURE_BRTI,0.14999999999999997,0.7333333333333337,True,True,25.028583
KXBTC15M-26SEP040115-15,DOWN,0.42,0.87,0.45,1.0714285714285714,19.99309,TARGET_20,0.5780000000000001,0.7785467128027681,True,True,19.99309
KXBTC15M-26SEP040130-30,UP,0.36,0.68,0.32000000000000006,0.8888888888888891,40.023257,TARGET_20,0.45000000000000007,0.7111111111111111,True,True,10.039448
KXBTC15M-26SEP040200-00,DOWN,0.38,0.6,0.21999999999999997,0.5789473684210525,70.027204,TARGET_20,0.29000000000000004,0.7586206896551723,True,True,10.044043
KXBTC15M-26SEP040215-15,UP,0.44,0.85,0.41,0.9318181818181818,44.99817,TARGET_20,0.502,0.8167330677290836,True,True,14.999245
