model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct2040,avg_time,median_time
LOGISTIC,OPEN,0.55,5,0.0,71.42857142857143,24.6,21.0,60.0,8.727589560000002,9.51341465
LOGISTIC,OPEN,0.6,5,0.0,71.42857142857143,24.6,21.0,60.0,8.727589560000002,9.51341465
LOGISTIC,OPEN,0.65,5,0.0,71.42857142857143,24.6,21.0,60.0,8.727589560000002,9.51341465
LOGISTIC,OPEN,0.7,5,0.0,71.42857142857143,24.6,21.0,60.0,8.710902860000001,9.51341465
LOGISTIC,OPEN,0.75,5,0.0,71.42857142857143,22.800000000000004,21.0,40.0,8.694261736666666,9.433860866666668
LOGISTIC,OPEN,0.8,5,0.0,71.42857142857143,22.800000000000004,21.0,40.0,8.67760363,9.350570333333334
LOGISTIC,OPEN,0.85,4,0.0,57.142857142857146,23.25,20.0,25.0,8.514679645833333,9.431992491666666
LOGISTIC,OPEN,0.9,3,0.0,42.857142857142854,26.999999999999996,28.000000000000004,33.33333333333333,8.236049416666667,9.51341465
LOGISTIC,PULLBACK,0.55,4,0.0,57.142857142857146,23.25,20.0,25.0,8.577207525,9.473637758333334
LOGISTIC,PULLBACK,0.6,4,0.0,57.142857142857146,23.25,20.0,25.0,8.577207525,9.473637758333334
LOGISTIC,PULLBACK,0.65,4,0.0,57.142857142857146,23.25,20.0,25.0,8.577207525,9.473637758333334
LOGISTIC,PULLBACK,0.7,4,0.0,57.142857142857146,23.25,20.0,25.0,8.55634915,9.473637758333334
LOGISTIC,PULLBACK,0.75,4,0.0,57.142857142857146,23.25,20.0,25.0,8.55634915,9.473637758333334
LOGISTIC,PULLBACK,0.8,4,0.0,57.142857142857146,23.25,20.0,25.0,8.535526516666666,9.431992491666666
LOGISTIC,PULLBACK,0.85,4,0.0,57.142857142857146,23.25,20.0,25.0,8.514679645833333,9.431992491666666
LOGISTIC,PULLBACK,0.9,3,0.0,42.857142857142854,26.999999999999996,28.000000000000004,33.33333333333333,8.236049416666667,9.51341465
LOGISTIC,LAG,0.55,4,0.0,57.142857142857146,21.5,23.5,75.0,7.7176732875,7.759875
LOGISTIC,LAG,0.6,4,0.0,57.142857142857146,21.5,23.5,75.0,7.7176732875,7.759875
LOGISTIC,LAG,0.65,4,0.0,57.142857142857146,20.25,21.0,75.0,7.5718990291666675,7.5417202916666675
LOGISTIC,LAG,0.7,4,0.0,57.142857142857146,20.25,21.0,75.0,7.551040654166666,7.500003541666667
LOGISTIC,LAG,0.75,4,0.0,57.142857142857146,20.25,21.0,75.0,7.551040654166666,7.500003541666667
LOGISTIC,LAG,0.8,4,0.0,57.142857142857146,20.25,21.0,75.0,7.551040654166666,7.500003541666667
LOGISTIC,LAG,0.85,3,0.0,42.857142857142854,20.0,21.0,66.66666666666666,6.958287683333334,5.6907408833333335
LOGISTIC,LAG,0.9,3,0.0,42.857142857142854,20.0,21.0,66.66666666666666,6.958287683333334,5.6907408833333335
LOGISTIC,BRTI,0.55,0,,0.0,,,,,
LOGISTIC,BRTI,0.6,0,,0.0,,,,,
LOGISTIC,BRTI,0.65,0,,0.0,,,,,
LOGISTIC,BRTI,0.7,0,,0.0,,,,,
LOGISTIC,BRTI,0.75,0,,0.0,,,,,
LOGISTIC,BRTI,0.8,0,,0.0,,,,,
LOGISTIC,BRTI,0.85,0,,0.0,,,,,
LOGISTIC,BRTI,0.9,0,,0.0,,,,,
LOGISTIC,HYBRID,0.55,0,,0.0,,,,,
LOGISTIC,HYBRID,0.6,0,,0.0,,,,,
LOGISTIC,HYBRID,0.65,0,,0.0,,,,,
LOGISTIC,HYBRID,0.7,0,,0.0,,,,,
LOGISTIC,HYBRID,0.75,0,,0.0,,,,,
LOGISTIC,HYBRID,0.8,0,,0.0,,,,,
LOGISTIC,HYBRID,0.85,0,,0.0,,,,,
LOGISTIC,HYBRID,0.9,0,,0.0,,,,,
RF,OPEN,0.55,2,0.0,28.571428571428573,24.5,24.5,100.0,5.597483141666666,5.597483141666666
RF,OPEN,0.6,2,0.0,28.571428571428573,24.5,24.5,100.0,5.597483141666666,5.597483141666666
RF,OPEN,0.65,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,OPEN,0.7,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,OPEN,0.75,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.670707516666667,5.670707516666667
RF,OPEN,0.8,0,,0.0,,,,,
RF,OPEN,0.85,0,,0.0,,,,,
RF,OPEN,0.9,0,,0.0,,,,,
RF,PULLBACK,0.55,2,0.0,28.571428571428573,24.5,24.5,100.0,5.597483141666666,5.597483141666666
RF,PULLBACK,0.6,2,0.0,28.571428571428573,24.5,24.5,100.0,5.597483141666666,5.597483141666666
RF,PULLBACK,0.65,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,PULLBACK,0.7,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,PULLBACK,0.75,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.670707516666667,5.670707516666667
RF,PULLBACK,0.8,0,,0.0,,,,,
RF,PULLBACK,0.85,0,,0.0,,,,,
RF,PULLBACK,0.9,0,,0.0,,,,,
RF,LAG,0.55,2,0.0,28.571428571428573,24.5,24.5,100.0,5.597483141666666,5.597483141666666
RF,LAG,0.6,2,0.0,28.571428571428573,24.5,24.5,100.0,5.597483141666666,5.597483141666666
RF,LAG,0.65,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,LAG,0.7,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.754095,5.754095
RF,LAG,0.75,1,0.0,14.285714285714286,28.000000000000004,28.000000000000004,100.0,5.670707516666667,5.670707516666667
RF,LAG,0.8,0,,0.0,,,,,
