target_roi,stop_roi,model,gate,threshold,calls,accuracy,coverage,avg_ask,avg_target_c,avg_stop_c,avg_time
0.18,0.18,LOGISTIC,OPEN,0.55,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,OPEN,0.6,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,OPEN,0.65,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,OPEN,0.7,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,OPEN,0.75,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,OPEN,0.8,6,66.66666666666666,85.71428571428571,24.5,5.333333333333333,5.333333333333333,8.380928352777778
0.18,0.18,LOGISTIC,OPEN,0.85,6,50.0,85.71428571428571,24.333333333333332,5.166666666666667,5.166666666666667,8.075373363888888
0.18,0.18,LOGISTIC,OPEN,0.9,4,25.0,57.142857142857146,26.25,5.5,5.5,7.5563234375
0.18,0.18,LOGISTIC,PULLBACK,0.55,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,PULLBACK,0.6,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,PULLBACK,0.65,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,PULLBACK,0.7,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,PULLBACK,0.75,7,57.14285714285714,100.0,23.142857142857146,5.142857142857143,5.142857142857143,9.203508985714285
0.18,0.18,LOGISTIC,PULLBACK,0.8,5,60.0,71.42857142857143,25.6,5.6,5.6,9.303688083333332
0.18,0.18,LOGISTIC,PULLBACK,0.85,5,40.0,71.42857142857143,25.4,5.4,5.4,8.937022096666666
0.18,0.18,LOGISTIC,PULLBACK,0.9,3,0.0,42.857142857142854,28.666666666666668,6.0,6.0,8.819388016666666
0.18,0.18,LOGISTIC,LAG,0.55,6,83.33333333333334,85.71428571428571,22.666666666666668,5.0,5.0,8.214259969444447
0.18,0.18,LOGISTIC,LAG,0.6,6,83.33333333333334,85.71428571428571,22.666666666666668,5.0,5.0,8.0615313
0.18,0.18,LOGISTIC,LAG,0.65,6,66.66666666666666,85.71428571428571,23.833333333333332,5.166666666666667,5.166666666666667,7.9085005638888894
0.18,0.18,LOGISTIC,LAG,0.7,6,66.66666666666666,85.71428571428571,23.833333333333332,5.166666666666667,5.166666666666667,7.9085005638888894
0.18,0.18,LOGISTIC,LAG,0.75,6,66.66666666666666,85.71428571428571,23.833333333333332,5.166666666666667,5.166666666666667,7.9085005638888894
0.18,0.18,LOGISTIC,LAG,0.8,5,60.0,71.42857142857143,23.800000000000004,5.2,5.2,7.643928393333333
0.18,0.18,LOGISTIC,LAG,0.85,5,40.0,71.42857142857143,23.599999999999998,5.0,5.0,7.277262406666667
0.18,0.18,LOGISTIC,LAG,0.9,4,25.0,57.142857142857146,25.25,5.25,5.25,6.868536333333333
0.18,0.18,LOGISTIC,BRTI,0.55,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.6,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.65,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.7,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.75,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.8,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.85,0,,0.0,,,,
0.18,0.18,LOGISTIC,BRTI,0.9,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.55,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.6,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.65,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.7,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.75,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.8,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.85,0,,0.0,,,,
0.18,0.18,LOGISTIC,HYBRID,0.9,0,,0.0,,,,
0.18,0.18,RF,OPEN,0.55,5,80.0,71.42857142857143,23.800000000000004,5.2,5.2,7.874776013333333
0.18,0.18,RF,OPEN,0.6,5,80.0,71.42857142857143,23.800000000000004,5.2,5.2,7.85811817
0.18,0.18,RF,OPEN,0.65,4,75.0,57.142857142857146,26.75,5.25,5.25,7.027582099999999
0.18,0.18,RF,OPEN,0.7,3,66.66666666666666,42.857142857142854,28.33333333333334,5.666666666666667,5.666666666666667,7.836657422222221
0.18,0.18,RF,OPEN,0.75,2,50.0,28.571428571428573,26.0,5.5,5.5,7.5344373666666655
0.18,0.18,RF,OPEN,0.8,2,50.0,28.571428571428573,26.0,5.5,5.5,7.5344373666666655
0.18,0.18,RF,OPEN,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,6.0,5.754095
0.18,0.18,RF,OPEN,0.9,0,,0.0,,,,
0.18,0.18,RF,PULLBACK,0.55,4,50.0,57.142857142857146,22.5,5.0,5.0,8.422412516666666
0.18,0.18,RF,PULLBACK,0.6,4,50.0,57.142857142857146,22.5,5.0,5.0,8.422412516666666
0.18,0.18,RF,PULLBACK,0.65,3,33.33333333333333,42.857142857142854,26.0,5.0,5.0,7.503129205555555
0.18,0.18,RF,PULLBACK,0.7,2,50.0,28.571428571428573,27.0,5.5,5.5,7.9511383083333325
0.18,0.18,RF,PULLBACK,0.75,2,50.0,28.571428571428573,26.0,5.5,5.5,7.5344373666666655
0.18,0.18,RF,PULLBACK,0.8,2,50.0,28.571428571428573,26.0,5.5,5.5,7.5344373666666655
0.18,0.18,RF,PULLBACK,0.85,1,0.0,14.285714285714286,28.000000000000004,6.0,6.0,5.754095
0.18,0.18,RF,PULLBACK,0.9,0,,0.0,,,,
0.18,0.18,RF,LAG,0.55,5,80.0,71.42857142857143,23.800000000000004,5.2,5.2,7.858124120000001
