contract,result,final_up
KXBTC15M-26SEP030015-15,no,0
KXBTC15M-26SEP030030-30,no,0
KXBTC15M-26SEP030045-45,no,0
KXBTC15M-26SEP030100-00,yes,1
KXBTC15M-26SEP030115-15,no,0
KXBTC15M-26SEP030130-30,no,0
KXBTC15M-26SEP030145-45,yes,1
KXBTC15M-26SEP030200-00,yes,1
KXBTC15M-26SEP030215-15,no,0
KXBTC15M-26SEP030230-30,yes,1
KXBTC15M-26SEP030245-45,yes,1
KXBTC15M-26SEP030300-00,yes,1
KXBTC15M-26SEP030515-15,yes,1
KXBTC15M-26SEP030530-30,no,0
KXBTC15M-26SEP030545-45,no,0
KXBTC15M-26SEP030600-00,no,0
KXBTC15M-26SEP030615-15,no,0
KXBTC15M-26SEP030630-30,yes,1
KXBTC15M-26SEP030645-45,no,0
KXBTC15M-26SEP030700-00,yes,1
KXBTC15M-26SEP030715-15,yes,1
KXBTC15M-26SEP030730-30,yes,1
KXBTC15M-26SEP030745-45,yes,1
KXBTC15M-26SEP030800-00,yes,1
KXBTC15M-26SEP030815-15,yes,1
KXBTC15M-26SEP030830-30,no,0
KXBTC15M-26SEP030845-45,yes,1
KXBTC15M-26SEP030900-00,yes,1
KXBTC15M-26SEP030915-15,no,0
KXBTC15M-26SEP030930-30,no,0
KXBTC15M-26SEP030945-45,yes,1
KXBTC15M-26SEP031000-00,no,0
KXBTC15M-26SEP031015-15,yes,1
KXBTC15M-26SEP031030-30,yes,1
KXBTC15M-26SEP031430-30,no,0
KXBTC15M-26SEP031445-45,yes,1
KXBTC15M-26SEP031500-00,yes,1
KXBTC15M-26SEP031515-15,no,0
KXBTC15M-26SEP031530-30,yes,1
KXBTC15M-26SEP031545-45,no,0
KXBTC15M-26SEP031600-00,yes,1
KXBTC15M-26SEP031615-15,no,0
KXBTC15M-26SEP031630-30,yes,1
KXBTC15M-26SEP031645-45,no,0
KXBTC15M-26SEP031700-00,no,0
KXBTC15M-26SEP031715-15,yes,1
KXBTC15M-26SEP031730-30,yes,1
KXBTC15M-26SEP031745-45,no,0
KXBTC15M-26SEP031800-00,yes,1
KXBTC15M-26SEP031830-30,no,0
KXBTC15M-26SEP031845-45,yes,1
KXBTC15M-26SEP031900-00,no,0
KXBTC15M-26SEP031915-15,yes,1
KXBTC15M-26SEP031930-30,yes,1
KXBTC15M-26SEP031945-45,no,0
KXBTC15M-26SEP032000-00,yes,1
KXBTC15M-26SEP032030-30,no,0
KXBTC15M-26SEP032045-45,yes,1
KXBTC15M-26SEP032100-00,no,0
KXBTC15M-26SEP032115-15,no,0
