contract,timestamp_utc,side,side_num,seconds_left,minutes_left,side_ask,side_bid,side_spread,quote_advantage,btc_gap_side,abs_btc_gap,btc_move_5s_side,btc_move_15s_side,btc_move_30s_side,btc_move_60s_side,btc_move_120s_side,ask_move_5s,ask_move_15s,ask_move_30s,ask_move_60s,ask_move_120s,recent_low_30s,recent_low_60s,recent_low_120s,recent_high_30s,recent_high_60s,recent_high_120s,bounce_from_60s_low,drawdown_from_60s_high,side_fair,side_edge,fair_move_5s_side,fair_move_15s_side,fair_move_30s_side,brti_gap_side,brti_minus_coinbase_side,brti_age_seconds,brti_agrees_side,result,final_up,correct,model_prob,model,features,fold
KXBTC15M-26SEP030715-15,2026-09-03 11:08:24.108169+00:00,DOWN,0,395.89,6.598166666666667,0.41,0.4,0.0099999999999999,0.19,-2.929999999993015,2.929999999993015,-0.0,11.260000000009311,26.470000000001164,29.25,40.5,0.0,0.0,0.0199999999999999,0.12,0.1499999999999999,0.39,0.29,0.26,0.41,0.41,0.41,0.12,0.0,,,,,,,,,0.0,yes,1,0,0.799770702806542,LOGISTIC,CORE,1
KXBTC15M-26SEP030745-45,2026-09-03 11:35:35.027343+00:00,UP,1,564.97,9.416166666666667,0.46,0.45,0.01,0.09,-10.080000000001746,10.080000000001746,-1.4900000000052387,-4.490000000005239,-18.41000000000349,-30.99000000000524,-43.48000000001048,-0.1,-0.1,-0.0499999999999999,-0.0499999999999999,-0.1199999999999999,0.46,0.46,0.46,0.56,0.56,0.63,0.0,0.1,,,,,,,,,0.0,yes,1,1,0.8444328890972828,LOGISTIC,CORE,1
KXBTC15M-26SEP030800-00,2026-09-03 11:52:25.246839+00:00,UP,1,454.75,7.579166666666667,0.41,0.4,0.0099999999999999,0.19,-12.729999999995924,12.729999999995924,0.6600000000034925,-9.549999999988358,2.4800000000104774,16.570000000006985,18.51000000000932,0.0,0.0,0.0,0.06,0.0899999999999999,0.41,0.35,0.32,0.41,0.41,0.42,0.06,0.0,,,,,,,,,0.0,yes,1,1,0.7542640514524219,LOGISTIC,CORE,1
KXBTC15M-26SEP030815-15,2026-09-03 12:10:05.349624+00:00,UP,1,294.65,4.910833333333333,0.38,0.37,0.01,0.25,-11.35000000000582,11.35000000000582,-0.0099999999947613,19.7899999999936,22.95999999999185,59.13000000000466,55.33999999999651,0.0999999999999999,0.0999999999999999,0.21,0.21,0.2,0.28,0.17,0.17,0.38,0.38,0.38,0.21,0.0,,,,,,,,,0.0,yes,1,1,0.7615576185755422,LOGISTIC,CORE,1
KXBTC15M-26SEP030930-30,2026-09-03 13:22:23.029161+00:00,DOWN,0,456.97,7.616166666666667,0.33,0.32,0.01,0.35,-43.870000000009895,43.870000000009895,-1.4900000000052387,-51.60000000000582,-70.93000000000757,-96.91999999999824,-144.56000000001222,-0.2399999999999999,-0.2399999999999999,-0.2399999999999999,-0.3699999999999999,-0.33,0.33,0.33,0.33,0.57,0.7,0.76,0.0,0.3699999999999999,,,,,,,,,0.0,no,0,1,0.8207237459634096,LOGISTIC,CORE,2
KXBTC15M-26SEP031000-00,2026-09-03 13:50:23.868664+00:00,DOWN,0,576.13,9.602166666666667,0.5,0.49,0.01,0.01,1.0999999999912689,1.0999999999912689,-11.430000000007569,-71.76000000000931,-67.54000000000815,-94.52000000000407,-102.5,-0.15,-0.15,-0.17,-0.17,-0.0699999999999999,0.5,0.5,0.5,0.65,0.67,0.69,0.0,0.17,,,,,,,,,0.0,no,0,1,0.9800841793506008,LOGISTIC,CORE,2
KXBTC15M-26SEP031015-15,2026-09-03 14:10:29.187163+00:00,DOWN,0,270.81,4.5135,0.29,0.28,0.0099999999999999,0.43,-7.179999999993015,7.179999999993015,-11.89999999999418,14.880000000004657,23.270000000004075,91.50999999999476,25.66000000000349,0.0,0.0,0.1199999999999999,0.0899999999999999,-0.08,0.17,0.17,0.17,0.29,0.29,0.37,0.1199999999999999,0.0,,,,,,,,,0.0,yes,1,0,0.7867125777077717,LOGISTIC,CORE,2
KXBTC15M-26SEP031445-45,2026-09-03 18:35:02.997042+00:00,DOWN,0,597.0,9.95,0.46,0.45,0.01,0.09,13.639999999999418,13.639999999999418,-4.320000000006985,21.88999999999941,21.869999999995343,34.580000000001746,23.80999999999767,0.0,0.0,0.05,0.05,-0.1099999999999999,0.46,0.41,0.41,0.46,0.46,0.47,0.05,0.0,0.6607502860237582,0.2007502860237581,0.0,0.0,0.0,,,,0.0,yes,1,0,0.8251568553747805,LOGISTIC,CORE,3
KXBTC15M-26SEP031515-15,2026-09-03 19:06:58.301782+00:00,UP,1,481.7,8.028333333333332,0.36,0.35,0.01,0.29,-24.310000000012224,24.310000000012224,50.429999999993015,41.11999999999534,-1.9900000000052387,-116.73000000001048,-165.54000000000815,-0.2,-0.2,-0.2,-0.4,-0.26,0.36,0.36,0.36,0.56,0.76,0.86,0.0,0.4,0.3392497139762418,-0.0207502860237581,-0.0,-0.0,-0.0,,,,0.0,no,0,0,0.9334794989689024,LOGISTIC,CORE,3
KXBTC15M-26SEP031545-45,2026-09-03 19:40:43.767933+00:00,DOWN,0,256.23,4.2705,0.4,0.39,0.01,0.2099999999999999,-21.85000000000582,21.85000000000582,-0.8100000000122236,-57.820000000006985,-70.57000000000698,-100.43000000000757,-148.65000000000873,-0.28,-0.28,-0.28,-0.47,-0.529,0.4,0.4,0.4,0.68,0.83,0.929,0.0,0.4299999999999999,0.6607502860237582,0.2607502860237581,0.0,0.0,0.0,,,,0.0,no,0,1,0.8878731218565199,LOGISTIC,CORE,3
KXBTC15M-26SEP031600-00,2026-09-03 19:50:38.888964+00:00,UP,1,561.11,9.351833333333332,0.35,0.34,0.0099999999999999,0.31,-24.080000000001743,24.080000000001743,-9.410000000003492,0.5799999999871943,7.019999999989523,21.04999999998836,-28.73000000001048,0.0,0.0,-0.02,-0.02,-0.18,0.35,0.35,0.35,0.35,0.37,0.53,0.0,0.02,0.3392497139762418,-0.0107502860237581,-0.0,-0.0,-0.0,,,,0.0,yes,1,1,0.7500168543826756,LOGISTIC,CORE,3
KXBTC15M-26SEP031630-30,2026-09-03 20:20:04.758724+00:00,UP,1,595.24,9.920666666666667,0.43,0.42,0.01,0.1499999999999999,-20.589999999996508,20.589999999996508,8.930000000007567,8.919999999998254,12.389999999999418,30.770000000004075,-58.479999999995925,0.02,0.02,0.02,0.02,-0.1599999999999999,0.41,0.41,0.41,0.43,0.43,0.61,0.02,0.0,0.3392497139762418,-0.0907502860237581,-0.0,-0.0,-0.0,,,,0.0,yes,1,1,0.7603800775414766,LOGISTIC,CORE,4
KXBTC15M-26SEP031645-45,2026-09-03 20:38:45.095273+00:00,DOWN,0,374.9,6.248333333333333,0.46,0.45,0.01,0.09,-20.90000000000873,20.90000000000873,-55.05000000000291,-111.02000000000407,-106.34000000001106,-125.09000000001106,-141.34000000001106,-0.31,-0.31,-0.455,-0.455,-0.3599999999999999,0.46,0.46,0.46,0.77,0.915,0.915,0.0,0.455,0.6607502860237582,0.2007502860237581,0.0,0.0,0.0,,,,0.0,no,0,1,0.9766849786688451,LOGISTIC,CORE,4
KXBTC15M-26SEP031700-00,2026-09-03 20:53:20.357251+00:00,DOWN,0,399.64,6.660666666666667,0.41,0.4,0.0099999999999999,0.19,-15.930000000007569,15.930000000007569,-0.0,-0.0,12.209999999991853,23.220000000001164,51.479999999995925,0.0,0.0,0.0499999999999999,0.2299999999999999,0.2199999999999999,0.36,0.18,0.18,0.41,0.41,0.41,0.2299999999999999,0.0,0.6607502860237582,0.2507502860237582,0.0,0.0,0.0,,,,0.0,no,0,1,0.7672381592431283,LOGISTIC,CORE,4
KXBTC15M-26SEP031715-15,2026-09-03 21:10:45.617635+00:00,DOWN,0,254.38,4.2396666666666665,0.38,0.37,0.01,0.25,-37.189999999987776,37.189999999987776,-21.02999999999884,-31.45999999999185,-57.89999999999418,-97.72000000000116,-185.05999999999767,-0.36,-0.36,-0.36,-0.37,-0.42,0.38,0.38,0.38,0.74,0.75,0.86,0.0,0.37,0.6607502860237582,0.2807502860237582,0.0,0.0,0.0,,,,0.0,yes,1,0,0.9592796052976859,LOGISTIC,CORE,4
KXBTC15M-26SEP031730-30,2026-09-03 21:20:25.795851+00:00,UP,1,574.2,9.57,0.43,0.42,0.01,0.1499999999999999,-20.49000000000524,20.49000000000524,7.479999999995925,13.089999999996508,12.089999999996508,34.629999999990105,-25.95000000001164,0.0,0.07,0.07,0.0299999999999999,-0.22,0.36,0.36,0.36,0.43,0.43,0.52,0.07,0.0,0.3392497139762418,-0.0907502860237581,-0.0,-0.0,-0.0,,,,0.0,yes,1,1,0.7698966667656456,LOGISTIC,CORE,4
KXBTC15M-26SEP031745-45,2026-09-03 21:40:01.382211+00:00,UP,1,298.62,4.977,0.36,0.35,0.01,0.29,-24.29000000000815,24.29000000000815,14.209999999991853,14.839999999996508,12.379999999990105,-23.35000000000582,-133.81000000001222,-0.16,-0.16,-0.16,-0.32,-0.4,0.36,0.36,0.36,0.52,0.57,0.76,0.0,0.2099999999999999,0.3392497139762418,-0.0207502860237581,-0.0,-0.0,-0.0,,,,0.0,no,0,0,0.905183958726951,LOGISTIC,CORE,4
KXBTC15M-26SEP031845-45,2026-09-03 22:36:24.975490+00:00,UP,1,515.02,8.583666666666666,0.3,0.29,0.01,0.41,-36.44000000000233,36.44000000000233,16.180000000007567,49.29000000000815,89.52999999999884,62.18000000000757,149.25,0.0,0.01,0.01,-0.02,0.1099999999999999,0.29,0.29,0.19,0.3,0.32,0.32,0.01,0.02,,,,,,,,,0.0,yes,1,1,0.7570621391409066,LOGISTIC,CORE,5
KXBTC15M-26SEP031900-00,2026-09-03 22:53:20.305510+00:00,UP,1,399.69,6.6615,0.33,0.32,0.01,0.35,-27.17999999999301,27.17999999999301,56.15000000000873,52.4600000000064,67.68000000000757,105.65000000000872,37.02999999999884,0.1,0.1,0.1,0.11,0.06,0.23,0.22,0.22,0.33,0.33,0.33,0.11,0.0,,,,,,,,,0.0,no,0,0,0.7555046649794801,LOGISTIC,CORE,5
KXBTC15M-26SEP031945-45,2026-09-03 23:37:03.354472+00:00,UP,1,476.65,7.944166666666666,0.34,0.33,0.01,0.33,3.0800000000017462,3.0800000000017462,16.419999999998254,27.01000000000932,47.26000000000931,70.27999999999884,61.33000000000175,0.0,0.0,0.05,0.04,0.0,0.29,0.29,0.29,0.34,0.34,0.34,0.05,0.0,0.6146315836952585,0.2746315836952585,0.0400689408101526,-0.0409047908231374,-0.0874252823564268,,,,0.0,no,0,0,0.7558825974374078,LOGISTIC,CORE,5
