model,features,threshold,tested_contracts,calls,coverage,accuracy,avg_ask,median_ask,pct_le40,pct_20_40,avg_time_left,median_time_left
EXTRA_TREES,CORE,0.5,37,26,0.7027027027027027,0.38461538461538464,0.36692307692307696,0.36,0.7307692307692307,0.7307692307692307,8.717602564102563,9.857666666666667
EXTRA_TREES,CORE,0.525,37,25,0.6756756756756757,0.4,0.3660000000000001,0.36,0.8,0.8,8.739533333333334,9.7405
EXTRA_TREES,CORE,0.55,37,25,0.6756756756756757,0.4,0.36639999999999995,0.36,0.76,0.72,8.652886666666666,9.7405
EXTRA_TREES,CORE,0.575,37,23,0.6216216216216216,0.43478260869565216,0.3691304347826087,0.36,0.7391304347826086,0.7391304347826086,8.717086956521738,9.681333333333331
EXTRA_TREES,CORE,0.6,37,21,0.5675675675675675,0.47619047619047616,0.38,0.37,0.6666666666666666,0.6666666666666666,8.847309523809523,9.681333333333331
EXTRA_TREES,CORE,0.625,37,21,0.5675675675675675,0.5238095238095238,0.36333333333333334,0.36,0.7619047619047619,0.7619047619047619,8.67272222222222,9.245333333333331
EXTRA_TREES,CORE,0.65,37,20,0.5405405405405406,0.5,0.37849999999999995,0.395,0.6,0.6,8.317491666666665,9.097666666666667
EXTRA_TREES,CORE,0.675,37,18,0.4864864864864865,0.4444444444444444,0.3888888888888889,0.385,0.5555555555555556,0.5555555555555556,8.271231481481482,8.594916666666666
EXTRA_TREES,CORE,0.7,37,17,0.4594594594594595,0.35294117647058826,0.3876470588235294,0.36,0.6470588235294118,0.6470588235294118,8.175735294117645,8.194166666666666
EXTRA_TREES,CORE,0.725,37,16,0.43243243243243246,0.4375,0.4025,0.39,0.5625,0.5625,8.072635416666667,8.183250000000001
EXTRA_TREES,CORE,0.75,37,11,0.2972972972972973,0.6363636363636364,0.3909090909090909,0.36,0.7272727272727273,0.7272727272727273,8.602348484848484,9.0955
EXTRA_TREES,CORE,0.775,37,7,0.1891891891891892,0.5714285714285714,0.3871428571428571,0.36,0.7142857142857143,0.7142857142857143,8.914261904761904,9.337333333333332
EXTRA_TREES,CORE,0.8,37,3,0.08108108108108109,0.6666666666666666,0.42,0.41,0.3333333333333333,0.3333333333333333,9.005888888888888,9.253666666666668
LOGISTIC,CORE,0.5,37,25,0.6756756756756757,0.52,0.374,0.36,0.56,0.56,8.685413333333333,9.602166666666667
LOGISTIC,CORE,0.525,37,25,0.6756756756756757,0.52,0.36840000000000006,0.35,0.6,0.6,8.508693333333333,9.601833333333332
LOGISTIC,CORE,0.55,37,25,0.6756756756756757,0.52,0.3624,0.36,0.68,0.68,8.39202,9.346666666666666
LOGISTIC,CORE,0.575,37,24,0.6486486486486487,0.5416666666666666,0.3675,0.355,0.6666666666666666,0.6666666666666666,8.16284722222222,8.883916666666666
LOGISTIC,CORE,0.6,37,22,0.5945945945945946,0.5454545454545454,0.3740909090909091,0.36,0.6363636363636364,0.6363636363636364,8.036674242424242,8.761333333333333
LOGISTIC,CORE,0.625,37,22,0.5945945945945946,0.5454545454545454,0.37363636363636366,0.36,0.6363636363636364,0.6363636363636364,7.733575757575758,8.152833333333334
LOGISTIC,CORE,0.65,37,22,0.5945945945945946,0.5454545454545454,0.3740909090909091,0.36,0.6363636363636364,0.6363636363636364,7.707121212121211,8.152833333333334
LOGISTIC,CORE,0.675,37,22,0.5945945945945946,0.5,0.3859090909090909,0.39,0.5454545454545454,0.5,7.544242424242424,7.989583333333333
LOGISTIC,CORE,0.7,37,21,0.5675675675675675,0.5238095238095238,0.3804761904761905,0.38,0.6190476190476191,0.5714285714285714,7.538896825396826,7.950833333333334
LOGISTIC,CORE,0.725,37,21,0.5675675675675675,0.5238095238095238,0.3838095238095238,0.4,0.5714285714285714,0.5238095238095238,7.475380952380952,7.867333333333334
LOGISTIC,CORE,0.75,37,20,0.5405405405405406,0.6,0.3895,0.39,0.55,0.55,7.332125,7.597666666666667
LOGISTIC,CORE,0.775,37,20,0.5405405405405406,0.55,0.403,0.41,0.45,0.45,7.169591666666666,7.107166666666667
LOGISTIC,CORE,0.8,37,18,0.4864864864864865,0.6111111111111112,0.4088888888888889,0.41,0.4444444444444444,0.4444444444444444,7.330416666666666,7.655166666666666
LOGISTIC,CORE,0.825,37,17,0.4594594594594595,0.6470588235294118,0.40705882352941175,0.41,0.4117647058823529,0.35294117647058826,7.014872549019607,6.577333333333333
LOGISTIC,CORE,0.85,37,14,0.3783783783783784,0.42857142857142855,0.43285714285714283,0.435,0.42857142857142855,0.42857142857142855,7.266464285714285,7.97225
LOGISTIC,CORE,0.875,37,13,0.35135135135135137,0.3076923076923077,0.4169230769230769,0.4,0.5384615384615384,0.5384615384615384,7.030910256410255,7.833166666666667
LOGISTIC,CORE,0.9,37,10,0.2702702702702703,0.2,0.417,0.385,0.6,0.6,7.159716666666666,7.138333333333333
LOGISTIC,CORE,0.925,37,6,0.16216216216216217,0.3333333333333333,0.425,0.42000000000000004,0.5,0.5,7.188416666666665,7.138333333333333
RANDOM_FOREST,CORE,0.5,37,26,0.7027027027027027,0.4230769230769231,0.35576923076923084,0.355,0.7692307692307693,0.7692307692307693,8.72402564102564,9.838666666666668
RANDOM_FOREST,CORE,0.525,37,25,0.6756756756756757,0.44,0.35800000000000004,0.36,0.76,0.76,8.736206666666666,9.769166666666669
RANDOM_FOREST,CORE,0.55,37,23,0.6216216216216216,0.4782608695652174,0.36869565217391304,0.36,0.6956521739130435,0.6956521739130435,8.851108695652172,9.7
RANDOM_FOREST,CORE,0.575,37,22,0.5945945945945946,0.5454545454545454,0.3531818181818181,0.36,0.8181818181818182,0.8181818181818182,8.702325757575757,9.201
RANDOM_FOREST,CORE,0.6,37,22,0.5945945945945946,0.5454545454545454,0.34727272727272723,0.355,0.8636363636363636,0.8636363636363636,8.270462121212121,8.580916666666667
RANDOM_FOREST,CORE,0.625,37,21,0.5675675675675675,0.47619047619047616,0.35095238095238096,0.36,0.8571428571428571,0.8571428571428571,8.268,8.450833333333334
RANDOM_FOREST,CORE,0.65,37,21,0.5675675675675675,0.38095238095238093,0.3514285714285714,0.36,0.8095238095238095,0.8095238095238095,8.017992063492065,8.416166666666667
RANDOM_FOREST,CORE,0.675,37,21,0.5675675675675675,0.3333333333333333,0.36428571428571427,0.36,0.7619047619047619,0.7619047619047619,7.958404761904763,8.360666666666667
RANDOM_FOREST,CORE,0.7,37,19,0.5135135135135135,0.3684210526315789,0.3663157894736842,0.36,0.6842105263157895,0.6842105263157895,8.045026315789475,8.450833333333334
RANDOM_FOREST,CORE,0.725,37,19,0.5135135135135135,0.3684210526315789,0.36526315789473685,0.36,0.6842105263157895,0.6842105263157895,8.014333333333333,8.412
RANDOM_FOREST,CORE,0.75,37,16,0.43243243243243246,0.4375,0.370625,0.36,0.75,0.75,8.32203125,8.4305
RANDOM_FOREST,CORE,0.775,37,15,0.40540540540540543,0.4666666666666667,0.386,0.36,0.6666666666666666,0.6666666666666666,8.360933333333334,8.283333333333333
RANDOM_FOREST,CORE,0.8,37,13,0.35135135135135137,0.46153846153846156,0.3892307692307692,0.37,0.6923076923076923,0.6923076923076923,8.44902564102564,8.277333333333333
RANDOM_FOREST,CORE,0.825,37,7,0.1891891891891892,0.42857142857142855,0.3614285714285714,0.36,0.8571428571428571,0.8571428571428571,8.020309523809523,8.162166666666668
RANDOM_FOREST,CORE,0.85,37,6,0.16216216216216217,0.5,0.36999999999999994,0.365,0.8333333333333334,0.8333333333333334,7.976555555555556,8.136416666666667
RANDOM_FOREST,CORE,0.875,37,3,0.08108108108108109,0.3333333333333333,0.3633333333333333,0.36,0.6666666666666666,0.6666666666666666,8.037555555555555,8.162166666666668
RANDOM_FOREST,CORE,0.9,37,2,0.05405405405405406,0.5,0.385,0.385,0.5,0.5,8.924,8.924
RANDOM_FOREST,CORE,0.925,37,1,0.02702702702702703,1.0,0.41,0.41,0.0,0.0,8.162166666666668,8.162166666666668
