config,dev_calls,dev_accuracy,dev_coverage,dev_avg_ask,dev_pct_20_40,dev_avg_time,hold_calls,hold_accuracy,hold_coverage,hold_avg_ask,hold_pct_20_40,hold_avg_time
A40_F60_E0_P0_ALL_ANY,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E0_P0_ALL_LAG15OR30,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E0_P0_SAFE_ANY,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E0_P0_SAFE_LAG15OR30,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E0_P3_ALL_ANY,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E0_P3_ALL_LAG15OR30,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E0_P3_SAFE_ANY,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E0_P3_SAFE_LAG15OR30,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E0_P5_ALL_ANY,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E0_P5_ALL_LAG15OR30,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E0_P5_SAFE_ANY,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E0_P5_SAFE_LAG15OR30,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E5_P0_ALL_ANY,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E5_P0_ALL_LAG15OR30,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E5_P0_SAFE_ANY,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E5_P0_SAFE_LAG15OR30,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E5_P3_ALL_ANY,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E5_P3_ALL_LAG15OR30,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E5_P3_SAFE_ANY,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E5_P3_SAFE_LAG15OR30,1,100.0,12.5,39.0,100.0,9.055246966666664,0,,0.0,,,
A40_F60_E5_P5_ALL_ANY,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E5_P5_ALL_LAG15OR30,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E5_P5_SAFE_ANY,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E5_P5_SAFE_LAG15OR30,1,100.0,12.5,39.0,100.0,8.889302733333333,0,,0.0,,,
A40_F60_E10_P0_ALL_ANY,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
A40_F60_E10_P0_ALL_LAG15OR30,2,100.0,25.0,38.0,100.0,7.464582558333333,0,,0.0,,,
