feature_set,model,gate,threshold,calls,accuracy,coverage,avg_ask,median_ask,pct2040,avg_time,median_time
CORE,LOGISTIC,OPEN,0.55,11,36.36363636363637,73.33333333333333,32.18181818181819,35.0,36.36363636363637,9.192414921212121,9.96353705
CORE,LOGISTIC,OPEN,0.6,11,36.36363636363637,73.33333333333333,32.18181818181819,35.0,36.36363636363637,9.18483633939394,9.948197783333336
CORE,LOGISTIC,OPEN,0.65,11,36.36363636363637,73.33333333333333,31.545454545454543,35.0,36.36363636363637,9.124147665151513,9.920731533333331
CORE,LOGISTIC,OPEN,0.7,10,40.0,66.66666666666667,32.300000000000004,36.5,40.0,8.921813223333334,9.727752191666667
CORE,LOGISTIC,OPEN,0.75,10,40.0,66.66666666666667,32.99999999999999,38.5,30.0,8.8633686,9.6861207
CORE,LOGISTIC,OPEN,0.8,9,44.44444444444444,60.0,35.33333333333333,39.0,44.44444444444444,8.765188912962962,9.6485551
CORE,LOGISTIC,OPEN,0.85,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.573525883333334,9.6485551
CORE,LOGISTIC,OPEN,0.9,7,57.14285714285714,46.666666666666664,36.42857142857142,42.0,28.57142857142857,8.514040092857142,9.48238015
CORE,LOGISTIC,PERSIST,0.55,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.6,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.65,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.7,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.75,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.8,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.85,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,PERSIST,0.9,1,100.0,6.666666666666667,46.0,46.0,0.0,9.364882966666666,9.364882966666666
CORE,LOGISTIC,STRONG,0.55,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.6,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.65,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.7,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.75,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.8,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.85,0,,0.0,,,,,
CORE,LOGISTIC,STRONG,0.9,0,,0.0,,,,,
CORE,LOGISTIC,CHEAP_STRONG,0.55,0,,0.0,,,,,
CORE,LOGISTIC,CHEAP_STRONG,0.6,0,,0.0,,,,,
CORE,LOGISTIC,CHEAP_STRONG,0.65,0,,0.0,,,,,
CORE,LOGISTIC,CHEAP_STRONG,0.7,0,,0.0,,,,,
CORE,LOGISTIC,CHEAP_STRONG,0.75,0,,0.0,,,,,
